Dealer;Company;VIP;FEIN;DNI;Peripherals;Service Name;Owner;Unit ID;Unit;Unit Type;Carrier;Monthly Fee;Billing Group;Billing Period;Last Srv Paid Until;Service Paid Until;Serial #;Phone Number;Sim Number;IMEI;Bill To;Status;Last Event;Assigned To Company;Last Event Date;Last Contact On;Last Event Address
TSO Mobile Peru;CAMPO & CARNE S.A.C.;False;20605195408;20605195408;Panic Button,;PLAN ESTANDAR;Renting;18H3;BYB-807;Topfly PioneerX;CLARO-PE TSO;16,17;;Annually;4/29/2025 12:00:00 AM;5/28/2025 12:00:00 AM;869487061794144;964399972;895110163293873281;869487061794144;;Active;Drive;4/29/2025 9:14:36 AM;6/12/2025 9:40:12 AM;6/12/2025 9:40:54 AM;Av Javier Prado Este-19, San Borja, Lima, Lima [Province]
TSO Mobile Peru;SERVICIO DE LOGISTICA EXPRESS SOCIEDAD ANONIMA CERRADA;False;20517941337;20517941337;Panic Button,;N/A;Renting;18QW;CRX-533 VF;VidFleet 4K;CLARO-PE TSO;0;;Monthly;5/23/2025 12:00:00 AM;6/21/2025 12:00:00 AM;6B3013Z3;965253280;895110163293873245;6B3013Z3;;Active;Ignition OFF;5/23/2025 7:45:51 AM;6/12/2025 9:33:28 AM;6/12/2025 9:36:22 AM;Las Casuarinas, San Martín de Porres 15112, Peru
TSO Mobile Peru;SERVICIO DE LOGISTICA EXPRESS SOCIEDAD ANONIMA CERRADA;False;20517941337;20517941337;Panic Button,;N/A;Renting;19GY;CRX-085 VF;VidFleet 4K;CLARO-PE TSO;0;;Monthly;5/23/2025 12:00:00 AM;6/21/2025 12:00:00 AM;6B3013YB;51965254048;895110163293873248;6B3013YB;;Active;Drive;5/23/2025 8:57:07 AM;6/12/2025 9:38:39 AM;6/12/2025 9:39:24 AM;Tomás Valle, Callao 07036, Peru
TSO Mobile Peru;SERVICIO DE LOGISTICA EXPRESS SOCIEDAD ANONIMA CERRADA;False;20517941337;20517941337;Panic Button,;N/A;Renting;1A23;CJF-442 VF;VidFleet 4K;CLARO-PE TSO;0;;Monthly;5/21/2025 12:00:00 AM;6/19/2025 12:00:00 AM;6B301414;973444037;895110163099833917;6B301414;;Active;Ignition OFF;5/21/2025 9:11:54 AM;6/12/2025 8:17:11 AM;6/12/2025 8:21:36 AM;2V6R+78H, Callao 15112, Peru
TSO Mobile Peru;SERVICIO DE LOGISTICA EXPRESS SOCIEDAD ANONIMA CERRADA;False;20517941337;20517941337;Panic Button,;N/A;Renting;1A2T;CJF-236 VF;VidFleet 4K;CLARO-PE TSO;0;;Monthly;5/21/2025 12:00:00 AM;6/19/2025 12:00:00 AM;6B30141G;973444263;895110163099833918;6B30141G;;Active;Ignition OFF;5/21/2025 7:03:56 AM;6/12/2025 8:05:15 AM;6/12/2025 8:08:26 AM;2V6R+78H, Callao 15112, Peru
TSO Mobile Peru;SERVICIO DE LOGISTICA EXPRESS SOCIEDAD ANONIMA CERRADA;False;20517941337;20517941337;Panic Button,;N/A;Renting;1A2Z;CJF-224 VF;VidFleet 4K;CLARO-PE TSO;0;;Monthly;5/21/2025 12:00:00 AM;6/19/2025 12:00:00 AM;6B3013ZS;973444605;895110163099833919;6B3013ZS;;Active;Ignition OFF;5/21/2025 8:07:35 AM;6/12/2025 7:56:15 AM;6/12/2025 8:07:12 AM;Av Nestor Gambetta-57, Callao, Callao, Callao
TSO Mobile Peru;3 P.L S.A.;False;20537076969;20537076969;Panic Button,;PLAN ESTANDAR;Client;03SJ;FOG-863;GenX 5P;CLARO-PE;16,8;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;000034411408;983336969;8951101632630671349F;359316075752151;;Active;Parked;2/5/2022 8:52:55 AM;5/30/2025 11:19:38 AM;5/30/2025 11:19:51 AM;Jr. Sara Sara Mz B7 Lote 10. Las, Chorrillos 15057, Peru
TSO Mobile Peru;3 P.L S.A.;False;20537076969;20537076969;Panic Button,;PLAN ESTANDAR;Client;03T7;BBS-768;GenX 5P;CLARO-PE;16,8;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;000034411432;983338953;895110163263067138;359316075757150;;Active;Ignition ON;2/12/2022 6:38:42 AM;6/12/2025 9:20:13 AM;6/12/2025 9:20:47 AM;P4HG+QCX, Av Los Pinos, Lurín 15823, Peru
TSO Mobile Peru;3 P.L S.A.;False;20537076969;20537076969;Panic Button,;PLAN ESTANDAR;Client;0G1A;BLD-714;GenX 5P;CLARO-PE;16,8;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;000034424010;983340097;8951101632630671398F;358014096277099;;Active;Parked;2/5/2022 7:31:39 AM;6/12/2025 8:40:22 AM;6/12/2025 8:40:32 AM;Via Principal-39, Chorrillos, Lima, Lima [Province]
TSO Mobile Peru;3 P.L S.A.;False;20537076969;20537076969;Panic Button,;PLAN ESTANDAR;Client;0G1E;BHO-830;GenX 5P;CLARO-PE;16,8;;Monthly;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;000034424014;983338522;895110163263067137;358014096278857;;Active;Idle - Stop;2/12/2022 6:38:13 AM;6/12/2025 9:32:48 AM;6/12/2025 9:33:27 AM;Av Miguel Grau-4, Barranco, Lima, Lima [Province]
