Geofence;Geofence Type;Created On
CC CHIPICHAPE - CALI;Circular;2025-12-04 09:31:27.880
CC LA HERRADURA - TULUA;Circular;2025-12-11 15:16:27.380
CC MALL PLAZA - CALI;Circular;2025-11-26 10:42:55.800
CC PALMETTO - CALI;Linear;2025-12-10 08:35:01.487
CC UNICENTRO - CALI;Circular;2025-11-26 09:30:21.610
CC UNICO YUMBO;Circular;2025-05-29 15:39:27.330
MB AV 6;Circular;2025-12-02 15:48:56.577
MB CALLE 9;Circular;2025-11-26 09:28:40.217
MB SALOMIA;Circular;2025-12-02 09:26:00.973
PEAJE ALTO DE LA LINEA;Circular;2025-12-02 14:49:25.387
PLANTA BOMBA FOODS;Circular;2025-12-02 15:04:08.930
SR WOK AV 6;Circular;2025-12-02 14:56:54.493
