,Geofence,Geofence Type,Created On,ACTION
0,.....,Linear,2013-02-14 11:49:01.690,Keep
1,ANDINO,Polygonal,2018-12-10 14:52:02.093,Keep
2,ARKADIA,Polygonal,2021-07-16 17:45:58.630,Keep
3,AVENTURA PLAZA MEDELLIN,Polygonal,2019-01-03 07:56:12.820,Keep
4,BODEGA BOGOTA,Polygonal,2012-02-21 14:10:22.347,Keep
5,BODEGA CHARLIES,Polygonal,2016-02-23 08:18:49.673,Keep
6,BOSA,Polygonal,2018-01-10 17:10:03.783,Keep
7,CALIMA 14,Polygonal,2016-01-29 09:20:41.813,Keep
8,CAMPANARIO,Polygonal,2012-02-21 14:04:12.983,Keep
9,CARIBE PLAZA,Polygonal,2016-01-29 10:09:00.423,Keep
10,CARNAVAL SOLEDAD,Polygonal,2019-01-02 10:39:10.560,Keep
11,CARNES CLUB FLORIDA,Polygonal,2016-02-23 09:23:11.137,Keep
12,CAUCASIA,Polygonal,2016-01-29 10:36:00.657,Keep
13,CENTENARIO,Polygonal,2012-02-21 11:57:52.800,Keep
14,CENTRO MAYOR,Polygonal,2016-01-29 11:16:56.330,Keep
15,CHARLIES AV 15,Polygonal,2019-01-09 08:36:15.800,Keep
16,CHILLICHANG BOGOTA,Polygonal,2016-02-23 08:55:49.140,Keep
17,CHILLICHANG CALI,Polygonal,2016-03-23 10:09:20.197,Keep
18,CHILLICHANG SANTA MARTA,Polygonal,2019-01-02 10:28:53.220,Keep
19,CHIPICHAPE,Polygonal,2012-02-21 11:56:27.063,Keep
20,CITY PLAZA,Polygonal,2016-01-29 09:16:51.537,Keep
21,DE MODA,Polygonal,2018-12-20 12:30:08.360,Keep
22,EL TESORO,Polygonal,2012-03-02 15:02:50.890,Keep
23,EXITO BELLO,Polygonal,2012-03-09 10:49:36.260,Keep
24,EXITO BUCARAMANGA,Polygonal,2016-01-29 09:55:51.747,Keep
25,EXITO BUENAVENTURA,Polygonal,2016-01-29 09:57:31.870,Keep
26,EXITO CHAPINERO,Polygonal,2016-01-29 10:01:52.523,Keep
27,EXITO SAN FERNANDO,Polygonal,2012-02-21 12:04:38.967,Keep
28,EXITO SIMON BOLIVAR,Polygonal,2016-01-29 09:49:28.227,Keep
29,FLORIDA,Polygonal,2016-01-29 10:04:43.020,Keep
30,FONTIBON,Polygonal,2016-01-29 10:34:18.010,Keep
31,FUNDADORES,Polygonal,2016-01-29 09:07:24.653,Keep
32,GRAN ESTACION 1,Polygonal,2012-06-12 17:10:33.543,Keep
33,GRAN PLAZA,Polygonal,2012-03-09 10:04:24.950,Keep
34,IWANA,Polygonal,2016-01-29 10:22:53.747,Keep
35,JARDIN PLAZA,Polygonal,2016-01-28 09:42:32.953,Keep
