GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox20,Textbox21,Textbox24,Textbox25,Textbox26,Textbox27,Textbox28
,1BIL,CHN0177,89,"445,35",1D:22H:32M:46S,"46,55",4H:8M:24S,"4,14",2D:2H:41M:10S,"50,69","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1BVL,CHN0177 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1BN9,IBZ301 AIR2,87,"172,20",4H:32M:33S,"4,54",20H:9M:45S,"20,16",1D:0H:42M:18S,"24,71","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1CTQ,LQK053,82,"750,16",23H:33M:41S,"23,56",1D:3H:46M:47S,"27,78",2D:3H:20M:28S,"51,34","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1C04,LQK053 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1CU6,LQK054,77,"567,79",20H:51M:9S,"20,85",1D:8H:11M:48S,"32,20",2D:5H:2M:57S,"53,05","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1BQO,LQK054 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1CM2,LUL144,93,"1.639,00",1D:12H:27M:22S,"36,46",22H:22M:25S,"22,37",2D:10H:49M:47S,"58,83","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1BW4,LUL144 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1CWQ,LUM169,90,"1.497,49",1D:10H:59M:39S,"34,99",20H:13M:0S,"20,22",2D:7H:12M:39S,"55,21","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
,1BP0,LUM169 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","13.308,83",16D:8H:34M:9S,"392,57",15D:7H:30M:12S,"367,50",31D:16H:4M:21S,"760,07"
