GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unidad: LUL144,1/12/2025 12:00 a.m.,00h:00m:00s,"0,00",0,1/12/2025 4:49:5.m.,Denido/Ralenti,04h:53m:00s,"Km 3 de la vía Bogotá - Villavicencio, , Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 4:54 a.m.,00h:29m:00s,"14,24",33,1/12/2025 5:23:0.m.,Ralenti,00h:03m:25s,"Av 40, Chipaque, Cundinamarca, COLOMBIA",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 5:26 a.m.,00h:35m:34s,"30,45",49,1/12/2025 6:02:0.m.,Ralenti,00h:04m:13s,"Km 44 de la vía Bogotá - Villavicencio, , Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 6:06 a.m.,00h:10m:47s,"5,95",52,1/12/2025 6:17:0.m.,Ralenti,00h:00m:42s,"Vía Villavicencio - Bogotá, Guayabetal, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 6:17 a.m.,00h:18m:18s,"16,01",44,1/12/2025 6:36:0.m.,Ralenti/Ign Apagada,00h:38m:15s,"Av 40, Villavicencio, Meta",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:10 a.m.,00h:00m:00s,"0,00",0,1/12/2025 7:10:5.m.,Denido/Ralenti,00h:00m:00s,"Av 40, Villavicencio, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:11 a.m.,00h:06m:59s,"6,26",50,1/12/2025 7:18:5.m.,Ralenti,00h:02m:13s,"Av 40, Villavicencio, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:21 a.m.,00h:34m:45s,"32,54",57,1/12/2025 7:55:5.m.,Ralenti,00h:00m:15s,"Av Puente-36, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:56 a.m.,00h:00m:09s,"0,06",6,1/12/2025 7:56:2.m.,Ralenti,00h:00m:47s,"Calle 17 20 # 1 a 99, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:57 a.m.,00h:01m:52s,"0,58",6,1/12/2025 7:58:5.m.,Ralenti,00h:01m:59s,"Cl18 19-25, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 8:00 a.m.,00h:02m:01s,"0,93",17,1/12/2025 8:02:5.m.,Ralenti,00h:01m:00s,"Cl17-39, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 8:03 a.m.,00h:16m:49s,"9,11",27,1/12/2025 8:20:4.m.,Ralenti,00h:01m:11s,"Vía Acacías - Dinamarca - Surimena, Acacías, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 8:21 a.m.,00h:09m:23s,"6,08",35,1/12/2025 8:31:2.m.,Ralenti,00h:01m:37s,"Km 13 de la vía Acacias - Dinamarca, , Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 8:32 a.m.,00h:17m:00s,"8,06",29,1/12/2025 8:49:5.m.,Ralenti/Ign Apagada,04h:34m:17s,"Km 21 de la vía Acacias - Dinamarca, , Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 11:12 a.m.,00h:00m:00s,"0,00",0,1/12/2025 11:12:1.m.,Denido/Ralenti,01h:19m:09s,"XCV9+RP Acacías, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 11:57 a.m.,00h:00m:00s,"0,00",0,1/12/2025 11:57:5.m.,Denido/Ralenti,00h:00m:00s,"Km 21 de la vía Acacias - Dinamarca, , Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 11:57 a.m.,00h:00m:00s,"0,00",0,1/12/2025 11:57:5.m.,Denido/Ralenti,00h:30m:13s,"Km 21 de la vía Acacias - Dinamarca, , Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 12:28 p.m.,00h:23m:01s,"7,98",32,1/12/2025 12:51:5.m.,Ralenti,00h:05m:00s,"Km 13 de la vía Acacias - Dinamarca, , Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 12:56 p.m.,00h:10m:00s,"4,10",25,1/12/2025 1:06:5.m.,Ralenti,00h:01m:00s,"28C8+6F Acacías, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 1:07 p.m.,00h:10m:00s,"4,02",16,1/12/2025 1:17:5.m.,Ralenti,00h:00m:59s,"Unnamed Road, Acacías, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 1:18 p.m.,00h:02m:36s,"1,38",24,1/12/2025 1:21:2.m.,Ralenti,00h:00m:25s,"Unnamed Road, Acacías, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 1:21 p.m.,00h:10m:00s,"4,59",24,1/12/2025 1:31:5.m.,Ralenti,00h:01m:00s,"Kr9-74, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 1:32 p.m.,00h:01m:00s,"0,43",12,1/12/2025 1:33:5.m.,Ralenti,00h:01m:00s,"Cl18 13-83, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 1:34 p.m.,00h:02m:00s,"0,51",11,1/12/2025 1:36:5.m.,Ralenti,00h:00m:59s,"Cl18 18a-54, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 1:37 p.m.,00h:01m:00s,"0,39",17,1/12/2025 1:38:5.m.,Ralenti,00h:00m:18s,"Cl18 22-51, Acacias, Meta, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 1:39 p.m.,00h:08m:43s,"4,06",36,1/12/2025 1:47:5.m.,Ralenti,00h:01m:00s,"Av 65, Acacias, Meta",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
