GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unidad: SXZ756,1/12/2025 12:00 a.m.,00h:00m:00s,"0,00",0,1/12/2025 5:55:2.m.,Denido/Ralenti,07h:01m:09s,"9VPC+79 Ibague, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 6:54 a.m.,00h:00m:00s,"0,00",0,1/12/2025 6:54:2.m.,Denido/Ralenti,01h:24m:39s,"9VPC+97 Ibague, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 8:18 a.m.,00h:00m:00s,"0,00",0,1/12/2025 8:18:5.m.,Denido/Ralenti,00h:09m:59s,"I-40 # 30 a 100, Ibagué, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 8:29 a.m.,00h:01m:39s,"0,40",7,1/12/2025 8:31:3.m.,Ralenti/Ign Apagada,00h:07m:25s,"Km 8 de la vía Buenos Aires - Picalena, , Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 8:37 a.m.,00h:00m:00s,"0,00",0,1/12/2025 8:37:3.m.,Denido/Ralenti,00h:27m:14s,"Km 16 Vía Espinal Complejo Agroindustrial Cafetero, Ibagué, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 9:04 a.m.,00h:00m:00s,"0,00",0,1/12/2025 9:04:5.m.,Denido/Ralenti,00h:04m:18s,"Km 16 Vía Espinal Complejo Agroindustrial Cafetero, Ibagué, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 9:09 a.m.,00h:12m:12s,"8,75",36,1/12/2025 9:21:5.m.,Ralenti,00h:10m:00s,"Km 4 de la vía Alto de Gualanday - Buenos Aires, , Tolima",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 9:31 a.m.,00h:12m:00s,"8,66",42,1/12/2025 9:43:5.m.,Ralenti/Ign Apagada,00h:14m:53s,"Av 40-25, Ibague, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 9:58 a.m.,00h:00m:00s,"0,00",0,1/12/2025 9:58:0.m.,Denido/Ralenti,00h:00m:00s,"Av 40-25, Ibague, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 9:59 a.m.,00h:36m:13s,"30,88",42,1/12/2025 10:35:1.m.,Ralenti/Ign Apagada,00h:13m:46s,"Av 47, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 10:48 a.m.,00h:00m:00s,"0,00",0,1/12/2025 10:48:0.m.,Denido/Ralenti,00h:03m:41s,"Av 47, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 10:52 a.m.,00h:04m:19s,"0,90",21,1/12/2025 10:57:1.m.,Ralenti,00h:02m:00s,"Av 47, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 10:59 a.m.,00h:01m:00s,"0,71",9,1/12/2025 11:00:1.m.,Ralenti/Ign Apagada,00h:21m:28s,"Carrera 10 #3 Sur-102, Flandes, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 11:18 a.m.,00h:00m:00s,"0,00",0,1/12/2025 11:18:0.m.,Denido/Ralenti,00h:02m:23s,"Cl. 3 Sur #10-61, Flandes, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 11:21 a.m.,00h:01m:45s,"0,77",12,1/12/2025 11:22:5.m.,Ralenti/Ign Apagada,00h:09m:15s,"Cra. 10 #4-2 a 4-48, Flandes, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 11:31 a.m.,00h:00m:00s,"0,00",0,1/12/2025 11:31:3.m.,Denido/Ralenti,00h:05m:42s,"Cra. 9a #4-26, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 11:38 a.m.,00h:02m:07s,"0,51",7,1/12/2025 11:40:2.m.,Ralenti/Ign Apagada,00h:43m:53s,"Cl. 7 #11-2 a 11-80, Flandes, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 12:22 p.m.,00h:00m:00s,"0,00",0,1/12/2025 12:22:4.m.,Denido/Ralenti,00h:00m:43s,"Av 47, Flandes, Tolima",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 12:24 p.m.,00h:02m:51s,"0,85",9,1/12/2025 12:27:1.m.,Ralenti/Ign Apagada,00h:08m:12s,"Diagonal 16, Flandes, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 12:35 p.m.,00h:00m:00s,"0,00",0,1/12/2025 12:35:1.m.,Denido/Ralenti,00h:14m:17s,"Diagonal 16, Flandes, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 12:48 p.m.,00h:00m:00s,"0,00",0,1/12/2025 12:48:0.m.,Denido/Ralenti,00h:02m:46s,"South America, Flandes, Cundinamarca",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 12:51 p.m.,00h:00m:15s,"0,34",6,1/12/2025 12:52:0.m.,Ralenti/Ign Apagada,00h:33m:37s,"Av 47, Flandes, Tolima",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 1:24 p.m.,00h:00m:00s,"0,00",0,1/12/2025 1:24:5.m.,Denido/Ralenti,00h:00m:00s,"South America, Flandes, Tolima",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 1:25 p.m.,00h:00m:06s,"0,05",7,1/12/2025 1:25:1.m.,Ralenti,00h:00m:05s,"Av 47, Flandes, Tolima",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
,Unidad: SXZ756,1/12/2025 1:25 p.m.,00h:04m:44s,"1,82",25,1/12/2025 1:30:0.m.,Ignición Apagada,00h:03m:13s,"Av 47, Flandes, Tolima, Colombia",19h:41m:36s,"806,84",52,180h:11m:41s,19h:41m:36s,"806,84",52,180h:11m:41s
