"Tag","Unit","Driver","Distancer (km)","Duration","Idle Time","Stop Time","Moving Percentage","Days Worked","Days Total","Days Percentage"
"Cota","A1 LUL144 AIR2","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,6,"0.00%"
"Cota","A1 LUM169 AIR2","","2996.79","2 days, 0 hr, 50 min, 30 sec","6 hr, 42 min, 3 sec","3 days, 16 hr, 27 min, 17 sec","55.22%",6,6,"100.00%"
"Cota","A1 NUW693 AIR2","","2740.09","1 days, 18 hr, 56 min, 37 sec","4 hr, 33 min, 46 sec","3 days, 23 hr, 30 min, 41 sec","44.96%",6,6,"100.00%"
"Cota","A1 QJX175 AIR2","","1716.92","19 hr, 24 min, 57 sec","10 hr, 4 min, 8 sec","4 days, 18 hr, 30 min, 55 sec","16.95%",6,6,"100.00%"
"Cota","A2 LUM169 AIR2","","2326.75","1 days, 14 hr, 52 min, 0 sec","10 hr, 56 min, 37 sec","3 days, 2 hr, 28 min, 50 sec","52.18%",6,6,"100.00%"
"Cota","A2 QJX175 AIR2","","2046.35","17 hr, 21 min, 16 sec","1 hr, 30 min, 56 sec","5 days, 2 hr, 0 min, 7 sec","14.22%",5,6,"83.33%"
"Cota","LUL144","","3683.26","2 days, 0 hr, 41 min, 45 sec","10 hr, 42 min, 45 sec","3 days, 12 hr, 24 min, 22 sec","57.69%",6,6,"100.00%"
"Ibagué","CHN017","","719.85","10 hr, 21 min, 44 sec","3 hr, 41 min, 5 sec","5 days, 3 hr, 5 min, 36 sec","8.42%",4,6,"66.67%"
"Ibagué","IBZ301 AIR2","","24.18","47 min, 38 sec","11 min, 17 sec","4 days, 16 hr, 3 min, 18 sec","0.71%",1,6,"16.67%"
"Ibagué","SXZ756","","2186.55","1 days, 2 hr, 5 min, 14 sec","2 hr, 57 min, 4 sec","4 days, 13 hr, 2 min, 16 sec","23.92%",6,6,"100.00%"
"Ibagué","TDL796","","995.28","20 hr, 38 min, 2 sec","2 hr, 31 min, 36 sec","7 days, 0 hr, 54 min, 58 sec","12.22%",4,6,"66.67%"
"Mosquera","LQK053","","1250.33","1 days, 21 hr, 51 min, 24 sec","6 hr, 50 min, 45 sec","3 days, 19 hr, 17 min, 51 sec","50.23%",6,6,"100.00%"
"Mosquera","LQK054","","897.44","1 days, 18 hr, 11 min, 37 sec","6 hr, 23 min, 55 sec","2 days, 18 hr, 34 min, 15 sec","63.38%",6,6,"100.00%"
"Mosquera","NOY423","","931.46","1 days, 15 hr, 3 min, 43 sec","6 hr, 36 min, 5 sec","6 days, 2 hr, 26 min, 52 sec","26.67%",5,6,"83.33%"
"Mosquera","NOY424","","917.86","2 days, 16 hr, 25 min, 6 sec","3 hr, 59 min, 43 sec","2 days, 22 hr, 26 min, 25 sec","91.45%",6,6,"100.00%"
"Mosquera","SMR391","","1036.57","1 days, 20 hr, 24 min, 4 sec","3 hr, 27 min, 5 sec","3 days, 18 hr, 58 min, 29 sec","48.81%",6,6,"100.00%"
"Mosquera","TDL795","","915.23","2 days, 0 hr, 55 min, 29 sec","4 hr, 5 min, 18 sec","3 days, 13 hr, 25 min, 42 sec","57.27%",6,6,"100.00%"
"Pereira","SMR198","Conductor SMR198","874.48","10 hr, 7 min, 5 sec","1 hr, 25 min, 33 sec","5 days, 17 hr, 36 min, 49 sec","7.35%",5,6,"83.33%"
"Pereira","SXY625","","1729.67","1 days, 9 hr, 0 min, 21 sec","3 hr, 24 min, 55 sec","4 days, 3 hr, 57 min, 48 sec","33.02%",6,6,"100.00%"
"Pereira","TDL797","","899.86","1 days, 12 hr, 31 min, 15 sec","1 hr, 37 min, 32 sec","4 days, 1 hr, 34 min, 59 sec","37.43%",6,6,"100.00%"
