,Dealer,Company,VIP,FEIN,Unnamed: 4,DNI,Peripherals,Service,Owner,Unit ID,Unit,Unit Type,Carrier,Unnamed: 13,Monthly Fee,Billing Group,Billing Period,Last Service Paid Until,Service Paid Until,Serial Number,IMEI,Bill To,Status,Event,Assigned To Company On,Last Event Date,Last Contact On,Last Event Address
9,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0IVI,IBIZA,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764335706,359369090475894,,Active,Parked,7/9/2024 9:59:30 AM,7/16/2025 9:58:21 AM,7/16/2025 9:58:46 AM,"Calle Antonio Manuel Rivera, Tlalnepantla, México"
10,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0JAS,67,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764409710,354514101453571,,Active,Idle Alert,11/8/2022 1:16:17 PM,7/12/2025 11:54:36 AM,7/16/2025 9:49:50 AM,"Calle Antonio Manuel Rivera, Tlalnepantla, México"
11,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0JDX,50,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764408203,354514101153379,,Active,Ignition OFF,11/8/2022 1:14:56 PM,7/16/2025 11:12:06 AM,7/16/2025 11:12:24 AM,"Carretera Arturo Martinez Adame-Tlahualilo, Durango"
12,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0JE1,69,CalAmp 2630 - 3G - LMU2631H-H000-G1000,,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764409723,352556102138554,,Active,Idle Alert,11/8/2022 1:17:31 PM,7/16/2025 11:10:28 AM,7/16/2025 11:10:48 AM,"MEX-57D, Nuevo León"
13,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0JEA,41,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764409720,354514101454132,,Active,Parked,11/8/2022 1:17:14 PM,7/16/2025 10:02:03 AM,7/16/2025 10:02:30 AM,"Calle Antonio Manuel Rivera, Tlalnepantla, México"
14,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0JEC,71,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764409745,352556102175150,,Active,Parked,11/8/2022 1:16:59 PM,7/16/2025 10:50:20 AM,7/16/2025 10:50:39 AM,"Avenida Benito Juarez, San Luis Potosí, San Luis Potosí"
15,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0JF3,68,CalAmp 2630 - 3G - LMU2631H-H000-G1000,,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764409715,352556102139586,,Active,Parked,11/8/2022 1:17:50 PM,7/16/2025 9:29:09 AM,7/16/2025 9:29:39 AM,"Blvrd Paseo Solidaridad 3035, Progresiva el Jaral, Irapuato, Gto., Mexico"
17,UTS Sistemas Kalo MX, TRANSPORTES ONIS SA DE CV, ,,,,"Panic Button, ",Standard,Client,0USS,49,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR MX,,"19,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764408199,354514101153569,,Active,Parked,1/26/2023 9:03:08 AM,4/16/2025 9:48:46 AM,4/16/2025 9:49:12 AM,"Calle Antonio M. Rivera 6-10, Centro Industrial Tlalnepantla, 54030 Tlalnepantla, Méx., Mexico"
58,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0301,1186134,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,10/22/2024 12:00:00 AM,11/20/2024 12:00:00 AM,1363065101,357041069669870,,Active,Ignition OFF,1/30/2025 8:45:29 AM,8/16/2019 11:50:06 AM,8/16/2019 11:55:36 AM,"Carretera a San Juan de la Vaqueria, Saltillo, Coahuila"
165,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,07Z1,JAC,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363112028,359369090058401,,Active,Parked,4/25/2024 11:44:10 AM,4/29/2024 5:31:50 PM,4/29/2024 5:32:12 PM,"Miguel Hidalgo-27, Carmen, Nuevo Leon, Mexico"
166,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,07Z3,36,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363106173,358077091690798,,Active,Drive,4/4/2024 12:02:27 PM,4/29/2024 5:44:51 PM,4/29/2024 5:45:13 PM,"MEX-57, Nuevo León"
167,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,07Z4,0485/TS-0223,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363110774,359369090058450,,Active,Parked,10/20/2021 7:12:23 AM,7/28/2021 10:38:24 AM,7/28/2021 10:38:34 AM,205 Boulevard Carretera Juárez - Cadereyta 
168,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,07Z9,120,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363093682,359369090649209,,Active,Parked,2/23/2022 10:46:13 AM,4/20/2022 2:23:19 PM,4/20/2022 2:23:41 PM,"Sinaloa-33, San Juan Del Rio, Queretaro, Mexico"
169,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,07ZA,# 63,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,3/31/2025 12:00:00 AM,4/29/2025 12:00:00 AM,1363106387,359369090533916,,Active,Travel Stop,6/17/2025 2:15:37 PM,6/17/2025 11:59:51 AM,6/17/2025 12:02:46 PM,"Carretera Ciudad Acu?a-Presa La Amistad, CIUDAD ACU?A, CIUDAD ACU?A, COAHUILA 26237"
170,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,07ZC,TP0474,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363106833,358077091645941,,Active,Drive,5/16/2024 1:10:53 PM,5/13/2025 10:39:29 AM,5/13/2025 10:39:57 AM,"NL-100, Nuevo León"
171,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,08MX,08MX,CalAmp 3030 - 3G + Bluetooth - LMU30H30BT3-G1000,MOVISTAR MX,,"29,99",,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4562246980,359804080422258,,Active,Ignition OFF,2/19/2020 7:19:51 AM,6/6/2019 4:58:40 PM,6/6/2019 5:01:32 PM,"Callejón Santo Domingo, Monterrey, Nuevo León"
180,UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,,"Panic Button, ",Professional,Client,0ANN,11,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,,"29,99",,Monthly,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363066095,357041069675471,,Active,Parked,4/4/2024 12:07:20 PM,4/29/2024 3:18:12 PM,4/29/2024 3:18:37 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
