ID;Owner;Unit ID;Unit;Peripherals;Reporting Status;Show Until;Billing Group;Last Event Date;Monthly Fee;Bill To;Assigned To;Linked Mode;Paired GPS;Paired Camera;Billable;RMA;Unit Type;IMEI;Serial Number;Phone Number;Carrier;SIM #;VIN;License Plate;Static IP;Event;Last Contact On;Min;Server IP;Server Port;Last Event Address;Modem;Inv #;Status;Last Service Paid Until;Service Paid Until;Assigned to Company;IFTA;History Months;Comments;Warranty Expires;Script;JBOX Profile;Contract Type;Subscription;Firmware
1097457;Renting;0XNE;ZXU299;;;;;20/05/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574042448477;S2-M007693-0XNE;9103426208;Claro CO;57101502503054936;;ZXU299;;Power OFF;20/05/2025;0;3.231.161.53;10613;16-43 16-43 16-74 16478 16499-16453 Carrera 16b Carrera 16b Calle 166 Calle 166 Calle 166 , Bogotá. Bogotá. 110131;3G;307140;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;9/16/2023 11:52:45 AM;N;3;;5/11/2024 12:00:00 AM;;;;;
1095247;Renting;0VY1;ZXL93F;;;;;6/09/2024;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102049785;1363186333;9101159947;MOVISTAR CO;8957123112215168335;9GFJCJLJ0NKJ15705;ZXL93F;;Power OFF;7/09/2024;24;3.231.161.53;10430;Gulf of Guinea, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;3/4/2023 9:51:35 AM;N;3;;2/8/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1095259;Renting;0VYD;ZXL90F;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102049249;1363186322;9101179249;MOVISTAR CO;8957123112215168228;;ZXL90F;;Ignition OFF;23/07/2025;0;3.231.161.53;10534;Cl68 48-60, Medellin, Antioquia, .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;3/30/2023 8:15:51 AM;N;3;;2/8/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1099922;Renting;0ZJU;ZPU43F;;;;;27/11/2024;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;8685740424391;S2-M007693-0ZJU;91034260;Claro CO;571016023037356;;ZPU43F;;Parked;27/11/2024;0;3.231.161.53;10613;a 7-134, Cra. 7 #7-2, Villeta, Cundinamarca, Colombia. 253410;3G;309311;Active;11/23/2023 12:00:00 AM;12/22/2023 12:00:00 AM;11/23/2023 11:05:38 AM;N;3;;9/19/2024 12:00:00 AM;;;;;
1092629;Renting;0TXC;ZPQ91D;;;;;17/06/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;ZPQ91D;ZPQ91D;ZPQ91D;MOVISTAR CO;ZPQ91D;9FSNF41B0GC277948;ZPQ91D;;POWER UP;17/06/2025;0;3.231.161.53;10430;Cl23bn 3a-72, Cali, Valle Cauca, . Vca.;3G;--;Active;10/6/2022 12:00:00 AM;11/4/2022 12:00:00 AM;10/6/2022 5:05:53 PM;N;3;;9/30/2023 12:00:00 AM;;;;;
1097452;Renting;0XN9;ZNO012;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574042432257;S2-M007693-0XN9;9103422415;Claro CO;57101502101664843;;ZNO012;;Parked;23/07/2025;0;3.231.161.53;10613;Cl105 48-57, Bogota, Cundinamarca, Colombia, . .;3G;307140;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;9/16/2023 8:02:39 PM;N;3;;5/11/2024 12:00:00 AM;;;;;
1096019;Renting;0WJG;ZNO011;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041314381;S2-M006820-0WJG;9104049199;Claro CO;57101602312161861;;ZNO011;;Parked;23/07/2025;0;3.231.161.53;10613;Cl4 15a-58, Zipaquira, Cundinamarca, Colombia, . .;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 9:13:47 AM;N;3;;3/31/2024 12:00:00 AM;;;;;
1108218;Renting;18AS;ZNO010 VF;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;VidFleet 4K;6B31116L;6B31116L;3162682544;MOVISTAR CO;8957123112211415045;;ZNO010 ;;Ignition OFF;23/07/2025;0;3.231.161.53;-1;Cl. 105 # 49-16, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia. 111111;LTE;314113;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;4/5/2025 3:13:54 PM;N;3;;1/14/2026 12:00:00 AM;;;;;SAXHORN_V1C-3.18.1115
1097622;Renting;0XRZ;ZNO010;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102754319;1363188497;9101391660;MOVISTAR CO;8957123112215163740;;ZNO010;;Parked;23/07/2025;0;3.231.161.53;10534;Cl105 49-50, Bogota, Cundinamarca, .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/19/2023 2:58:19 PM;N;3;;5/15/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_AWS_10700;;;;
1093934;Renting;0UXL;ZNO009;;;;;23/07/2025;39800;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102895237;1363188295;9101444243;MOVISTAR CO;8957123112215340728;3N6CD33B8ZK444665;ZNO009;;Ignition OFF;23/07/2025;0;3.231.161.53;10530;Cl123 47-57, Medellin, Antioquia, .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;12/3/2022 8:08:30 PM;N;3;;11/24/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
