,Device Name,Last Report Date,Create Time,IMEI,Device Type,Group,Iccid,MCU Firmware Version,Modem Version,Firmware Version,Configuration Version,Hardware Version,Battery Percentage,Battery Voltage,Platform Firmware Version,Last Platform Firmware Version,BT Firmware Version,BT Last Firmware Version,OBD Firmware Version,OBD Last Firmware Version,OBD Configuration Version,OBD Last Configuration Version,Backup Battery Charge State,Ignition State,CAN SN,CAN Module SW Version,Bootloader Version,BLE Bootloader Version,BLE Firmware Version,ECU Firmware Version,Wirepas Firmware Version,Wirepas Mesh API Version,Coprocessor Firmware Version,Wi-Fi Firmware Version,Modem Hardware Version
300,868574041155503,,2025-02-07 14:59:09,868574041155503,GV55W,Default group,,,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,
488,868574042935424,2025-07-17 14:43:09,2024-12-12 14:57:05,868574042935424,GV55W,Default group,8951101630975586122F,,,R00A14V03,0102,01.12,98.0,4.1,,,,,,,,,,,,,,,,,,,,,
493,868574042940598,2025-07-17 02:22:19,2024-12-12 14:57:05,868574042940598,GV55W,Default group,8951101630975586213F,,,R00A12V03,0102,01.12,100.0,4.13,,,,,,,,,,,,,,,,,,,,,
652,868574042958772,2025-07-17 01:33:21,2024-12-12 14:57:05,868574042958772,GV55W,Default group,8951101630975586197F,,,R00A12V03,0102,01.12,100.0,4.16,,,,,,,,,,,,,,,,,,,,,
1164,868574042903539,2025-07-17 04:18:44,2024-10-31 20:37:16,868574042903539,GV55W,Default group,89571016027092432888,,,R00A12V03,0102,01.12,31.0,3.73,,,,,,,,,,,,,,,,,,,,,
1165,868574042902895,2025-07-16 20:45:50,2024-10-31 20:37:16,868574042902895,GV55W,Default group,89571016027092432375,,,R00A12V03,0102,01.12,100.0,4.16,,,,,,,,,,,,,,,,,,,,,
1166,868574042921457,2025-07-17 10:12:43,2024-10-31 20:37:16,868574042921457,GV55W,Default group,89571016027092432318,,,R00A12V03,0102,01.12,99.0,4.11,,,,,,,,,,,,,,,,,,,,,
1167,868574042909247,2025-07-17 09:55:17,2024-10-31 20:37:16,868574042909247,GV55W,Default group,89571016027092432334,,,R00A12V03,0102,01.12,100.0,4.16,,,,,,,,,,,,,,,,,,,,,
1168,868574042930482,2025-07-17 02:34:41,2024-10-31 20:37:16,868574042930482,GV55W,Default group,89571016027092432383,,,R00A12V03,0102,01.12,99.0,4.11,,,,,,,,,,,,,,,,,,,,,
1169,868574042928692,2025-07-17 18:07:46,2024-10-31 20:37:16,868574042928692,GV55W,Default group,89571016027092432474,,,R00A12V03,0102,01.12,100.0,4.18,,,,,,,,,,,,,,,,,,,,,
1170,868574042931605,2025-07-12 13:40:27,2024-10-31 20:37:16,868574042931605,GV55W,Default group,89571016027092432342,,,R00A12V03,0102,01.12,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
1171,868574042925995,2025-07-17 02:29:35,2024-10-31 20:37:16,868574042925995,GV55W,Default group,89571016027092432300,,,R00A12V03,0102,01.12,98.0,4.1,,,,,,,,,,,,,,,,,,,,,
1172,868574042891353,2025-07-17 02:02:40,2024-10-31 20:37:16,868574042891353,GV55W,Default group,89571016026083539651,,,R00A12V03,0102,01.12,100.0,4.12,,,,,,,,,,,,,,,,,,,,,
1173,868574042906722,2025-07-17 18:57:37,2024-10-31 20:37:16,868574042906722,GV55W,Default group,89571016027092432573,,,R00A12V03,0102,01.12,100.0,4.2,,,,,,,,,,,,,,,,,,,,,
1174,868574042930896,2025-01-31 23:02:02,2024-10-31 20:37:16,868574042930896,GV55W,Default group,89571016027092432326,,,R00A12V03,0102,01.12,9.0,3.59,,,,,,,,,,,,,,,,,,,,,
1175,868574042891569,2025-07-17 02:12:41,2024-10-31 20:37:16,868574042891569,GV55W,Default group,89571016026083539610,,,R00A12V03,0102,01.12,100.0,4.16,,,,,,,,,,,,,,,,,,,,,
1176,868574042908876,2025-07-17 17:29:48,2024-10-31 20:37:16,868574042908876,GV55W,Default group,89571016025024924444,,,R00A12V03,0102,01.12,100.0,4.16,,,,,,,,,,,,,,,,,,,,,
1177,868574042906680,2025-07-17 09:31:37,2024-10-31 20:37:16,868574042906680,GV55W,Default group,89571016027092433001,,,R00A12V03,0102,01.12,100.0,4.17,,,,,,,,,,,,,,,,,,,,,
1178,868574042924642,2025-07-17 02:10:58,2024-10-31 20:37:16,868574042924642,GV55W,Default group,89571016027092432565,,,R00A12V03,0102,01.12,100.0,4.18,,,,,,,,,,,,,,,,,,,,,
1179,868574042924154,2025-07-17 02:03:13,2024-10-31 20:37:16,868574042924154,GV55W,Default group,89571016027092432367,,,R00A12V03,0102,01.12,100.0,4.2,,,,,,,,,,,,,,,,,,,,,
1180,868574042930698,2025-07-17 03:00:06,2024-10-31 20:37:16,868574042930698,GV55W,Default group,89571016026083618661,,,R00A12V03,0102,01.12,96.0,4.08,,,,,,,,,,,,,,,,,,,,,
1181,868574042904636,2025-07-17 02:54:59,2024-10-31 20:37:16,868574042904636,GV55W,Default group,89571016027092432946,,,R00A12V03,0102,01.12,100.0,4.16,,,,,,,,,,,,,,,,,,,,,
1182,868574042855846,2024-12-25 02:15:48,2024-10-31 20:37:16,868574042855846,GV55W,Default group,89571016027092432359,,,R00A12V03,0102,01.12,10.0,3.6,,,,,,,,,,,,,,,,,,,,,
1183,868574042928684,2025-07-17 19:19:11,2024-10-31 20:37:16,868574042928684,GV55W,Default group,89571016026083539636,,,R00A12V03,0102,01.12,100.0,4.13,,,,,,,,,,,,,,,,,,,,,
1184,868574042907522,2025-07-17 03:07:52,2024-10-31 20:37:16,868574042907522,GV55W,Default group,89571016027092432896,,,R00A12V03,0102,01.12,100.0,4.14,,,,,,,,,,,,,,,,,,,,,
