ID,Name,Identifier,Model,User ESN Mobile Id,EOL,Enabled Services,Asset,Account,Status,Last Event Time,JPOD Firmware,JPOD Config,BLE3 Firmware,BSP Modem Firmware,Cell Radio Firmware,EdgeApp Version / Hosted App Version,User Defined Mobile ID,VBUS Mode,Pending Firmware,Pending Script,Pending JPOD FW,Pending JPOD Config,Pending EdgeApp/ Hosted App,VBU3 Firmware,ICCID,Configuration,Activation Date,Air ID,Android OS Version,App ID,Architecture,Associated LMU,Associated MDT,Carrier Status,Category,Config Status,Created On,ESN,Firmware Status,Firmware Version,First ID Report Time,Groups,ICN Enabled,ID Report Time,IMEI,IMEI2,IMSI,iOn Tag,IP Address,ISDN,Kernel Version,Last AVL Time,Last Modified On,MDN,MEID,PEG Behavior,Script Identifier,Serial Number,Ship Date,VBUS Status,Vehicle Profile,VIN (ID Report),
"2829959","","1363187479","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215340835'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-ETQT-8H3T","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363187479","","29f","2022-11-24, 04:42 PM","","false","2025-06-26, 06:46 AM","352556102769622","","732123300110997","No","","","","","2025-04-15, 02:50 PM","","","","7.72","","","ON","","",
"2829986","","1363107163","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571015020112253583'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-QRDY-LTHE","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363107163","","29b","2020-05-21, 03:42 PM","","false","2025-06-26, 04:00 AM","359369090573235","","732101541221888","No","","","","","2024-12-06, 08:22 AM","","","","7.163","","","ON","","",
"2830030","","1363186260","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571016023037452123'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-HTXZ-5XVU","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363186260","","29b","2023-01-20, 03:37 PM","","false","2025-06-26, 01:27 PM","354514101454983","","732101637927235","No","","","","","2024-12-06, 08:23 AM","","","","7.63","","","ON","","",
"2830040","","1363189762","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112214854349'","LMU330 - Null PEGBehavior","2023-06-12, 11:18 AM","U-LGB0-6HL6","","17","BIT_8","","","","LMU","","2023-06-12, 11:18 AM","1363189762","","29b","2022-12-13, 04:44 PM","","false","2025-06-26, 06:35 AM","352556102951279","","732123300006630","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830047","","1363185811","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215162155'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-BFME-ALQ8","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363185811","","29b","2023-01-27, 11:08 AM","","false","2025-06-26, 05:48 AM","354514101458976","","732123300106550","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830048","","1363186105","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112102786975'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-HM9G-16PH","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363186105","","29b","2023-01-24, 11:24 AM","","false","2025-06-26, 06:33 AM","352556102051856","","732123659086254","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830051","","1363190535","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215348309'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-X4KM-UD8C","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363190535","","29b","2022-11-18, 03:35 PM","","false","2025-06-26, 01:31 AM","352556102921660","","732123300088954","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830059","","1363188309","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215340694'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-HK9F-0WLV","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363188309","","29b","2022-11-24, 10:47 AM","","false","2025-06-26, 07:52 AM","352556102949240","","732123300108687","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830076","","1363185686","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215160845'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-VN3J-47X1","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363185686","","29b","2023-02-03, 09:58 AM","","false","2025-06-26, 10:14 AM","354514101466987","","732123300106522","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830081","","1363186172","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215161041'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-3059-XD9Y","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363186172","","29b","2023-02-06, 09:32 AM","","false","2025-06-26, 01:20 PM","352556102096851","","732123300083788","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830082","","1363185902","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215160449'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-EGUN-Z2HE","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363185902","","29b","2023-02-02, 09:18 AM","","false","2025-06-26, 07:39 AM","352556102014474","","732123300083784","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830083","","1363186324","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215168269'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-NE1U-JDY5","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363186324","","29b","2023-02-08, 12:31 PM","","false","2025-06-26, 02:59 PM","354514101457457","","732123300088496","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830100","","1363187919","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571015025030552578'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-XPUZ-B02U","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363187919","","29b","2022-09-26, 05:10 PM","","false","2025-06-26, 07:32 AM","352556102769804","","732101592996267","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830102","","1363190439","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215348556'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-NQA5-5M79","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363190439","","29b","2022-11-21, 10:27 AM","","false","2025-06-26, 09:29 AM","352556102922007","","732123300088920","No","","","","","2024-12-06, 08:23 AM","","","","7.163","","","ON","","",
"2830115","","1363186184","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112214854356'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-QW31-X024","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363186184","","29b","2023-02-03, 04:46 PM","","false","2025-06-25, 09:33 PM","352556102083347","","732123300005300","No","","","","","2025-06-25, 09:33 PM","","","","7.165","","","ON","","",
"2830130","","1363189919","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112214854182'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-PKRY-FX70","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363189919","","29f","2022-12-14, 12:15 PM","","false","2025-06-26, 08:26 AM","352556102917239","","732123300007977","No","","","","","2025-04-16, 09:03 AM","","","","7.173","","","ON","","",
"2830133","","1363114825","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571016021090725302'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-5RMT-7208","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363114825","","29b","2022-03-29, 12:25 PM","","false","2025-06-26, 03:53 AM","358077091722286","","732101620062908","No","","","","","2024-12-06, 08:23 AM","","","","7.163","","","ON","","",
"2830143","","1363189581","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215341072'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-LZ0E-FLH1","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363189581","","29b","2022-11-23, 12:24 PM","","false","2025-06-25, 04:41 PM","352556102899551","","732123300085184","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830145","","1363188973","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112214854158'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-VX4X-9JJK","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363188973","","29b","2022-12-13, 09:04 AM","","false","2025-06-26, 09:02 AM","352556102749855","","732123300007978","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
