ID,Name,Identifier,Model,User ESN Mobile Id,EOL,Enabled Services,Asset,Account,Status,Last Event Time,JPOD Firmware,JPOD Config,BLE3 Firmware,BSP Modem Firmware,Cell Radio Firmware,EdgeApp Version / Hosted App Version,User Defined Mobile ID,VBUS Mode,Pending Firmware,Pending Script,Pending JPOD FW,Pending JPOD Config,Pending EdgeApp/ Hosted App,VBU3 Firmware,ICCID,Configuration,Activation Date,Air ID,Android OS Version,App ID,Architecture,Associated LMU,Associated MDT,Carrier Status,Category,Config Status,Created On,ESN,Firmware Status,Firmware Version,First ID Report Time,Groups,ICN Enabled,ID Report Time,IMEI,IMEI2,IMSI,iOn Tag,IP Address,ISDN,Kernel Version,Last AVL Time,Last Modified On,MDN,MEID,PEG Behavior,Script Identifier,Serial Number,Ship Date,VBUS Status,Vehicle Profile,VIN (ID Report),
"2829957","","1363118676","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571016020105249332'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-QZWH-BGR0","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363118676","","29b","2022-01-30, 05:08 PM","","false","2025-06-26, 07:05 AM","359369091068409","","732101609524933","No","","","","","2024-12-06, 08:22 AM","","","","7.72","","","ON","","",
"2829970","","1363188979","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571015025019106503'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-MVUX-MAC5","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363188979","","29b","2022-10-05, 12:32 PM","","false","2025-06-26, 09:28 AM","352556102949950","","732101591851660","No","","","","","2024-12-06, 08:22 AM","","","","7.72","","","ON","","",
"2829973","","1363185684","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215160829'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-6Y70-W1Y4","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363185684","","29b","2023-02-03, 09:48 AM","","false","2025-06-25, 11:41 PM","354514101461277","","732123300106521","No","","","","","2024-12-06, 08:22 AM","","","","7.72","","","ON","","",
"2829978","","1363189848","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112214853606'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-UZYE-NCAZ","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363189848","","29b","2022-12-14, 04:18 PM","","false","2025-06-26, 11:59 AM","352556102815144","","732123300006667","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2829981","","1363189196","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571015020112253492'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-L9L5-R345","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363189196","","29b","2022-10-24, 10:40 AM","","false","2025-06-26, 06:15 AM","352556102950115","","732101541221879","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2829990","","1363185576","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215161207'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-1AQW-T49E","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363185576","","29b","2023-01-30, 06:03 PM","","false","2025-06-26, 01:10 PM","352556102100703","","732123300106573","No","","","","","2024-12-06, 08:22 AM","","","","7.173","","","ON","","",
"2830006","","1363118313","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571016021090720774'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-PHEX-U56Q","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363118313","","29b","2022-04-26, 11:53 AM","","false","2025-06-24, 08:23 PM","359369091018792","","732101620062455","No","","","","","2024-12-06, 08:23 AM","","","","7.162","","","ON","","",
"2830018","","1363115099","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571015025019101975'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-PXX8-M0PH","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363115099","","29b","2022-05-25, 10:14 AM","","false","2025-06-24, 04:47 PM","359369090558939","","732101591851207","No","","","","","2024-12-06, 08:23 AM","","","","7.163","","","ON","","",
"2830038","","1363118320","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571016021086996966'","LMU330 - Null PEGBehavior","2023-06-12, 11:18 AM","U-0VWP-AZ5G","","17","BIT_8","","","","LMU","","2023-06-12, 11:18 AM","1363118320","","29b","2022-04-29, 05:10 PM","","false","2025-06-25, 11:33 PM","359369091086609","","732101619690074","No","","","","","2024-12-06, 08:23 AM","","","","7.163","","","ON","","",
"2830058","","1363190516","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'8957123112215348606'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-W46N-BUPT","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363190516","","29b","2022-11-21, 09:03 AM","","false","2025-06-25, 05:51 PM","352556102918591","","732123300088916","No","","","","","2024-12-06, 08:23 AM","","","","7.173","","","ON","","",
"2830062","","1363108572","LMU330","","No","","","TSO Columbia","Enabled","","","","","","","","","","","","","","","","'89571015023088969539'","LMU330 - Null PEGBehavior","2023-06-12, 11:17 AM","U-AA0C-51N3","","17","BIT_8","","","","LMU","","2023-06-12, 11:17 AM","1363108572","","29b","2020-05-19, 06:08 PM","","false","2025-06-25, 06:22 PM","359369090217304","","732101574837965","No","","","","","2024-12-06, 08:23 AM","","","","7.163","","","ON","","",
