,IMEI
507,359369091110417
534,354514101586222
4251,352556102784068
4253,359369091102950
4255,352556102950370
4256,352556102748808
4257,357041065247911
4266,359369090552759
4268,352556102757825
4275,352556102948077
4276,352556102903031
4277,352556102804650
4279,352556102056228
4347,359369091064820
4383,358077093034102
4384,359369091200606
4386,359369091083994
4387,359369091065900
4388,359369091199303
4389,359369091063020
4390,359369091106662
4391,359369091085767
4392,359369091108015
4393,359369091160446
4394,354514101572495
4395,354514101573717
4414,359369091072161
4443,352556102056475
4451,358077091710117
4452,358077091793303
4470,359369090372778
4471,352556102936619
4472,358077092148671
4473,359369090537701
4474,351628096195162
4475,35807709215250
4476,359369090328192
4477,359369090544459
4478,359369090383833
4479,359369090336336
4480,359369090573144
4484,359369090348513
4487,359369090619855
4489,354514101188243
4490,358077091650081
4492,359369091042115
4499,358077092188925
4502,352556102918856
4503,359369091071452
4509,865640068185278
4529,359369090549060
4533,352556102918963
4534,359369090038759
4536,359369090042397
4539,358077093499925
4546,352556102909939
4558,352556102899072
4560,868574041318101
4582,352556102091886
4587,352556102777393
4588,352556102002677
4589,352556102949265
4606,359369090154960
4610,359369090545316
4621,359369091106407
4623,358077093498083
4630,359369091023503
4641,359369091140661
4646,352556102789455
4655,358077091669958
4656,359369091086286
4657,352556102931347
4669,352556102054645
4670,352556102808172
4671,359369090546223
4756,359369091064440
4764,352556102102238
4767,351628096763704
4774,352556102770711
4775,354514101455006
4792,359369091082491
4805,357041069745472
4806,359369091201729
4815,344514101571513
4821,354514101225425
4837,359369090625530
4850,359369091063947
4861,359369090616414
4862,358077091730271
4863,358077091609855
4879,352556102750648
4880,352556102750382
4881,352556102748550
4892,352556102765786
4893,359369090551496
4899,352556102751562
4908,352556102053779
4928,352556102936601
4929,354514101462101
4931,352556102742819
4974,359369091069910
4977,352556102808602
5016,358077091807400
5056,358077092135199
5057,359369091196820
5059,352556102768400
5060,359369091169041
5061,358077093430714
5089,359369090075629
5218,358077091608659
5219,354514101454652
5283,352556102796773
5284,359369090344181
5296,354514101467027
5355,357041060763185
5358,352556102813479
5366,359369091087847
5367,359369091068086
5371,352556102952996
5376,354514101460865
5393,358077092175328
5395,359369091365847
5398,352556102051419
5405,352556102044018
5406,352556102014193
5407,352556102038754
5408,352556102039166
5409,352556102757726
5410,352556102752792
5424,358077091710786
5425,359369090533924
5445,358077093062780
5446,358077093032619
5447,359369091071031
5448,359369091138913
5449,359369091139655
5450,359369091018941
5452,359369091041794
5453,354514101532010
5454,352556102946949
5455,352556102921942
5565,352556102951303
5566,352556102797672
5607,358077093040521
5608,359369091070421
5609,359369091129300
5613,359369090032877
5618,358077092190475
5642,358077091609905
5643,359369091146619
5649,358077092155726
5652,358077091721106
5653,358077091656898
5673,352556102899395
5674,352556102810061
5675,359369090536745
5678,358077093055644
5680,358077092827720
5682,358077093034060
5683,358077093051361
5684,359369091063962
5700,352556102898256
5706,359369090063765
5711,359369091024618
5712,359369091087219
5722,35936909004819
5741,358077091737185
5742,358077093057764
5743,352556102771362
5778,358077091704490
5779,359369091109278
5805,357041069780974
5816,352556102085813
5833,359369091104691
5839,352556102748691
5840,352556102084642
5841,359369091110870
5842,359369090559986
5843,359369091055372
5844,352556102102139
5845,358077091712964
5846,352556102770794
5847,352556102764565
5849,352556102056897
5850,352556102805475
5851,352556102801102
5852,352556102934556
5853,354514101476093
5855,352556102093726
5864,359369090541398
5868,352556102084022
5870,352556102097628
