Dec_Monthly_fee,count
0.0,279
105500.0,136
51345.0,126
29000.0,103
49917.0,103
58000.0,81
50000.0,74
59800.0,71
53500.0,56
47255.0,56
29.99,51
49900.0,43
49800.0,42
51000.0,35
54800.0,34
93400.0,30
48000.0,28
69652.0,27
32200.0,25
51027.0,24
59965.0,23
149200.0,22
49916.67,20
68880.0,19
54500.0,18
56000.0,17
41583.0,15
97400.0,15
40000.0,14
62600.0,13
67800.0,13
80000.0,12
42200.0,11
95000.0,11
27000.0,11
62200.0,9
51610.0,8
61100.0,8
59787.0,8
76200.0,8
42394.0,8
64400.0,8
45750.0,6
54531.0,6
220000.0,6
100125.0,6
22500.0,6
60000.0,5
83055.0,5
298600.0,5
95593.0,5
134600.0,4
49916.0,4
160000.0,4
46239.0,4
87850.0,4
46600.0,4
60200.0,4
52870.0,4
57597.0,4
68600.0,3
89000.0,3
71270.0,3
45850.0,2
57953.0,2
90833.0,2
52100.0,2
58405.0,2
47080.0,2
23500.0,2
45833.0,2
41853.0,2
47002.0,2
52058.0,2
19.99,2
74867.0,2
53436.0,2
65434.0,1
42800.0,1
45000.0,1
55845.0,1
59452.0,1
51086.0,1
36800.0,1
66900.0,1
49916.66,1
64104.0,1
41875.0,1
53546.0,1
52302.0,1
50187.0,1
67043.0,1
68659.0,1
63138.0,1
129200.0,1
69581.0,1
78183.0,1
101328.0,1
90867.0,1
43137.0,1
59349.0,1
100135.0,1
54750.0,1
43000.0,1
83200.0,1
