Created;Message;Status
2025-12-03 00:06:31.177;11000001,5,4764434056,1,1,1,4,48522,1764720391,1764720391,2.8960481,-75.279988,46616,0,24,10,00000000,101,-61,11110010,8,OFF,1101000,00000000,0,5,36,fs:3:0x00004B3E010723000000004B3E010723000000004B3E010723000000004B3E0107220000|;0x8305476443405601010104BD8A692F7F07692F7F0701B9E6E1D3212F780000B6180000000000180A000065FFC34F0816000005002400004B3E010723000000004B3E010723000000004B3E010723000000004B3E0107220000
2025-12-03 00:13:09.785;11000001,5,4764434056,1,1,1,4,48523,1764720811,1764720811,2.8960523,-75.2799846,47620,5,24,11,00000000,101,-63,11110010,8,OFF,1101000,00000000,0,5,36,fs:3:0x0000863E01072200000000863E010723000000004B3E010723000000004B3E0107230000|;0x8305476443405601010104BD8B692F80AB692F80AB01B9E70BD3212F9A0000BA040000000500180B000065FFC14F081600000500240000863E01072200000000863E010723000000004B3E010723000000004B3E0107230000
2025-12-03 00:19:34.790;11000001,5,4764434056,1,1,1,4,48524,1764721231,1764721231,2.8960835,-75.2799686,48455,2,24,10,00000000,101,-63,11110010,10,OFF,1101000,00000000,0,5,36,fs:3:0x00004B3E010723000000004B3E01072200000000863E01072200000000863E0107220000|;0x8305476443405601010104BD8C692F824F692F824F01B9E843D321303A0000BD470000000200180A000065FFC14F0A16000005002400004B3E010723000000004B3E01072200000000863E01072200000000863E0107220000
2025-12-03 00:27:09.873;11000001,5,4764434056,1,1,1,4,48525,1764721651,1764721651,2.8961236,-75.2799276,48511,0,24,12,00000000,101,-63,11110010,8,OFF,1101000,00000000,0,5,36,fs:3:0x0000863E01072200000000863E01072200000000863E01072200000000863E0107220000|;0x8305476443405601010104BD8D692F83F3692F83F301B9E9D4D32131D40000BD7F0000000000180C000065FFC14F081600000500240000863E01072200000000863E01072200000000863E01072200000000863E0107220000
2025-12-03 00:34:09.914;11000001,5,4764434056,1,1,1,4,48526,1764722071,1764722071,2.8960788,-75.2798961,47517,2,24,12,00000000,101,-63,11110010,8,OFF,1101000,00000000,0,5,36,fs:3:0x0000863E01072200000000863E01072200000000863E01072100000000C83E0107210000|;0x8305476443405601010104BD8E692F8597692F859701B9E814D321330F0000B99D0000000200180C000065FFC14F081600000500240000863E01072200000000863E01072200000000863E01072100000000C83E0107210000
2025-12-03 00:41:31.385;11000001,5,4764434056,1,1,1,4,48527,1764722491,1764722491,2.8960851,-75.2798741,47403,0,24,11,00000000,101,-63,11110010,8,OFF,1101000,00000000,0,5,36,fs:3:0x0000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000|;0x8305476443405601010104BD8F692F873B692F873B01B9E853D32133EB0000B92B0000000000180B000065FFC14F081600000500240000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000
2025-12-03 00:44:32.170;11000001,5,4764434056,1,1,1,10,48528,1764722728,2.8961151,-75.279911,24,0,11010000,11110000,OFF,1101000,5,3,13659229,12889,0x00000000,0,0|;0x830547644340560101010ABD90692F882801B9E97FD321327A0018000B0F16050300D06C5D0000325900000000
2025-12-03 00:48:10.036;11000001,5,4764434056,1,1,1,4,48529,1764722911,1764722911,2.8961186,-75.2799461,49062,2,24,10,00000000,101,-65,11110010,9,OFF,1101000,00000000,0,5,36,fs:3:0x0000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000|;0x8305476443405601010104BD91692F88DF692F88DF01B9E9A2D321311B0000BFA60000000200180A000065FFBF4F091600000500240000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000
2025-12-03 00:54:35.647;11000001,5,4764434056,1,1,1,4,48530,1764723331,1764723331,2.8960313,-75.2799938,46527,2,24,11,00000000,101,-65,11110010,9,OFF,1101000,00000000,0,5,36,fs:3:0x0000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000|;0x8305476443405601010104BD92692F8A83692F8A8301B9E639D3212F3E0000B5BF0000000200180B000065FFBF4F091600000500240000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000
2025-12-03 01:02:10.107;11000001,5,4764434056,1,1,1,4,48531,1764723751,1764723751,2.8960526,-75.2799215,47477,0,24,11,00000000,101,-65,11110010,8,OFF,1101000,00000000,0,5,36,fs:3:0x0000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000|;0x8305476443405601010104BD93692F8C27692F8C2701B9E70ED32132110000B9750000000000180B000065FFBF4F081600000500240000C83E01072100000000C83E01072100000000C83E01072100000000C83E0107210000
