"Unit","Time/Date (COT)","Address","Distance (km)","Total Distance (km)","Odometer","Driver"
"PRZ050","11/01/2025 3:46 AM","122-12250 Cra. 2, Soacha, Cundinamarca, 250055","0.75","0.75","19688.75",
"PRZ050","11/01/2025 3:51 AM","36-35 Cra. 9 Este, Soacha, Cundinamarca, 250054","0.27","1.02","19689.02",
"PRZ050","11/01/2025 3:52 AM","7 Este259-7 Este409 Cl. 33, Soacha, Cundinamarca, 250054","0.41","1.43","19689.44",
"PRZ050","11/01/2025 3:55 AM","Cl. 31, Soacha, Cundinamarca, 250054","0.55","1.98","19689.99",
"PRZ050","11/01/2025 3:56 AM","Dg. 30L, Soacha, Cundinamarca, 250051","0.21","2.19","19690.19",
"PRZ050","11/01/2025 3:57 AM","27 Cra. 10, Soacha, Cundinamarca, 250051","0.01","2.20","19690.19",
"PRZ050","11/01/2025 3:57 AM","26a2-26a34 Cra. 9, Soacha, Cundinamarca, 250051","0.12","2.32","19690.32",
"PRZ050","11/01/2025 3:58 AM","908-922 Cl. 24, Soacha, Cundinamarca, 250051","0.12","2.43","19690.44",
"PRZ050","11/01/2025 3:58 AM","2336-2364 Cra. 9, Soacha, Cundinamarca, 250051","0.10","2.54","19690.53",
"PRZ050","11/01/2025 3:59 AM","14-890 Cl 22, Soacha, Cundinamarca, 250051","0.01","2.54","19690.55",
"PRZ050","11/01/2025 4:00 AM","19a67-19a3 Cra. 7, Soacha, Cundinamarca, 250051","1.00","3.55","19691.55",
"PRZ050","11/01/2025 4:04 AM","920-9102 21, Soacha, Cundinamarca, 250052","0.13","3.68","19691.68",
"PRZ050","11/01/2025 4:04 AM","618-640 21, Soacha, Cundinamarca, 250052","1.68","5.36","19693.36",
"PRZ050","11/01/2025 4:06 AM","399-31 40, Soacha, Cundinamarca, 250052","0.52","5.88","19693.88",
"PRZ050","11/01/2025 4:08 AM","8 Sur1-8 Sur67 40, Soacha, Cundinamarca, 250052","0.19","6.06","19694.06",
"PRZ050","11/01/2025 4:11 AM","22 Sur1-22 Sur191 40, Soacha, Cundinamarca, 250052","0.37","6.43","19694.43",
"PRZ050","11/01/2025 4:12 AM","26 Sur784-26 Sur760 40, Soacha, Cundinamarca, 250057","0.14","6.57","19694.57",
"PRZ050","11/01/2025 4:24 AM","40, Soacha, Cundinamarca, 250057","0.70","7.27","19695.26",
"PRZ050","11/01/2025 4:25 AM","40, Sibaté, Cundinamarca, 250077","0.58","7.85","19695.84",
"PRZ050","11/01/2025 4:26 AM","40, Sibaté, Cundinamarca, 250077","0.54","8.39","19696.39",
"PRZ050","11/01/2025 4:31 AM","Variante Soacha-La Mesa, Soacha, Cundinamarca, 250057","0.87","9.25","19697.26",
"PRZ050","11/01/2025 4:33 AM","21, Soacha, Cundinamarca, 250057","0.96","10.21","19698.21",
"PRZ050","11/01/2025 4:34 AM","21, Soacha, Cundinamarca, 250057","0.47","10.68","19698.68",
"PRZ050","11/01/2025 4:36 AM","21, Soacha, Cundinamarca, 250057","1.50","12.18","19700.17",
"PRZ050","11/01/2025 4:38 AM","21, Bojacá, Cundinamarca, 253007","0.76","12.94","19700.94",
"PRZ050","11/01/2025 4:41 AM","21, Bojacá, Cundinamarca, 253007","0.16","13.10","19701.11",
"PRZ050","11/01/2025 4:42 AM","Variante Soacha-La Mesa, Bojacá, Cundinamarca, 253007","0.29","13.39","19701.40",
"PRZ050","11/01/2025 4:44 AM","21, Bojacá, Cundinamarca, 253007","0.30","13.70","19701.70",
"PRZ050","11/01/2025 4:45 AM","21, Bojacá, Cundinamarca, 253007","0.50","14.19","19702.20",
"PRZ050","11/01/2025 4:47 AM","21, Bojacá, Cundinamarca, 253007","1.52","15.72","19703.21",
"PRZ050","11/01/2025 4:49 AM","21, Bojacá, Cundinamarca, 253007","0.59","16.31","19703.81",
"PRZ050","11/01/2025 4:49 AM","21, Bojacá, Cundinamarca, 253007","0.36","16.67","19704.18",
"PRZ050","11/01/2025 4:52 AM","21, Mosquera, Cundinamarca, 250047","0.08","16.75","19704.24",
"PRZ050","11/01/2025 4:53 AM","21, Mosquera, Cundinamarca, 250047","0.32","17.07","19704.58",
"PRZ050","11/01/2025 4:55 AM","21, Mosquera, Cundinamarca, 250047","0.02","17.09","19704.60",
"PRZ050","11/01/2025 4:56 AM","21, Mosquera, Cundinamarca, 250047","0.50","17.59","19705.10",
"PRZ050","11/01/2025 5:02 AM","50, Mosquera, Cundinamarca, 250047","1.29","18.88","19706.38",
"PRZ050","11/01/2025 5:02 AM","250040, Mosquera, Cundinamarca, 250040","0.05","18.92","19706.43",
"PRZ050","11/01/2025 5:02 AM","250040, Mosquera, Cundinamarca, 250040","1.14","20.07","19707.58",
"PRZ050","11/01/2025 5:03 AM","Cl. 3 #3 Este-107, Mosquera, Cundinamarca, 250047","0.06","20.13","19707.62",
"PRZ050","11/01/2025 5:03 AM","21, Mosquera, Cundinamarca, 250047","1.09","21.22","19708.73",
"PRZ050","11/01/2025 5:06 AM","922-978 21, Funza, Cundinamarca, 250020","1.33","22.55","19710.05",
"PRZ050","11/01/2025 5:08 AM","122-1284 21, Funza, Cundinamarca, 250020","1.03","23.59","19711.08",
"PRZ050","11/01/2025 5:12 AM","222-22166 21, Funza, Cundinamarca, 250020","0.01","23.59","19711.10",
"PRZ050","11/01/2025 5:13 AM","21, Funza, Cundinamarca, 250020","0.21","23.80","19711.31",
"PRZ050","11/01/2025 5:14 AM","parque industrial El Cacique Bodega 2 Km. 2 vía Funza – Siberia, Funza, Cundinamarca, 250027","0.07","23.87","19711.37",
"PRZ050","11/01/2025 5:16 AM","21, Funza, Cundinamarca, 250027","0.30","24.17","19711.68",
"PRZ050","11/01/2025 5:17 AM","21, Funza, Cundinamarca, 250027","4.02","28.19","19715.70",
"PRZ050","11/01/2025 5:18 AM","21, Funza, Cundinamarca, 250027","1.17","29.36","19716.86",
"PRZ050","11/01/2025 5:19 AM","21, Funza, Cundinamarca, 250027","0.28","29.64","19717.13",
"PRZ050","11/01/2025 5:20 AM","21, Funza, Cundinamarca, 250027","0.33","29.96","19717.47",
"PRZ050","11/01/2025 5:21 AM","21, Funza, Cundinamarca, 250027","1.55","31.52","19719.02",
"PRZ050","11/01/2025 5:22 AM","21, Cota, Cundinamarca, 250017","0.92","32.44","19719.94",
"PRZ050","11/01/2025 5:23 AM","Gta. Siberia, Cota, Cundinamarca, 250017","1.31","33.75","19721.25",
"PRZ050","11/01/2025 5:27 AM","50, Tenjo, Cundinamarca, 250208","0.52","34.27","19721.77",
"PRZ050","11/01/2025 5:31 AM","50, Tenjo, Cundinamarca, 250208","0.02","34.29","19721.80",
"PRZ050","11/01/2025 5:33 AM","50, Madrid, Cundinamarca, 250038","0.21","34.50","19722.01",
"PRZ050","11/01/2025 5:34 AM","50, Madrid, Cundinamarca, 250038","0.07","34.57","19722.08",
"PRZ050","11/01/2025 5:36 AM","50, Puente de Piedra, Cundinamarca, 250038","0.48","35.05","19722.56",
"PRZ050","11/01/2025 5:37 AM","50, Madrid, Cundinamarca, 250038","1.10","36.16","19723.67",
"PRZ050","11/01/2025 5:38 AM","50, El Rosal, Cundinamarca, 250217","1.13","37.29","19724.80",
"PRZ050","11/01/2025 5:40 AM","50, El Rosal, Cundinamarca, 250217","0.02","37.31","19724.81",
"PRZ050","11/01/2025 5:41 AM","50, El Rosal, Cundinamarca, 250217","4.39","41.70","19729.20",
"PRZ050","11/01/2025 5:42 AM","50, Facatativá, Cundinamarca, 253058","0.89","42.59","19730.09",
"PRZ050","11/01/2025 5:43 AM","50, Facatativá, Cundinamarca, 253058","0.21","42.79","19730.30",
"PRZ050","11/01/2025 5:43 AM","50, Facatativá, Cundinamarca, 253058","0.11","42.90","19730.40",
"PRZ050","11/01/2025 5:44 AM","50, Facatativá, Cundinamarca, 253058","1.13","44.03","19731.54",
"PRZ050","11/01/2025 5:45 AM","50, Facatativá, Cundinamarca, 253058","0.17","44.20","19731.70",
"PRZ050","11/01/2025 5:45 AM","50, Facatativá, Cundinamarca, 253058","5.16","49.35","19736.87",
"PRZ050","11/01/2025 5:46 AM","4.873608377174799, San Francisco, Cundinamarca, 253608","1.14","50.49","19737.99",
"PRZ050","11/01/2025 5:46 AM","50, San Francisco, Cundinamarca, 253608","0.19","50.68","19738.18",
"PRZ050","11/01/2025 5:47 AM","50, San Francisco, Cundinamarca, 253608","0.34","51.02","19738.52",
"PRZ050","11/01/2025 5:48 AM","50, San Francisco, Cundinamarca, 253608","0.00","51.02","19738.52",
"PRZ050","11/01/2025 5:48 AM","50, San Francisco, Cundinamarca, 253608","0.82","51.84","19739.34",
"PRZ050","11/01/2025 5:49 AM","50, San Francisco, Cundinamarca, 253608","0.19","52.03","19739.54",
"PRZ050","11/01/2025 5:50 AM","50, San Francisco, Cundinamarca, 253608","0.50","52.53","19740.04",
"PRZ050","11/01/2025 5:51 AM","50, La Vega, Cundinamarca, 253618","0.00","52.53","19740.04",
"PRZ050","11/01/2025 5:51 AM","50, La Vega, Cundinamarca, 253618","0.46","52.99","19740.50",
"PRZ050","11/01/2025 5:52 AM","KM 31 AUTOPISTA MEDELLIN, El Vino, Cundinamarca, 253618","0.88","53.87","19741.37",
"PRZ050","11/01/2025 6:00 AM","50, La Vega, Cundinamarca, 253618","0.66","54.53","19742.03",
"PRZ050","11/01/2025 6:01 AM","50, La Vega, Cundinamarca, 253618","0.15","54.67","19742.18",
"PRZ050","11/01/2025 6:01 AM","50, La Vega, Cundinamarca, 253618","0.01","54.68","19742.19",
"PRZ050","11/01/2025 6:01 AM","50, La Vega, Cundinamarca, 253618","0.02","54.71","19742.21",
"PRZ050","11/01/2025 6:01 AM","50, La Vega, Cundinamarca, 253618","0.08","54.79","19742.29",
"PRZ050","11/01/2025 6:02 AM","50, La Vega, Cundinamarca, 253618","0.45","55.24","19742.74",
"PRZ050","11/01/2025 6:03 AM","50, La Vega, Cundinamarca, 253618","0.03","55.27","19742.77",
"PRZ050","11/01/2025 6:03 AM","50, La Vega, Cundinamarca, 253618","4.45","59.72","19747.23",
"PRZ050","11/01/2025 6:03 AM","110111, La Vega, Cundinamarca, 253618","1.52","61.24","19748.74",
"PRZ050","11/01/2025 6:05 AM","50, San Francisco, Cundinamarca, 253608","2.30","63.54","19751.04",
"PRZ050","11/01/2025 6:06 AM","50, San Francisco, Cundinamarca, 253608","0.08","63.62","19751.12",
"PRZ050","11/01/2025 6:06 AM","50, San Francisco, Cundinamarca, 253608","1.32","64.94","19752.44",
"PRZ050","11/01/2025 6:06 AM","50, San Francisco, Cundinamarca, 253608","0.08","65.03","19752.54",
"PRZ050","11/01/2025 6:07 AM","88888888888800000, San Francisco, Cundinamarca, 253608","0.43","65.46","19752.96",
"PRZ050","11/01/2025 6:08 AM","50, San Francisco, Cundinamarca, 253608","0.16","65.61","19753.12",
"PRZ050","11/01/2025 6:08 AM","50, San Francisco, Cundinamarca, 253608","0.93","66.54","19754.05",
"PRZ050","11/01/2025 6:09 AM","50, San Francisco, Cundinamarca, 253608","3.74","70.28","19757.79",
"PRZ050","11/01/2025 6:10 AM","50, San Francisco, Cundinamarca, 253608","0.13","70.41","19757.92",
"PRZ050","11/01/2025 6:10 AM","50, San Francisco, Cundinamarca, 253608","0.04","70.44","19757.95",
"PRZ050","11/01/2025 6:10 AM","50, San Francisco, Cundinamarca, 253608","1.61","72.05","19759.56",
"PRZ050","11/01/2025 6:11 AM","50, San Francisco, Cundinamarca, 253608","0.60","72.65","19760.15",
