,Message,Message Type,Protocole,IMEI,Serial,Mileage,Date,Ignition,Latitude,Longitude,Altitude,External Power,RPM,Speed,Satellite Number,Azimuth,Bettery level
0,"[{""Protocol"":""0x2525""","MessageType:""LocationAlarmMessage""",ProtocolHeadType:20,"Imei:""869487064428724""",SerialNo:643,Mileage:7093317,"Date:""2025-12-17T07:01:30Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:13.15,Rpm:-999,Speed:0.0,SatelliteNumber:14,Azimuth:32,OriginalAlarmCode:22}]
1,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11938,Mileage:7093317,"Date:""2025-12-17T07:02:31Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:14.14,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:32,BatteryLevel:88}]
2,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11939,Mileage:7093317,"Date:""2025-12-17T07:03:31Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:14.14,Rpm:-999,Speed:0.0,SatelliteNumber:14,Azimuth:32,BatteryLevel:88}]
3,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11940,Mileage:7093317,"Date:""2025-12-17T07:04:31Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:14.14,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:32,BatteryLevel:87}]
4,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11941,Mileage:7093317,"Date:""2025-12-17T07:05:31Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:14.14,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:32,BatteryLevel:87}]
5,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11942,Mileage:7093317,"Date:""2025-12-17T07:06:30Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:14.14,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:32,BatteryLevel:87}]
6,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11943,Mileage:7093317,"Date:""2025-12-17T07:07:30Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:14.14,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:32,BatteryLevel:87}]
7,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11944,Mileage:7093317,"Date:""2025-12-17T07:08:31Z""",IopIgnition:true,Latitude:-17.577814102172852,Longitude:-70.858268737792969,Altitude:810.70001220703125,ExternalPowerVoltage:14.14,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:32,BatteryLevel:87}]
8,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11945,Mileage:7093428,"Date:""2025-12-17T07:09:31Z""",IopIgnition:true,Latitude:-17.576948165893555,Longitude:-70.8577651977539,Altitude:816.5999755859375,ExternalPowerVoltage:14.11,Rpm:-999,Speed:15.0,SatelliteNumber:16,Azimuth:31,BatteryLevel:87}]
9,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064428724""",SerialNo:11946,Mileage:7093798,"Date:""2025-12-17T07:10:31Z""",IopIgnition:true,Latitude:-17.574108123779297,Longitude:-70.85595703125,Altitude:826.20001220703125,ExternalPowerVoltage:14.12,Rpm:-999,Speed:26.0,SatelliteNumber:16,Azimuth:31,BatteryLevel:87}]
