Speed (kph),count
6,76554
10,72954
13,68632
14,64707
5,59454
18,55793
29,49617
21,47736
23,44935
31,43563
8,40298
26,40126
34,36751
11,36028
35,33494
16,30658
39,29420
19,25632
42,25307
3,23428
43,23024
27,21401
24,21362
32,19945
47,19750
2,18119
50,17120
52,15790
37,15563
40,14146
55,14058
58,12604
60,11830
63,10708
45,10604
66,9569
48,9276
68,9064
71,8341
53,7566
72,7035
56,6820
61,5659
64,5142
69,4343
76,4211
74,2782
79,2583
80,1853
77,1591
84,1091
82,646
87,628
85,454
89,435
92,210
90,162
93,73
95,67
97,63
100,13
145,12
163,10
127,10
177,8
161,7
98,7
113,6
105,4
132,3
101,3
129,3
155,3
106,3
103,3
174,2
175,2
116,2
164,2
146,2
119,2
169,2
153,2
171,2
9,2
49,2
15,2
108,2
117,2
135,1
158,1
126,1
134,1
121,1
137,1
188,1
208,1
227,1
172,1
183,1
224,1
209,1
256,1
240,1
138,1
114,1
237,1
179,1
38,1
12,1
124,1
151,1
