,Unit,Time/Date (COT),Address,Distance (km),Total Distance (km),Odometer,Driver
484131,NNZ903,06/07/2025 5:00 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",4.23,6251.9,9626.98,
484132,NNZ903,06/07/2025 5:00 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",34.43,6286.33,9661.42,
484133,NNZ903,06/07/2025 5:00 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",328.85,6615.18,9990.27,
484134,NNZ903,06/07/2025 5:02 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",1.93,6617.11,9669.22,
484135,NNZ903,06/07/2025 5:02 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",3.69,6620.81,9672.92,
484136,NNZ903,06/07/2025 5:02 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",317.35,6938.16,9990.27,
484137,NNZ903,06/07/2025 5:03 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",0.09,6938.26,10377.62,
484138,NNZ903,06/07/2025 5:03 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",322.56,7260.82,9995.48,
484139,NNZ903,06/07/2025 5:04 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",176.07,7436.89,10171.54,
484140,NNZ903,06/07/2025 5:04 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",206.07,7642.96,10377.62,
484141,NNZ903,06/07/2025 5:04 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",2.33,7645.29,9998.51,
484142,NNZ903,06/07/2025 5:04 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",206.07,7851.36,10377.62,
484143,NNZ903,06/07/2025 5:04 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",326.11,8177.47,9999.02,
484144,NNZ903,06/07/2025 5:05 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",266.97,8444.44,10644.59,
484145,NNZ903,06/07/2025 5:06 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",480.09,8924.53,10857.72,
484146,NNZ903,06/07/2025 5:07 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",327.12,9251.66,10001.48,
484147,NNZ903,06/07/2025 5:07 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",0.56,9252.21,10002.03,
484148,NNZ903,06/07/2025 5:08 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",0.12,9252.33,10382.24,
484149,NNZ903,06/07/2025 5:09 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",263.49,9515.82,10645.74,
484150,NNZ903,06/07/2025 5:09 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",717.5,10233.32,11099.91,
484151,NNZ903,06/07/2025 5:09 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",6.59,10239.9,9680.95,
484152,NNZ903,06/07/2025 5:09 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",139.32,10379.22,9820.26,
484153,NNZ903,06/07/2025 5:10 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",138.7,10517.92,9823.8,
484154,NNZ903,06/07/2025 5:10 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",0.82,10518.74,10383.69,
484155,NNZ903,06/07/2025 5:10 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",347.76,10866.5,10171.54,
484156,NNZ903,06/07/2025 5:11 PM,"Vía Sin Nombre, Amalfi, Antioquia, 052848",212.14,11078.64,10383.69,
484157,NNZ903,06/07/2025 5:13 PM,"El Tapon, Yolombó, Antioquia, 053027",266.8,11345.44,10650.5,
484158,NNZ903,06/07/2025 5:16 PM,"El Tapon, Yolombó, Antioquia, 053027",713.49,12058.93,11099.91,
484159,NNZ903,06/07/2025 5:17 PM,"El Tapon, Yolombó, Antioquia, 053027",362.36,12421.29,10187.86,
484160,NNZ903,06/07/2025 5:17 PM,"El Tapon, Yolombó, Antioquia, 053027",678.93,13100.23,10866.79,
484161,NNZ903,06/07/2025 5:19 PM,"27 El Tapon, Yolombó, Antioquia, 053027",909.37,14009.6,11099.91,
484162,NNZ903,06/07/2025 5:21 PM,"El Tapon, Yolombó, Antioquia, 053027",244.71,14254.31,11344.61,
484163,NNZ903,06/07/2025 5:21 PM,"El Tapon, Yolombó, Antioquia, 053027",198.55,14452.86,10404.16,
484164,NNZ903,06/07/2025 5:22 PM,"El Tapon, Yolombó, Antioquia, 053027",466.19,14919.05,10870.35,
484165,NNZ903,06/07/2025 5:23 PM,"El Tapon, Yolombó, Antioquia, 053027",460.61,15379.66,10878.8,
484166,NNZ903,06/07/2025 5:23 PM,"El Tapon, Yolombó, Antioquia, 053027",11.15,15390.81,10889.94,
484167,NNZ903,06/07/2025 5:23 PM,"El Tapon, Yolombó, Antioquia, 053027",0.49,15391.3,10890.44,
484168,NNZ903,06/07/2025 5:24 PM,"El Tapon, Yolombó, Antioquia, 053027",456.95,15848.25,11347.38,
