"Fecha de la Unidad","Advertencia","Valor"
"2025/07/14 16:59:55","UnfavorableAngleOfRoadView",1
"2025/07/14 16:19:45","AuxCamDisconnected",1
"2025/07/14 16:09:03","AuxCamDisconnected",1
"2025/07/14 16:01:55","AuxCamDisconnected",1
"2025/07/14 12:55:06","AuxCamDisconnected",1
"2025/07/14 12:46:48","AuxCamDisconnected",1
"2025/07/14 11:38:18","AuxCamDisconnected",1
"2025/07/14 08:04:59","AuxCamDisconnected",1
"2025/07/14 07:38:26","AuxCamDisconnected",1
"2025/07/14 02:55:42","AuxCamDisconnected",1
"2025/07/12 13:30:35","UnfavorableAngleOfRoadView",1
"2025/07/12 12:59:05","AuxCamDisconnected",1
"2025/07/12 12:52:36","AuxCamDisconnected",1
"2025/07/12 12:37:28","AuxCamDisconnected",1
"2025/07/12 10:08:14","AuxCamDisconnected",1
"2025/07/12 09:55:18","AuxCamDisconnected",1
"2025/07/12 08:47:04","AuxCamDisconnected",1
"2025/07/11 19:16:03","AuxCamDisconnected",1
"2025/07/11 18:53:28","AuxCamDisconnected",1
"2025/07/11 16:25:28","UnfavorableAngleOfRoadView",1
"2025/07/11 15:45:48","AuxCamDisconnected",1
"2025/07/11 15:31:48","AuxCamDisconnected",1
"2025/07/11 11:17:40","UnfavorableAngleOfRoadView",1
"2025/07/11 10:15:17","AuxCamDisconnected",1
"2025/07/11 07:39:08","UnfavorableAngleOfRoadView",1
"2025/07/11 06:43:48","AuxCamDisconnected",1
"2025/07/10 17:50:49","AuxCamDisconnected",1
"2025/07/10 17:36:29","AuxCamDisconnected",1
"2025/07/10 15:56:09","UnfavorableAngleOfRoadView",1
"2025/07/10 12:38:10","AuxCamDisconnected",1
"2025/07/10 10:25:40","UnfavorableAngleOfRoadView",1
"2025/07/10 09:35:45","AuxCamDisconnected",1
"2025/07/10 07:53:43","UnfavorableAngleOfRoadView",1
"2025/07/10 06:21:05","AuxCamDisconnected",1
"2025/07/09 18:05:25","AuxCamDisconnected",1
"2025/07/09 17:25:42","AuxCamDisconnected",1
"2025/07/09 15:41:01","UnfavorableAngleOfRoadView",1
"2025/07/09 15:10:36","AuxCamDisconnected",1
"2025/07/09 14:57:34","AuxCamDisconnected",1
"2025/07/09 12:04:39","AuxCamDisconnected",1
"2025/07/09 11:45:55","AuxCamDisconnected",1
"2025/07/09 11:36:17","AuxCamDisconnected",1
"2025/07/09 10:24:23","AuxCamDisconnected",1
"2025/07/08 15:34:49","AuxCamDisconnected",1
"2025/07/08 15:27:37","AuxCamDisconnected",1
"2025/07/08 15:21:03","AuxCamDisconnected",1
"2025/07/08 15:05:48","AuxCamDisconnected",1
"2025/07/08 14:53:03","AuxCamDisconnected",1
"2025/07/08 14:20:14","AuxCamDisconnected",1
"2025/07/08 14:09:25","AuxCamDisconnected",1
"2025/07/08 13:59:33","AuxCamDisconnected",1
"2025/07/08 09:37:08","AuxCamDisconnected",1
"2025/07/08 09:26:45","AuxCamDisconnected",1
"2025/07/08 08:51:33","AuxCamDisconnected",1
"2025/07/07 14:46:34","AuxCamDisconnected",1
"2025/07/07 14:10:48","AuxCamDisconnected",1
"2025/07/07 13:33:56","AuxCamDisconnected",1
"2025/07/07 09:35:27","AuxCamDisconnected",1
"2025/07/07 09:31:58","UnfavorableAngleOfRoadView",1
"2025/07/07 09:26:29","AuxCamDisconnected",1
"2025/07/05 18:10:55","AuxCamDisconnected",1
"2025/07/05 17:23:32","AuxCamDisconnected",1
"2025/07/05 16:57:02","AuxCamDisconnected",1
"2025/07/05 16:37:12","AuxCamDisconnected",1
"2025/07/05 15:01:59","AuxCamDisconnected",1
"2025/07/05 13:45:42","AuxCamDisconnected",1
"2025/07/05 13:45:30","AuxCamDisconnected",1
"2025/07/05 13:40:19","AuxCamDisconnected",1
"2025/07/05 13:30:47","AuxCamDisconnected",1
"2025/07/05 13:10:44","AuxCamDisconnected",1
"2025/07/05 13:06:54","AuxCamDisconnected",1
"2025/07/05 11:37:01","AuxCamDisconnected",1
"2025/07/05 11:14:23","AuxCamDisconnected",1
"2025/07/05 11:14:00","AuxCamDisconnected",1
"2025/07/05 11:13:25","AuxCamDisconnected",1
"2025/07/05 10:30:49","AuxCamDisconnected",1
"2025/07/04 13:53:49","AuxCamDisconnected",1
"2025/07/04 13:28:00","AuxCamDisconnected",1
"2025/07/04 13:05:28","AuxCamDisconnected",1
"2025/07/04 12:04:48","UnfavorableAngleOfRoadView",1
"2025/07/04 10:34:10","UnfavorableAngleOfRoadView",1
"2025/07/04 10:03:52","AuxCamDisconnected",1
"2025/07/04 09:46:54","AuxCamDisconnected",1
"2025/07/04 09:19:46","AuxCamDisconnected",1
"2025/07/03 17:48:29","AuxCamDisconnected",1
"2025/07/03 16:36:56","AuxCamDisconnected",1
"2025/07/03 15:05:08","AuxCamDisconnected",1
"2025/07/03 13:13:50","AuxCamDisconnected",1
"2025/07/03 12:16:09","AuxCamDisconnected",1
"2025/07/03 11:44:59","AuxCamDisconnected",1
"2025/07/03 10:14:10","UnfavorableAngleOfRoadView",1
"2025/07/03 09:40:42","AuxCamDisconnected",1
"2025/07/03 09:35:22","AuxCamDisconnected",1
"2025/07/03 09:25:31","AuxCamDisconnected",1
"2025/07/03 09:14:28","AuxCamDisconnected",1
"2025/07/03 09:10:48","AuxCamDisconnected",1
"2025/07/03 06:22:41","AuxCamDisconnected",1
"2025/07/02 18:50:38","AuxCamDisconnected",1
"2025/07/02 17:32:44","AuxCamDisconnected",1
"2025/07/02 15:35:09","UnfavorableAngleOfRoadView",1
"2025/07/02 14:42:35","AuxCamDisconnected",1
"2025/07/02 14:35:57","AuxCamDisconnected",1
"2025/07/02 13:00:22","UnfavorableAngleOfRoadView",1
"2025/07/02 11:59:26","AuxCamDisconnected",1
"2025/07/02 10:01:35","UnfavorableAngleOfRoadView",1
"2025/07/02 09:30:13","AuxCamDisconnected",1
"2025/07/02 09:21:23","AuxCamDisconnected",1
"2025/07/02 09:12:40","AuxCamDisconnected",1
"2025/07/02 07:33:59","UnfavorableAngleOfRoadView",1
"2025/07/02 06:27:02","AuxCamDisconnected",1
"2025/07/02 06:09:06","AuxCamDisconnected",1
"2025/07/01 17:44:36","AuxCamDisconnected",1
"2025/07/01 17:29:18","AuxCamDisconnected",1
"2025/07/01 16:02:00","UnfavorableAngleOfRoadView",1
"2025/07/01 15:35:57","AuxCamDisconnected",1
"2025/07/01 15:16:49","AuxCamDisconnected",1
"2025/07/01 13:39:36","UnfavorableAngleOfRoadView",1
"2025/07/01 11:38:22","AuxCamDisconnected",1
"2025/07/01 11:21:08","AuxCamDisconnected",1
"2025/07/01 07:12:07","AuxCamDisconnected",1
"2025/07/01 06:55:23","AuxCamDisconnected",1
"2025/07/01 06:35:53","AuxCamDisconnected",1
"2025/07/01 06:16:40","AuxCamDisconnected",1
"2025/06/30 11:47:29","AuxCamDisconnected",1
"2025/06/30 11:24:51","AuxCamDisconnected",1
"2025/06/30 10:09:29","AuxCamDisconnected",1
"2025/06/30 09:33:21","AuxCamDisconnected",1
"2025/06/30 09:28:17","AuxCamDisconnected",1
"2025/06/30 07:58:34","AuxCamDisconnected",1
"2025/06/29 17:10:18","AuxCamDisconnected",1
"2025/06/29 13:29:58","AuxCamDisconnected",1
"2025/06/29 10:17:25","UnfavorableAngleOfRoadView",1
"2025/06/28 18:53:56","AuxCamDisconnected",1
"2025/06/28 18:46:05","AuxCamDisconnected",1
"2025/06/28 18:02:04","AuxCamDisconnected",1
"2025/06/28 16:37:46","UnfavorableAngleOfRoadView",1
"2025/06/28 15:29:41","AuxCamDisconnected",1
"2025/06/28 15:17:50","AuxCamDisconnected",1
"2025/06/28 12:40:45","AuxCamDisconnected",1
"2025/06/28 12:28:13","AuxCamDisconnected",1
"2025/06/28 10:54:12","AuxCamDisconnected",1
"2025/06/27 17:06:57","AuxCamDisconnected",1
"2025/06/27 09:33:27","AuxCamDisconnected",1
"2025/06/27 07:25:53","UnfavorableAngleOfRoadView",1
"2025/06/27 06:21:47","AuxCamDisconnected",1
"2025/06/27 06:18:42","AuxCamDisconnected",1
"2025/06/26 18:30:37","AuxCamDisconnected",1
"2025/06/26 16:27:53","UnfavorableAngleOfRoadView",1
"2025/06/26 15:52:33","AuxCamDisconnected",1
"2025/06/26 15:39:48","AuxCamDisconnected",1
"2025/06/26 15:28:29","AuxCamDisconnected",1
"2025/06/26 12:33:12","AuxCamDisconnected",1
"2025/06/26 10:47:29","UnfavorableAngleOfRoadView",1
"2025/06/26 09:46:57","AuxCamDisconnected",1
"2025/06/26 07:17:35","AuxCamDisconnected",1
"2025/06/25 21:42:14","AuxCamDisconnected",1
"2025/06/25 20:35:02","AuxCamDisconnected",1
"2025/06/25 20:16:47","AuxCamDisconnected",1
"2025/06/25 17:03:58","UnfavorableAngleOfRoadView",1
"2025/06/25 16:07:17","AuxCamDisconnected",1
"2025/06/25 14:40:57","UnfavorableAngleOfRoadView",1
"2025/06/25 14:40:57","MainboardReboot",1
"2025/06/25 14:30:58","AuxCamDisconnected",1
"2025/06/25 14:28:26","AuxCamDisconnected",1
"2025/06/25 14:25:31","AuxCamDisconnected",1
"2025/06/25 13:37:11","AuxCamDisconnected",1
"2025/06/25 09:55:27","AuxCamDisconnected",1
"2025/06/25 08:46:51","AuxCamDisconnected",1
"2025/06/25 07:13:30","AuxCamDisconnected",1
