"Fecha de la Unidad","Advertencia","Valor"
"2025/07/13 11:46:12","MainboardReboot",1
"2025/07/13 08:25:02","UnfavorableAngleOfRoadView",1
"2025/07/12 16:37:08","UnfavorableAngleOfRoadView",1
"2025/07/12 08:48:32","UnfavorableAngleOfRoadView",1
"2025/07/11 19:19:24","UnfavorableAngleOfRoadView",1
"2025/07/11 13:43:58","UnfavorableAngleOfRoadView",1
"2025/07/10 17:05:09","UnfavorableAngleOfRoadView",1
"2025/07/10 14:04:15","UnfavorableAngleOfRoadView",1
"2025/07/10 09:15:29","UnfavorableAngleOfRoadView",1
"2025/07/09 15:17:01","UnfavorableAngleOfRoadView",1
"2025/07/09 06:02:14","MainboardReboot",1
"2025/07/08 15:35:15","UnfavorableAngleOfRoadView",1
"2025/07/08 12:45:42","UnfavorableAngleOfRoadView",1
"2025/07/08 08:46:20","UnfavorableAngleOfRoadView",1
"2025/07/08 06:37:30","MCUDisconnected",1
"2025/07/07 12:50:51","MainboardReboot",1
"2025/07/05 18:10:37","MainboardReboot",1
"2025/07/05 11:03:35","MainboardReboot",1
"2025/07/04 11:54:34","MainboardReboot",1
"2025/07/02 20:45:50","MCUDisconnected",1
"2025/07/02 11:27:45","MainboardReboot",1
"2025/07/01 09:35:13","MainboardReboot",1
"2025/06/29 09:18:14","UnfavorableAngleOfRoadView",1
"2025/06/28 14:19:53","UnfavorableAngleOfRoadView",1
"2025/06/28 08:09:14","UnfavorableAngleOfRoadView",1
"2025/06/27 15:07:57","UnfavorableAngleOfRoadView",1
"2025/06/27 09:09:59","UnfavorableAngleOfRoadView",1
"2025/06/27 07:33:10","UnfavorableAngleOfRoadView",1
"2025/06/26 13:36:49","MainboardReboot",1
"2025/06/26 12:10:06","UnfavorableAngleOfRoadView",1
"2025/06/26 08:15:35","UnfavorableAngleOfRoadView",1
"2025/06/25 08:49:54","UnfavorableAngleOfRoadView",1
"2025/06/25 06:24:51","MCUDisconnected",1
"2025/06/24 13:00:40","UnfavorableAngleOfRoadView",1
"2025/06/22 15:26:56","UnfavorableAngleOfRoadView",1
"2025/06/22 10:38:14","UnfavorableAngleOfRoadView",1
