Created;Message;Status
2025-10-01 00:00:33.049;11000001,5,4764412618,1,1,1,10,9331,1759276832,-12.0437103,-77.14566,341,0,01010000,11110000,OFF,1101000,2,7,0,31,0x01754A2900003259000000000000000000000000|;0x830547644126180101010A247368DC6F20F8D24691D20481A80155000A0F160247000000000000001F01754A2900003259000000000000000000000000
2025-10-01 00:10:31.218;11000001,5,4764412618,1,1,1,10,9332,1759277431,-12.0436961,-77.145662,341,0,11010000,11110000,OFF,1101000,5,7,0,31,0x01754A29000031E0000000000000000000000000|;0x830547644126180101010A247468DC7177F8D2471FD20481940155000B0F160547000000000000001F01754A29000031E0000000000000000000000000
2025-10-01 02:29:10.561;11000001,5,4764412618,1,1,1,10,9333,1759285749,-12.0436905,-77.1457038,341,0,00110000,11110000,ON,1101000,1,7,0,31,0x01754A2900002F06000000000000000000000000|;0x830547644126180101010A247568DC91F5F8D24757D2047FF20155000C0F170147000000000000001F01754A2900002F06000000000000000000000000
2025-10-01 02:30:28.053;11000001,5,4764412618,1,1,1,10,9334,1759285827,-12.043535,-77.145496,137,0,00110000,11110000,OFF,1101000,2,7,0,31,0x01754AC40000336B000000000000000000000000|;0x830547644126180101010A247668DC9243F8D24D6AD20488100089000C0F160247000000000000001F01754AC40000336B000000000000000000000000
2025-10-01 02:40:27.399;11000001,5,4764412618,1,1,1,10,9335,1759286427,-12.0435383,-77.1455305,137,0,00110000,11110000,OFF,1101000,5,7,0,31,0x01754AC4000030EC000000000000000000000000|;0x830547644126180101010A247768DC949BF8D24D49D20486B70089000C0F160547000000000000001F01754AC4000030EC000000000000000000000000
2025-10-01 02:41:58.857;11000001,5,4764412618,1,1,1,10,9336,1759286518,-12.0435493,-77.1455223,137,0,00110000,11110000,ON,1101000,1,7,0,31,0x01754AC400003073000000000000000000000000|;0x830547644126180101010A247868DC94F6F8D24CDBD20487090089000C0F170147000000000000001F01754AC400003073000000000000000000000000
2025-10-01 02:44:58.396;11000001,5,4764412618,1,1,1,10,9337,1759286698,-12.0435595,-77.1455031,137,0,00110000,11110000,ON,1101000,4,7,0,31,0x01754AC400003073000000000000000000000000|;0x830547644126180101010A247968DC95AAF8D24C75D20487C90089000C0F170447000000000000001F01754AC400003073000000000000000000000000
2025-10-01 02:46:58.394;11000001,5,4764412618,1,1,1,10,9338,1759286818,-12.0435495,-77.1455093,137,0,00110000,11110000,ON,1101000,45,7,0,31,0x01754AC400003073000000000000000000000000|;0x830547644126180101010A247A68DC9622F8D24CD9D204878B0089000C0F172D47000000000000001F01754AC400003073000000000000000000000000
2025-10-01 03:04:35.590;11000001,5,4764412618,1,1,1,10,9339,1759287875,-12.0435466,-77.1454893,137,0,01010000,11110000,OFF,1101000,2,7,0,31,0x01754AC400003073000000000000000000000000|;0x830547644126180101010A247B68DC9A43F8D24CF6D20488530089000A0F160247000000000000001F01754AC400003073000000000000000000000000
2025-10-01 03:14:34.197;11000001,5,4764412618,1,1,1,10,9340,1759288475,-12.0435513,-77.1454683,137,0,00110000,11110000,OFF,1101000,5,7,0,31,0x01754AC400003091000000000000000000000000|;0x830547644126180101010A247C68DC9C9BF8D24CC7D20489250089000C0F160547000000000000001F01754AC400003091000000000000000000000000
2025-10-01 03:57:47.260;11000001,5,4764412618,1,1,1,10,9341,1759291067,-12.0435508,-77.145435,137,0,10110000,11110000,ON,1101000,1,7,0,31,0x01754AC400003129000000000000000000000000|;0x830547644126180101010A247D68DCA6BBF8D24CCCD2048A720089000D0F170147000000000000001F01754AC400003129000000000000000000000000
2025-10-01 03:59:11.111;11000001,5,4764412618,1,1,1,10,9342,1759291152,-12.0442213,-77.1452705,139,23,00110000,11110000,ON,1101000,8,7,0,31,0x01754B6E000036FB000000000000000000000000|;0x830547644126180101010A247E68DCA710F8D2329BD20490DF008B170C0F170847000000000000001F01754B6E000036FB000000000000000000000000
2025-10-01 03:59:55.808;11000001,5,4764412618,1,1,1,10,9343,1759291196,-12.0465378,-77.1430786,91,25,01110000,11110000,ON,1101000,3,7,0,31,0x01754CCA000036FB000000000000000000000000|;0x830547644126180101010A247F68DCA73CF8D1D81ED204E67E005B190E0F170347000000000000001F01754CCA000036FB000000000000000000000000
2025-10-01 04:00:07.146;11000001,5,4764412618,1,1,1,10,9344,1759291208,-12.046494,-77.1424576,141,18,11110000,11110000,ON,1101100,3,7,0,31,0x01754D15000036BE000000000000000000000000|;0x830547644126180101010A248068DCA748F8D1D9D4D204FEC0008D120F0F370347000000000000001F01754D15000036BE000000000000000000000000
2025-10-01 04:00:09.477;11000001,5,4764412618,1,1,1,10,9345,1759291211,-12.0466538,-77.1424385,187,25,11110000,11110000,ON,1101100,3,7,0,31,0x01754D27000036FB000000000000000000000000|;0x830547644126180101010A248168DCA74BF8D1D396D204FF7F00BB190F0F370347000000000000001F01754D27000036FB000000000000000000000000
2025-10-01 04:00:41.166;11000001,5,4764412618,1,1,1,10,9346,1759291242,-12.0492121,-77.1420138,136,20,01110000,11110000,ON,1101100,3,7,0,31,0x01754E46000036BE000000000000000000000000|;0x830547644126180101010A248268DCA76AF8D16FA7D20510160088140E0F370347000000000000001F01754E46000036BE000000000000000000000000
2025-10-01 04:00:43.817;11000001,5,4764412618,1,1,1,10,9347,1759291245,-12.0492571,-77.1418426,89,23,11110000,11110000,ON,1101100,3,7,0,31,0x01754E59000036FB000000000000000000000000|;0x830547644126180101010A248368DCA76DF8D16DE5D20516C60059170F0F370347000000000000001F01754E59000036FB000000000000000000000000
2025-10-01 04:01:37.120;11000001,5,4764412618,1,1,1,10,9348,1759291298,-12.0490141,-77.1399618,71,1,10110000,11110000,ON,1101100,9,7,0,31,0x01754F2700003681000000000000000000000000|;0x830547644126180101010A248468DCA7A2F8D17763D205603E0047010D0F370947000000000000001F01754F2700003681000000000000000000000000
2025-10-01 04:02:14.074;11000001,5,4764412618,1,1,1,10,9349,1759291335,-12.0485553,-77.1386126,76,30,01110000,11110000,ON,1101000,8,7,0,31,0x01754FC4000036BE000000000000000000000000|;0x830547644126180101010A248568DCA7C7F8D1894FD20594F2004C1E0E0F170847000000000000001F01754FC4000036BE000000000000000000000000
2025-10-01 04:02:56.651;11000001,5,4764412618,1,1,1,10,9350,1759291376,-12.0482155,-77.1370568,77,0,10110000,11110000,ON,1101000,9,7,0,31,0x0175506D000036BE000000000000000000000000|;0x830547644126180101010A248668DCA7F0F8D19695D205D1B8004D000D0F170947000000000000001F0175506D000036BE000000000000000000000000
2025-10-01 04:05:55.185;11000001,5,4764412618,1,1,1,10,9351,1759291556,-12.0481876,-77.1369523,77,6,10110000,11110000,ON,1101000,4,7,0,31,0x01755072000036A0000000000000000000000000|;0x830547644126180101010A248768DCA8A4F8D197ACD205D5CD004D060D0F170447000000000000001F01755072000036A0000000000000000000000000
2025-10-01 04:07:55.190;11000001,5,4764412618,1,1,1,10,9352,1759291676,-12.0504088,-77.1375975,65,9,01110000,11110000,ON,1101100,45,7,0,31,0x017551EE000036BE000000000000000000000000|;0x830547644126180101010A248868DCA91CF8D140E8D205BC990041090E0F372D47000000000000001F017551EE000036BE000000000000000000000000
2025-10-01 04:16:02.268;11000001,5,4764412618,1,1,1,10,9353,1759292162,-12.0483796,-77.1381138,257,35,11110000,11110000,ON,1101000,8,7,0,31,0x017553F3000036BE000000000000000000000000|;0x830547644126180101010A248968DCAB02F8D1902CD205A86E0101230F0F170847000000000000001F017553F3000036BE000000000000000000000000
2025-10-01 04:16:58.175;11000001,5,4764412618,1,1,1,10,9354,1759292218,-12.0489441,-77.1398938,264,5,11110000,11110000,ON,1101000,9,7,0,31,0x017554BF00003681000000000000000000000000|;0x830547644126180101010A248A68DCAB3AF8D17A1FD20562E60108050F0F170947000000000000001F017554BF00003681000000000000000000000000
2025-10-01 04:17:18.216;11000001,5,4764412618,1,1,1,10,9355,1759292238,-12.0490698,-77.1408593,261,23,01110000,11110000,ON,1101100,8,7,0,31,0x01755529000036BE000000000000000000000000|;0x830547644126180101010A248B68DCAB4EF8D17536D2053D2F0105170E0F370847000000000000001F01755529000036BE000000000000000000000000
2025-10-01 04:18:17.369;11000001,5,4764412618,1,1,1,10,9356,1759292296,-12.0494888,-77.1439806,307,14,10110000,11110000,ON,1101100,3,7,0,31,0x0175567A000036A0000000000000000000000000|;0x830547644126180101010A248C68DCAB88F8D164D8D204C34201330E0D0F370347000000000000001F0175567A000036A0000000000000000000000000
2025-10-01 04:18:19.137;11000001,5,4764412618,1,1,1,10,9357,1759292300,-12.0493666,-77.1440243,354,20,10110000,11110000,ON,1101100,3,7,0,31,0x0175568C000036A0000000000000000000000000|;0x830547644126180101010A248D68DCAB8CF8D1699ED204C18D0162140D0F370347000000000000001F0175568C000036A0000000000000000000000000
2025-10-01 04:19:04.413;11000001,5,4764412618,1,1,1,10,9358,1759292344,-12.0468608,-77.1437715,41,20,10110000,11110000,ON,1101100,3,7,0,31,0x017557A4000036BE000000000000000000000000|;0x830547644126180101010A248E68DCABB8F8D1CB80D204CB6D0029140D0F370347000000000000001F017557A4000036BE000000000000000000000000
2025-10-01 04:19:17.149;11000001,5,4764412618,1,1,1,10,9359,1759292357,-12.0463901,-77.143378,355,19,01110000,11110000,ON,1101100,3,7,0,31,0x017557EC000036BE000000000000000000000000|;0x830547644126180101010A248F68DCABC5F8D1DDE3D204DACC0163130E0F370347000000000000001F017557EC000036BE000000000000000000000000
2025-10-01 04:20:00.942;11000001,5,4764412618,1,1,1,10,9360,1759292400,-12.0442795,-77.1453498,309,24,00110000,11110000,ON,1101000,3,7,0,31,0x01755922000036A0000000000000000000000000|;0x830547644126180101010A249068DCABF0F8D23055D2048DC60135180C0F170347000000000000001F01755922000036A0000000000000000000000000
2025-10-01 04:20:09.885;11000001,5,4764412618,1,1,1,10,9361,1759292409,-12.0438881,-77.1455315,355,12,01110000,11110000,ON,1101000,3,7,0,31,0x01755950000036BE000000000000000000000000|;0x830547644126180101010A249168DCABF9F8D23F9FD20486AD01630C0E0F170347000000000000001F01755950000036BE000000000000000000000000
2025-10-01 04:20:12.108;11000001,5,4764412618,1,1,1,10,9362,1759292412,-12.0437821,-77.1454661,41,14,01110000,11110000,ON,1101000,3,7,0,31,0x0175595B000036A0000000000000000000000000|;0x830547644126180101010A249268DCABFCF8D243C3D204893B00290E0E0F170347000000000000001F0175595B000036A0000000000000000000000000
