Created;Message;Status
2025-11-13 00:07:18.526;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2627,""Mileage"":469745,""Date"":""2025-11-13T00:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.37,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":337,""BatteryLevel"":100}]";0x25251300590A430869487064593055003C0E102D000000484F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF100251113000733334B23451DF792C2E0FCB0400000015103901337FFFFFF0000250000FFFFFF
2025-11-13 01:07:18.412;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2628,""Mileage"":469745,""Date"":""2025-11-13T01:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.28,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":337,""BatteryLevel"":100}]";0x25251300590A440869487064593055003C0E102D000000444F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF100251113010733334B23451DF792C2E0FCB0400000015103901328FFFFFF0000210000FFFFFF
2025-11-13 02:07:38.191;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2629,""Mileage"":469745,""Date"":""2025-11-13T02:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.21,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":337,""BatteryLevel"":100}]";0x25251300590A450869487064593055003C0E102D000000484E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF100251113020733334B23451DF792C2E0FCB0400000015103901321FFFFFF00001D0000FFFFFF
2025-11-13 03:06:54.146;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2630,""Mileage"":469745,""Date"":""2025-11-13T03:07:32Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.12,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":337,""BatteryLevel"":98}]";0x25251300590A460869487064593055003C0E102D000000484E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF198251113030732334B23451DF792C2E0FCB0400000015103891312FFFFFF00001B0000FFFFFF
2025-11-13 04:06:54.966;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2631,""Mileage"":469745,""Date"":""2025-11-13T04:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.08,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":13,""Azimuth"":337,""BatteryLevel"":96}]";0x25251300590A470869487064593055003C0E102D000000444D00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF196251113040733334B23451DF792C2E0FCB0400000015103891308FFFFFF0000190000FFFFFF
2025-11-13 05:07:18.834;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2632,""Mileage"":469745,""Date"":""2025-11-13T05:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.03,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":337,""BatteryLevel"":95}]";0x25251300590A480869487064593055003C0E102D000000414F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF195251113050733334B23451DF792C2E0FCB0400000015103881303FFFFFF0000180000FFFFFF
2025-11-13 06:07:18.659;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2633,""Mileage"":469745,""Date"":""2025-11-13T06:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.02,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":337,""BatteryLevel"":95}]";0x25251300590A490869487064593055003C0E102D0000003E4E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF195251113060733334B23451DF792C2E0FCB0400000015103881302FFFFFF0000160000FFFFFF
2025-11-13 07:06:54.440;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2634,""Mileage"":469745,""Date"":""2025-11-13T07:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.0,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":94}]";0x25251300590A4A0869487064593055003C0E102D000000415000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF194251113070733334B23451DF792C2E0FCB0400000015103881300FFFFFF0000150000FFFFFF
2025-11-13 08:07:18.239;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2635,""Mileage"":469745,""Date"":""2025-11-13T08:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":12.99,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":94}]";0x25251300590A4B0869487064593055003C0E102D0000003E5000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF194251113080733334B23451DF792C2E0FCB0400000015103881299FFFFFF0000140000FFFFFF
2025-11-13 09:06:53.991;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2636,""Mileage"":469745,""Date"":""2025-11-13T09:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.0,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":94}]";0x25251300590A4C0869487064593055003C0E102D000000415000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF194251113090733334B23451DF792C2E0FCB0400000015103881300FFFFFF0000130000FFFFFF
2025-11-13 10:07:19.028;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2637,""Mileage"":469745,""Date"":""2025-11-13T10:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.0,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":94}]";0x25251300590A4D0869487064593055003C0E102D000000445000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF194251113100733334B23451DF792C2E0FCB0400000015103881300FFFFFF0000120000FFFFFF
2025-11-13 11:07:18.881;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2638,""Mileage"":469745,""Date"":""2025-11-13T11:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":13.0,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":94}]";0x25251300590A4E0869487064593055003C0E102D000000445000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF194251113110733334B23451DF792C2E0FCB0400000015103881300FFFFFF0000120000FFFFFF
2025-11-13 12:07:18.744;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2639,""Mileage"":469745,""Date"":""2025-11-13T12:07:33Z"",""IopIgnition"":false,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":12.97,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":18,""Azimuth"":337,""BatteryLevel"":94}]";0x25251300590A4F0869487064593055003C0E102D000000445200000007000020000000FFFFFFFFFFFFFFFFFFFF00D500072AF194251113120733334B23451DF792C2E0FCB0400000015103881297FFFFFF0000110000FFFFFF
2025-11-13 12:35:49.563;"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064593055"",""SerialNo"":80,""Mileage"":469745,""Date"":""2025-11-13T12:36:28Z"",""IopIgnition"":true,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":12.58,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":337,""OriginalAlarmCode"":22}]";0x252514005900500869487064593055003C0E102D000000445100000007000061000000FFFFFFFFFFFFFFFFFFFF16D500072AF193251113123628334B23451DF792C2E0FCB0400000015103881258FFFFFF0000110000FFFFFF
2025-11-13 12:36:50.426;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2640,""Mileage"":469745,""Date"":""2025-11-13T12:37:29Z"",""IopIgnition"":true,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":14.47,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":93}]";0x25251300590A500869487064593055003C0E102D000000445000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500072AF193251113123729334B23451DF792C2E0FCB0400000015103881447FFFFFF0000110000FFFFFF
2025-11-13 12:37:50.245;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2641,""Mileage"":469745,""Date"":""2025-11-13T12:38:29Z"",""IopIgnition"":true,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":14.52,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":92}]";0x25251300590A510869487064593055003C0E102D000000445000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500072AF192251113123829334B23451DF792C2E0FCB0400000015103881452FFFFFF0000120000FFFFFF
2025-11-13 12:38:50.125;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2642,""Mileage"":469745,""Date"":""2025-11-13T12:39:29Z"",""IopIgnition"":true,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":14.53,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":93}]";0x25251300590A520869487064593055003C0E102D000000445000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500072AF193251113123929334B23451DF792C2E0FCB0400000015103881453FFFFFF0000110000FFFFFF
2025-11-13 12:39:49.962;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2643,""Mileage"":469745,""Date"":""2025-11-13T12:40:29Z"",""IopIgnition"":true,""Latitude"":5.5308685302734375,""Longitude"":-73.4826431274414,""Altitude"":2612.699951171875,""ExternalPowerVoltage"":14.59,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":337,""BatteryLevel"":92}]";0x25251300590A530869487064593055003C0E102D000000445000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500072AF192251113124029334B23451DF792C2E0FCB0400000015103881459FFFFFF0000120000FFFFFF
2025-11-13 12:40:10.746;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064593055"",""SerialNo"":2644,""Mileage"":469792,""Date"":""2025-11-13T12:40:49Z"",""IopIgnition"":true,""Latitude"":5.5305771827697754,""Longitude"":-73.482330322265625,""Altitude"":2601.0,""ExternalPowerVoltage"":14.6,""Rpm"":-999,""Speed"":5.0,""SatelliteNumber"":17,""Azimuth"":147,""BatteryLevel"":92}]";0x25251300590A540869487064593055003C0E102D000000445100000007000061000000FFFFFFFFFFFFFFFFFFFF00D500072B209225111312404900902245F4F692C27DFAB0400050009303871460FFFFFF0000120000FFFFFF
