,Created,Message,Status
7569,2025-06-03 19:18:10.689,"11000001,5,4764434670,1,1,1,4,7561,1748977712,1748977712,11.0017543,-74.7864036,1781,66,290,4,00000000,101,-51,11110010,41,ON,1101000,00000000,0,5,36,fs:3:0x903E01072E600B0FB6013E01072E610B12B6EB3E01072E610B14B6413E02072DD00A0EAD|",0x83054764434670010101041D89683F4830683F4830068EBC07D36C801C000006F500000042012204000065FFCD4F29170000050024903E01072E600B0FB6013E01072E610B12B6EB3E01072E610B14B6413E02072DD00A0EAD
7570,2025-06-03 19:18:10.839,"11000001,5,4764434670,1,1,1,4,7562,1748977720,1748977716,11.0017338,-74.786438,1343,252,268,3,00101000,101,-51,11110010,37,ON,1101000,00000000,0,5,36,fs:3:0x4B3E01072E610B17B6143E02072ED20A27AD713E01072E610B1AB69D3E02072ED30A3AAD|",0x83054764434670010101041D8A683F4838683F4834068EBB3AD36C7EC40000053F000000FC010C03140065FFCD4F251700000500244B3E01072E610B17B6143E02072ED20A27AD713E01072E610B1AB69D3E02072ED30A3AAD
7571,2025-06-03 19:18:10.989,"11000001,5,4764434670,1,1,1,4,7563,1748977731,1748977716,11.0017338,-74.786438,1343,252,268,3,00101000,101,-51,11110010,37,ON,1101000,00000000,0,5,36,fs:3:0x9B3E01072E610B1CB6373E02072ED30A38AD0A3E01072E610B1FB6623E01072E620B21B6|",0x83054764434670010101041D8B683F4843683F4834068EBB3AD36C7EC40000053F000000FC010C03140065FFCD4F251700000500249B3E01072E610B1CB6373E02072ED30A38AD0A3E01072E610B1FB6623E01072E620B21B6
7757,2025-06-03 19:23:38.897,"11000001,5,4764434670,1,1,1,4,7749,1748978618,1748978618,11.001807,-74.7864591,0,63,316,5,00000000,101,-57,11110010,19,ON,1101000,00000000,0,5,36,fs:3:0x01062F420F25F4CE3E020732410C14C4153101066C3E01062F410F15F46B31010E6C3E01|",0x83054764434670010101041E45683F4BBA683F4BBA068EBE16D36C7DF1000000000000003F013C05000065FFC74F1317000005002401062F420F25F4CE3E020732410C14C4153101066C3E01062F410F15F46B31010E6C3E01
7758,2025-06-03 19:23:46.418,"11000001,5,4764434670,1,1,1,4,7750,1748978625,1748978625,11.0018086,-74.7864516,0,36,316,4,00000000,101,-53,11110010,30,ON,0101000,00000000,0,5,36,fs:3:0x062F400F05F4083E020732430C3BC4CB3101066C3101066C3E020732460C62C48F314010|",0x83054764434670010101041E46683F4BC1683F4BC1068EBE26D36C7E3C0000000000000024013C04000065FFCB4F1E150000050024062F400F05F4083E020732430C3BC4CB3101066C3101066C3E020732460C62C48F314010
7760,2025-06-03 19:23:52.248,"11000001,5,4764434670,1,1,1,4,7752,1748978632,1748978632,11.0017735,-74.7864293,0,75,316,4,00000000,101,-53,11110010,30,ON,1101000,00000000,0,5,36,fs:3:0xFB3E020732470C72C4EC3101066C3101066C3E020732470C7FC46531FF41EC3EFF411705|",0x83054764434670010101041E48683F4BC8683F4BC8068EBCC7D36C7F1B000000000000004B013C04000065FFCB4F1E170000050024FB3E020732470C72C4EC3101066C3101066C3E020732470C7FC46531FF41EC3EFF411705
7761,2025-06-03 19:23:52.726,"11000001,5,4764434670,1,1,1,4,7753,1748978632,1748978632,11.0017735,-74.7864293,0,75,316,4,00000000,101,-53,11110010,30,ON,1101000,00000000,0,5,36,fs:3:0x003F3203015525009796000002000399AA31024D5F3E024D0783310260C13E026000022B|",0x83054764434670010101041E49683F4BC8683F4BC8068EBCC7D36C7F1B000000000000004B013C04000065FFCB4F1E170000050024003F3203015525009796000002000399AA31024D5F3E024D0783310260C13E026000022B
7763,2025-06-03 19:23:57.305,"11000001,5,4764434670,1,1,1,4,7755,1748978637,1748978637,11.0017291,-74.7864426,0,116,238,3,00001000,101,-55,11110010,31,ON,1101000,00000000,0,5,36,fs:3:0x2185DA0008DE3102701C310206393E020632480C8BC46A310206393E020632490C94C411|",0x83054764434670010101041E4B683F4BCD683F4BCD068EBB0BD36C7E96000000000000007400EE03100065FFC94F1F1700000500242185DA0008DE3102701C310206393E020632480C8BC46A310206393E020632490C94C411
7764,2025-06-03 19:24:05.458,"11000001,5,4764434670,1,1,1,4,7756,1748978644,1748978644,11.0017433,-74.786332,0,72,278,6,00000000,101,-55,11110010,18,ON,1101000,00000000,0,5,36,fs:3:0x310206393E020632490C9CC467310206393E0206324A0CA5C470310206393E0206324A0C|",0x83054764434670010101041E4C683F4BD4683F4BD4068EBB99D36C82E80000000000000048011606000065FFC94F12170000050024310206393E020632490C9CC467310206393E0206324A0CA5C470310206393E0206324A0C
7766,2025-06-03 19:24:12.978,"11000001,5,4764434670,1,1,1,4,7758,1748978652,1748978652,11.0017413,-74.7862321,0,47,278,5,00000000,101,-55,11110010,19,ON,1101000,00000000,0,5,36,fs:3:0xAEC453310206393E0206324B0CB7C482310206393E0206324C0CC0C4DC310206393E0206|",0x83054764434670010101041E4E683F4BDC683F4BDC068EBB85D36C86CF000000000000002F011605000065FFC94F13170000050024AEC453310206393E0206324B0CB7C482310206393E0206324C0CC0C4DC310206393E0206
7767,2025-06-03 19:24:20.435,"11000001,5,4764434670,1,1,1,4,7759,1748978659,1748978659,11.0017571,-74.7861805,0,44,296,6,00000000,101,-55,11110010,18,ON,1101000,00000000,0,5,36,fs:3:0x324C0CC9C46E310206393E0206324D0CD1C47B310206393E0206324D0CDAC45831020639|",0x83054764434670010101041E4F683F4BE3683F4BE3068EBC23D36C88D3000000000000002C012806000065FFC94F12170000050024324C0CC9C46E310206393E0206324D0CD1C47B310206393E0206324D0CDAC45831020639
7768,2025-06-03 19:24:27.937,"11000001,5,4764434670,1,1,1,4,7760,1748978667,1748978667,11.0017511,-74.7860926,0,25,296,4,00000000,101,-55,11110010,31,ON,1101000,00000000,0,5,36,fs:3:0x3E0206324E0CE3C44F310206393E0206324E0CEBC439310206393E0206324F0CF5C48631|",0x83054764434670010101041E50683F4BEB683F4BEB068EBBE7D36C8C420000000000000019012804000065FFC94F1F1700000500243E0206324E0CE3C44F310206393E0206324E0CEBC439310206393E0206324F0CF5C48631
7769,2025-06-03 19:24:32.299,"11000001,5,4764434670,1,1,1,4,7761,1748978672,1748978672,11.0017301,-74.786008,0,83,30,4,00000000,101,-55,11110010,31,ON,1101000,00000000,0,5,36,fs:3:0x0206393E0206324F0CFDC4F0310206393E020632500C07C572310206393E020632500C0F|",0x83054764434670010101041E51683F4BF0683F4BF0068EBB15D36C8F900000000000000053001E04000065FFC94F1F1700000500240206393E0206324F0CFDC4F0310206393E020632500C07C572310206393E020632500C0F
7770,2025-06-03 19:24:40.496,"11000001,5,4764434670,1,1,1,4,7762,1748978679,1748978679,11.0016751,-74.7858898,0,163,124,5,00000000,101,-55,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0xC504310206393E020632510C18C509310206393E020632520C21C51E310206393E020632|",0x83054764434670010101041E52683F4BF7683F4BF7068EB8EFD36C942E00000000000000A3007C05000065FFC94F17170000050024C504310206393E020632510C18C509310206393E020632520C21C51E310206393E020632
7771,2025-06-03 19:24:47.934,"11000001,5,4764434670,1,1,1,4,7763,1748978687,1748978687,11.001617,-74.7857455,0,177,118,5,00000000,101,-57,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0x520C29C568310206393E020632530C31C57D310206393E020632530C3AC55E310206393E|",0x83054764434670010101041E53683F4BFF683F4BFF068EB6AAD36C99D100000000000000B1007605000065FFC74F17170000050024520C29C568310206393E020632530C31C57D310206393E020632530C3AC55E310206393E
7772,2025-06-03 19:24:55.456,"11000001,5,4764434670,1,1,1,4,7764,1748978694,1748978694,11.001593,-74.7857408,0,66,130,5,00000000,101,-55,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0x020632540C42C518310206393E020632540C4BC5AA310206393E020632550C53C5BF3102|",0x83054764434670010101041E54683F4C06683F4C06068EB5BAD36C9A000000000000000042008205000065FFC94F17170000050024020632540C42C518310206393E020632540C4BC5AA310206393E020632550C53C5BF3102
7773,2025-06-03 19:25:00.415,"11000001,5,4764434670,1,1,1,4,7765,1748978699,1748978699,11.0016018,-74.7857606,0,47,130,5,00000000,101,-55,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0x06393E020632550C5CC5A7310206393E020632560C65C5B0310206393E020632560C6DC5|",0x83054764434670010101041E55683F4C0B683F4C0B068EB612D36C993A000000000000002F008205000065FFC94F1717000005002406393E020632550C5CC5A7310206393E020632560C65C5B0310206393E020632560C6DC5
7774,2025-06-03 19:25:07.941,"11000001,5,4764434670,1,1,1,4,7766,1748978707,1748978707,11.001613,-74.7858695,0,66,130,5,00000000,101,-57,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0xC6310206393E020632570C75C5D3310206393E020632570C7FC534310206393E02063258|",0x83054764434670010101041E56683F4C13683F4C13068EB682D36C94F90000000000000042008205000065FFC74F17170000050024C6310206393E020632570C75C5D3310206393E020632570C7FC534310206393E02063258
7775,2025-06-03 19:25:15.455,"11000001,5,4764434670,1,1,1,4,7767,1748978714,1748978714,11.0016118,-74.7857315,0,97,130,4,00000000,101,-55,11110010,31,ON,1101000,00000000,0,5,36,fs:3:0x0C87C541310206393E020632590C91C588310206393E020632590C99C5FE310206393E02|",0x83054764434670010101041E57683F4C1A683F4C1A068EB676D36C9A5D0000000000000061008204000065FFC94F1F1700000500240C87C541310206393E020632590C91C588310206393E020632590C99C5FE310206393E02
