Created,Message,Status
2025-06-04 00:00:19.672,"+RESP:GTFRI,500501,868574042763735,,,11,1,1,24.0,320,2049.5,-75.527652,5.087791,20250604000021,0732,0101,36B7,A90975F,04,12,50491.5,02163:02:24,,,100,220100,,,,20250604000022,0649$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31312C312C312C32342E302C3332302C323034392E352C2D37352E3532373635322C352E3038373739312C32303235303630343030303032312C303733322C303130312C333642372C413930393735462C30342C31322C35303439312E352C30323136333A30323A32342C2C2C3130302C3232303130302C2C2C2C32303235303630343030303032322C3036343924
2025-06-04 00:00:31.827,"+RESP:GTFRI,500501,868574042763735,,,11,1,1,22.2,297,2055.9,-75.527943,5.088330,20250604000033,0732,0101,36B7,A90975F,04,12,50491.6,02163:02:34,,,100,220100,,,,20250604000034,064A$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31312C312C312C32322E322C3239372C323035352E392C2D37352E3532373934332C352E3038383333302C32303235303630343030303033332C303733322C303130312C333642372C413930393735462C30342C31322C35303439312E362C30323136333A30323A33342C2C2C3130302C3232303130302C2C2C2C32303235303630343030303033342C3036344124
2025-06-04 00:00:37.279,"+RESP:GTFRI,500501,868574042763735,,,10,1,1,24.9,284,2056.1,-75.528004,5.088306,20250604000034,0732,0101,36B7,A90975F,04,12,50491.6,02163:02:39,,,100,220100,,,,20250604000040,064B$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31302C312C312C32342E392C3238342C323035362E312C2D37352E3532383030342C352E3038383330362C32303235303630343030303033342C303733322C303130312C333642372C413930393735462C30342C31322C35303439312E362C30323136333A30323A33392C2C2C3130302C3232303130302C2C2C2C32303235303630343030303034302C3036344224
2025-06-04 00:00:40.311,"+RESP:GTFRI,500501,868574042763735,,,11,1,1,29.2,302,2053.9,-75.528519,5.088254,20250604000042,0732,0101,36B7,A90975F,04,12,50491.7,02163:02:44,,,100,220100,,,,20250604000043,064C$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31312C312C312C32392E322C3330322C323035332E392C2D37352E3532383531392C352E3038383235342C32303235303630343030303034322C303733322C303130312C333642372C413930393735462C30342C31322C35303439312E372C30323136333A30323A34342C2C2C3130302C3232303130302C2C2C2C32303235303630343030303034332C3036344324
2025-06-04 00:00:43.460,"+RESP:GTFRI,500501,868574042763735,,,11,1,1,29.2,348,2051.4,-75.528617,5.088451,20250604000045,0732,0101,36B7,A90975F,04,12,50491.7,02163:02:49,,,100,220100,,,,20250604000046,064D$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31312C312C312C32392E322C3334382C323035312E342C2D37352E3532383631372C352E3038383435312C32303235303630343030303034352C303733322C303130312C333642372C413930393735462C30342C31322C35303439312E372C30323136333A30323A34392C2C2C3130302C3232303130302C2C2C2C32303235303630343030303034362C3036344424
2025-06-04 00:01:31.675,"+RESP:GTFRI,500501,868574042763735,,,11,1,1,23.2,284,2026.3,-75.529042,5.091169,20250604000133,0732,0101,36B7,A90116F,04,12,50492.0,02163:03:34,,,100,220100,,,,20250604000134,064E$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31312C312C312C32332E322C3238342C323032362E332C2D37352E3532393034322C352E3039313136392C32303235303630343030303133332C303733322C303130312C333642372C413930313136462C30342C31322C35303439322E302C30323136333A30333A33342C2C2C3130302C3232303130302C2C2C2C32303235303630343030303133342C3036344524
2025-06-04 00:01:37.055,"+RESP:GTFRI,500501,868574042763735,,,10,1,1,24.9,277,2025.8,-75.529104,5.091156,20250604000134,0732,0101,36B7,A90116F,04,12,50492.1,02163:03:39,,,100,220100,,,,20250604000140,064F$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31302C312C312C32342E392C3237372C323032352E382C2D37352E3532393130342C352E3039313135362C32303235303630343030303133342C303733322C303130312C333642372C413930313136462C30342C31322C35303439322E312C30323136333A30333A33392C2C2C3130302C3232303130302C2C2C2C32303235303630343030303134302C3036344624
2025-06-04 00:02:22.716,"+RESP:GTFRI,500501,868574042763735,,,11,1,1,12.1,318,2012.3,-75.531494,5.091820,20250604000224,0732,0101,36B7,A90116F,04,12,50492.3,02163:04:24,,,100,220100,,,,20250604000225,0650$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31312C312C312C31322E312C3331382C323031322E332C2D37352E3533313439342C352E3039313832302C32303235303630343030303232342C303733322C303130312C333642372C413930313136462C30342C31322C35303439322E332C30323136333A30343A32342C2C2C3130302C3232303130302C2C2C2C32303235303630343030303232352C3036353024
2025-06-04 00:02:37.042,"+RESP:GTFRI,500501,868574042763735,,,10,1,1,24.3,347,2009.2,-75.531577,5.092114,20250604000234,0732,0101,36B7,A90116F,04,12,50492.4,02163:04:39,,,100,220100,,,,20250604000240,0651$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31302C312C312C32342E332C3334372C323030392E322C2D37352E3533313537372C352E3039323131342C32303235303630343030303233342C303733322C303130312C333642372C413930313136462C30342C31322C35303439322E342C30323136333A30343A33392C2C2C3130302C3232303130302C2C2C2C32303235303630343030303234302C3036353124
2025-06-04 00:02:37.737,"+RESP:GTFRI,500501,868574042763735,,,11,1,1,31.5,4,2006.3,-75.531635,5.092486,20250604000239,0732,0101,36B7,A90116F,04,12,50492.4,02163:04:39,,,100,220100,,,,20250604000240,0652$",0x2B524553503A47544652492C3530303530312C3836383537343034323736333733352C2C2C31312C312C312C33312E352C342C323030362E332C2D37352E3533313633352C352E3039323438362C32303235303630343030303233392C303733322C303130312C333642372C413930313136462C30342C31322C35303439322E342C30323136333A30343A33392C2C2C3130302C3232303130302C2C2C2C32303235303630343030303234302C3036353224
