Message;Status
+RESP:GTPDP,500501,868574042447461,,20250707001856,1E43$;0x2B524553503A47545044502C3530303530312C3836383537343034323434373436312C2C32303235303730373030313835362C3145343324
+RESP:GTFRI,500501,868574042447461,,,10,1,1,0.0,91,43.4,-74.850445,10.931915,20250707004642,0732,0101,3AA3,BB81807,04,12,58566.9,04773:40:38,,,100,110000,,,,20250707004903,1E44$;0x2B524553503A47544652492C3530303530312C3836383537343034323434373436312C2C2C31302C312C312C302E302C39312C34332E342C2D37342E3835303434352C31302E3933313931352C32303235303730373030343634322C303733322C303130312C334141332C424238313830372C30342C31322C35383536362E392C30343737333A34303A33382C2C2C3130302C3131303030302C2C2C2C32303235303730373030343930332C3145343424
+RESP:GTPDP,500501,868574042447461,,20250707011906,1E45$;0x2B524553503A47545044502C3530303530312C3836383537343034323434373436312C2C32303235303730373031313930362C3145343524
+RESP:GTFRI,500501,868574042447461,,,10,1,1,0.0,91,43.4,-74.850445,10.931915,20250707014700,0732,0101,3AA3,BB81807,04,12,58566.9,04773:40:38,,,100,110000,,,,20250707014912,1E46$;0x2B524553503A47544652492C3530303530312C3836383537343034323434373436312C2C2C31302C312C312C302E302C39312C34332E342C2D37342E3835303434352C31302E3933313931352C32303235303730373031343730302C303733322C303130312C334141332C424238313830372C30342C31322C35383536362E392C30343737333A34303A33382C2C2C3130302C3131303030302C2C2C2C32303235303730373031343931322C3145343624
+RESP:GTPDP,500501,868574042447461,,20250707021915,1E47$;0x2B524553503A47545044502C3530303530312C3836383537343034323434373436312C2C32303235303730373032313931352C3145343724
+RESP:GTFRI,500501,868574042447461,,,10,1,1,0.0,91,43.4,-74.850445,10.931915,20250707024703,0732,0101,3AA3,BB81807,04,10,58566.9,04773:40:38,,,100,110000,,,,20250707024922,1E48$;0x2B524553503A47544652492C3530303530312C3836383537343034323434373436312C2C2C31302C312C312C302E302C39312C34332E342C2D37342E3835303434352C31302E3933313931352C32303235303730373032343730332C303733322C303130312C334141332C424238313830372C30342C31302C35383536362E392C30343737333A34303A33382C2C2C3130302C3131303030302C2C2C2C32303235303730373032343932322C3145343824
+RESP:GTPDP,500501,868574042447461,,20250707031925,1E49$;0x2B524553503A47545044502C3530303530312C3836383537343034323434373436312C2C32303235303730373033313932352C3145343924
+RESP:GTFRI,500501,868574042447461,,,10,1,1,0.0,91,43.4,-74.850445,10.931915,20250707034706,0732,0101,3AA3,BB81806,04,12,58566.9,04773:40:38,,,100,110000,,,,20250707034931,1E4A$;0x2B524553503A47544652492C3530303530312C3836383537343034323434373436312C2C2C31302C312C312C302E302C39312C34332E342C2D37342E3835303434352C31302E3933313931352C32303235303730373033343730362C303733322C303130312C334141332C424238313830362C30342C31322C35383536362E392C30343737333A34303A33382C2C2C3130302C3131303030302C2C2C2C32303235303730373033343933312C3145344124
+RESP:GTPDP,500501,868574042447461,,20250707043549,1E4B$;0x2B524553503A47545044502C3530303530312C3836383537343034323434373436312C2C32303235303730373034333534392C3145344224
+RESP:GTFRI,500501,868574042447461,,,10,1,1,0.0,91,43.4,-74.850445,10.931915,20250707044720,0732,0101,3AA3,BB81807,04,12,58566.9,04773:40:38,,,100,110000,,,,20250707044941,1E4C$;0x2B524553503A47544652492C3530303530312C3836383537343034323434373436312C2C2C31302C312C312C302E302C39312C34332E342C2D37342E3835303434352C31302E3933313931352C32303235303730373034343732302C303733322C303130312C334141332C424238313830372C30342C31322C35383536362E392C30343737333A34303A33382C2C2C3130302C3131303030302C2C2C2C32303235303730373034343934312C3145344324
