Created;Message;Status
2025-08-01 00:00:50.509;+RESP:GTFRI,500700,868574042924162,,,10,1,1,4.7,186,7.4,-75.485972,10.384347,20250801000143,0732,0101,3AB6,BBAAEC5,04,12,40414.9,02821:01:48,,,100,220100,,,,20250801000147,6712$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C342E372C3138362C372E342C2D37352E3438353937322C31302E3338343334372C32303235303830313030303134332C303733322C303130312C334142362C424241414543352C30342C31322C34303431342E392C30323832313A30313A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303134372C3637313224
2025-08-01 00:01:11.887;+RESP:GTFRI,500700,868574042924162,,,11,1,1,26.5,218,16.7,-75.486397,10.383280,20250801000208,0732,0101,3AB6,BBAAEC5,04,12,40415.0,02821:02:08,,,100,220100,,,,20250801000208,6713$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31312C312C312C32362E352C3231382C31362E372C2D37352E3438363339372C31302E3338333238302C32303235303830313030303230382C303733322C303130312C334142362C424241414543352C30342C31322C34303431352E302C30323832313A30323A30382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303230382C3637313324
2025-08-01 00:01:50.565;+RESP:GTFRI,500700,868574042924162,,,10,1,1,9.0,196,21.9,-75.487274,10.382139,20250801000243,0732,0101,3AB6,BBAAEC5,04,12,40415.2,02821:02:48,,,100,220100,,,,20250801000247,6714$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C392E302C3139362C32312E392C2D37352E3438373237342C31302E3338323133392C32303235303830313030303234332C303733322C303130312C334142362C424241414543352C30342C31322C34303431352E322C30323832313A30323A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303234372C3637313424
2025-08-01 00:02:50.607;+RESP:GTFRI,500700,868574042924162,,,10,1,1,0.2,195,25.4,-75.487861,10.379992,20250801000343,0732,0101,3AB6,BBAAEC7,04,12,40415.4,02821:03:48,,,100,220100,,,,20250801000347,6715$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C302E322C3139352C32352E342C2D37352E3438373836312C31302E3337393939322C32303235303830313030303334332C303733322C303130312C334142362C424241414543372C30342C31322C34303431352E342C30323832313A30333A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303334372C3637313524
2025-08-01 00:03:50.515;+RESP:GTFRI,500700,868574042924162,,,10,1,1,1.9,195,30.9,-75.487834,10.379970,20250801000443,0732,0101,3AB6,BBAAEC7,04,12,40415.4,02821:04:48,,,100,220100,,,,20250801000447,6716$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C312E392C3139352C33302E392C2D37352E3438373833342C31302E3337393937302C32303235303830313030303434332C303733322C303130312C334142362C424241414543372C30342C31322C34303431352E342C30323832313A30343A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303434372C3637313624
2025-08-01 00:03:51.608;+RESP:GTFRI,500700,868574042924162,,,11,1,1,5.2,126,30.4,-75.487802,10.379952,20250801000447,0732,0101,3AB6,BBAAEC7,04,12,40415.4,02821:04:48,,,100,220100,,,,20250801000447,6717$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31312C312C312C352E322C3132362C33302E342C2D37352E3438373830322C31302E3337393935322C32303235303830313030303434372C303733322C303130312C334142362C424241414543372C30342C31322C34303431352E342C30323832313A30343A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303434372C3637313724
2025-08-01 00:04:50.554;+RESP:GTFRI,500700,868574042924162,,,10,1,1,14.6,91,29.4,-75.486628,10.379877,20250801000543,0732,0101,3AB6,BBAAEC5,04,12,40415.5,02821:05:48,,,100,220100,,,,20250801000547,6718$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C31342E362C39312C32392E342C2D37352E3438363632382C31302E3337393837372C32303235303830313030303534332C303733322C303130312C334142362C424241414543352C30342C31322C34303431352E352C30323832313A30353A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303534372C3637313824
2025-08-01 00:05:42.068;+RESP:GTFRI,500700,868574042924162,,,11,1,1,12.3,80,19.0,-75.484556,10.379796,20250801000638,0732,0101,3AB6,BBAAEC5,04,12,40415.8,02821:06:38,,,100,220100,,,,20250801000638,6719$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31312C312C312C31322E332C38302C31392E302C2D37352E3438343535362C31302E3337393739362C32303235303830313030303633382C303733322C303130312C334142362C424241414543352C30342C31322C34303431352E382C30323832313A30363A33382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303633382C3637313924
2025-08-01 00:05:50.523;+RESP:GTFRI,500700,868574042924162,,,10,1,1,6.8,80,19.2,-75.484442,10.379817,20250801000643,0732,0101,3AB6,BBAD186,04,12,40415.8,02821:06:48,,,100,220100,,,,20250801000647,671A$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C362E382C38302C31392E322C2D37352E3438343434322C31302E3337393831372C32303235303830313030303634332C303733322C303130312C334142362C424241443138362C30342C31322C34303431352E382C30323832313A30363A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303634372C3637314124
2025-08-01 00:06:51.732;+RESP:GTFRI,500700,868574042924162,,,10,1,1,20.9,94,22.7,-75.482270,10.379681,20250801000743,0732,0101,3AB6,BBAD186,04,12,40416.0,02821:07:48,,,100,220100,,,,20250801000747,671B$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C32302E392C39342C32322E372C2D37352E3438323237302C31302E3337393638312C32303235303830313030303734332C303733322C303130312C334142362C424241443138362C30342C31322C34303431362E302C30323832313A30373A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303734372C3637314224
2025-08-01 00:07:50.611;+RESP:GTFRI,500700,868574042924162,,,10,1,1,0.1,105,22.3,-75.479967,10.379455,20250801000843,0732,0101,3AB6,BBAD4FA,04,12,40416.3,02821:08:48,,,100,220100,,,,20250801000847,671C$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C302E312C3130352C32322E332C2D37352E3437393936372C31302E3337393435352C32303235303830313030303834332C303733322C303130312C334142362C424241443446412C30342C31322C34303431362E332C30323832313A30383A34382C2C2C3130302C3232303130302C2C2C2C32303235303830313030303834372C3637314324
