;Created;Message;;;;;geocerca;;;;;;;;;;;;;;;;;
25017;2025-06-18 00:01:22.132;#¿NOMBRE?;500700;8,68574E+14;;;21;1;1;27.0;128;7.5;-75.521.514;10.405.138;2,02506E+13;732;101;3AB6;BBA40A8;4;12;43976.5;2,02506E+13;CCF0$
25019;2025-06-18 00:01:36.030;#¿NOMBRE?;500700;8,68574E+14;;;20;1;1;36.9;183;6.8;-75.521.485;10.404.020;2,02506E+13;732;101;3AB6;BBA40A8;4;12;43976.6;2,02506E+13;CCF2$
25053;2025-06-18 00:22:15.086;#¿NOMBRE?;500700;8,68574E+14;;;71;1;1;17.7;68;9.0;-75.502.338;10.388.362;2,02506E+13;732;101;3AB6;BBAD163;4;12;43981.9;2,02506E+13;CD14$
25054;2025-06-18 00:22:33.423;#¿NOMBRE?;500700;8,68574E+14;;;70;1;1;21.7;80;10.6;-75.501.222;10.388.573;2,02506E+13;732;101;3AB6;BBA42BA;4;12;43982.1;2,02506E+13;CD15$
25062;2025-06-18 00:27:50.128;#¿NOMBRE?;500700;8,68574E+14;;;61;1;1;27.6;68;19.3;-75.488.676;10.390.865;2,02506E+13;732;101;3AB6;BBAAD8C;4;12;43983.5;2,02506E+13;CD1D$
25063;2025-06-18 00:27:56.257;#¿NOMBRE?;500700;8,68574E+14;;;60;1;1;18.5;71;18.6;-75.488.204;10.391.035;2,02506E+13;732;101;3AB6;BBAAED1;4;12;43983.5;2,02506E+13;CD1E$
25094;2025-06-18 00:55:05.210;#¿NOMBRE?;500700;8,68574E+14;;;31;1;1;35.7;136;18.5;-75.459.118;10.375.065;2,02506E+13;732;101;3AB6;BBA4308;4;12;43987.4;2,02506E+13;CD3D$
25096;2025-06-18 00:55:16.785;#¿NOMBRE?;500700;8,68574E+14;;;30;1;1;36.0;125;19.6;-75.458.265;10.374.334;2,02506E+13;732;101;3AB6;BBAAF67;4;12;43987.6;2,02506E+13;CD3F$
25265;2025-06-18 10:03:45.990;#¿NOMBRE?;500700;8,68574E+14;;;1;1;1;14.7;346;12.8;-75.457.022;10.401.722;2,02506E+13;732;101;3AB6;BBACE24;4;12;44013.7;2,02506E+13;CDE4$
25284;2025-06-18 10:20:19.357;#¿NOMBRE?;500700;8,68574E+14;;;0;1;1;12.2;328;14.6;-75.457.428;10.402.506;2,02506E+13;732;101;3AB6;BBACE24;4;12;44013.7;2,02506E+13;CDF7$
25305;2025-06-18 10:32:51.065;#¿NOMBRE?;500700;8,68574E+14;;;31;1;1;13.2;309;16.0;-75.458.522;10.374.683;2,02506E+13;732;101;3AB6;BBAAF67;4;12;44019.7;2,02506E+13;CE0C$
25307;2025-06-18 10:33:47.459;#¿NOMBRE?;500700;8,68574E+14;;;30;1;1;21.1;318;14.1;-75.459.229;10.375.385;2,02506E+13;732;101;3AB6;BBAAF67;4;12;44019.8;2,02506E+13;CE0E$
25315;2025-06-18 10:38:41.782;#¿NOMBRE?;500700;8,68574E+14;;;41;1;1;4.8;214;18.0;-75.469.157;10.382.218;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44021.3;2,02506E+13;CE16$
25316;2025-06-18 10:38:42.353;#¿NOMBRE?;500700;8,68574E+14;;;B1;1;1;4.8;214;18.0;-75.469.157;10.382.218;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44021.3;2,02506E+13;CE17$
25318;2025-06-18 10:39:11.325;#¿NOMBRE?;500700;8,68574E+14;;;40;1;1;15.0;214;20.4;-75.469.712;10.381.387;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44021.4;2,02506E+13;CE19$
25319;2025-06-18 10:39:11.917;#¿NOMBRE?;500700;8,68574E+14;;;B0;1;1;15.0;214;20.4;-75.469.712;10.381.387;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44021.4;2,02506E+13;CE1A$
25321;2025-06-18 10:40:14.475;#¿NOMBRE?;500700;8,68574E+14;;;51;1;1;14.4;213;16.5;-75.471.469;10.378.830;2,02506E+13;732;101;3AB6;BBA3F84;4;12;44021.8;2,02506E+13;CE1C$
25322;2025-06-18 10:40:35.918;#¿NOMBRE?;500700;8,68574E+14;;;50;1;1;22.5;185;18.8;-75.471.543;10.377.969;2,02506E+13;732;101;3AB6;BBA3F84;4;12;44021.9;2,02506E+13;CE1D$
25345;2025-06-18 10:54:55.764;#¿NOMBRE?;500700;8,68574E+14;;;61;1;1;18.9;282;16.5;-75.488.409;10.391.093;2,02506E+13;732;101;3AB6;BBAAED1;4;12;44026.2;2,02506E+13;CE34$
25348;2025-06-18 10:55:10.682;#¿NOMBRE?;500700;8,68574E+14;;;60;1;1;29.7;251;17.6;-75.489.306;10.390.743;2,02506E+13;732;101;3AB6;BBACDFB;4;12;44026.3;2,02506E+13;CE37$
25354;2025-06-18 10:58:56.153;#¿NOMBRE?;500700;8,68574E+14;;;71;1;1;38.4;260;7.7;-75.502.055;10.388.587;2,02506E+13;732;101;3AB6;BBA422D;4;12;44027.7;2,02506E+13;CE3D$
25355;2025-06-18 10:59:01.519;#¿NOMBRE?;500700;8,68574E+14;;;70;1;1;27.1;258;7.4;-75.502.572;10.388.486;2,02506E+13;732;101;3AB6;BBA422D;4;12;44027.8;2,02506E+13;CE3E$
25356;2025-06-18 10:59:28.326;#¿NOMBRE?;500700;8,68574E+14;;;70;1;1;27.1;258;7.4;-75.502.572;10.388.486;2,02506E+13;732;101;3AB6;BBA422D;4;12;44027.8;2,02506E+13;CE3E$
25382;2025-06-18 11:13:26.011;#¿NOMBRE?;500700;8,68574E+14;;;81;1;1;54.7;297;8.9;-75.525.902;10.406.281;2,02506E+13;732;101;3AB6;BBAAF20;4;12;44032.6;2,02506E+13;CE58$
25383;2025-06-18 11:13:37.794;#¿NOMBRE?;500700;8,68574E+14;;;80;1;1;19.5;305;7.3;-75.526.624;10.406.695;2,02506E+13;732;101;3AB6;BBAAF20;4;12;44032.7;2,02506E+13;CE59$
25417;2025-06-18 11:28:32.136;#¿NOMBRE?;500700;8,68574E+14;;;91;1;1;31.9;309;3.8;-75.541.770;10.427.127;2,02506E+13;732;101;3AB6;BBA392D;4;12;44037.3;2,02506E+13;CE7B$
25419;2025-06-18 11:29:23.216;#¿NOMBRE?;500700;8,68574E+14;;;90;1;1;21.2;288;3.6;-75.542.470;10.427.470;2,02506E+13;732;101;3AB6;BBAAE7F;4;12;44037.4;2,02506E+13;CE7D$
25473;2025-06-18 11:56:16.966;#¿NOMBRE?;500700;8,68574E+14;;;A1;1;1;21.2;50;6.2;-75.557.430;10.399.605;2,02506E+13;732;101;3AB6;BBAAF5B;4;12;44046.2;2,02506E+13;CEB3$
25474;2025-06-18 11:56:46.914;#¿NOMBRE?;500700;8,68574E+14;;;A0;1;1;21.4;48;6.2;-75.556.715;10.400.276;2,02506E+13;732;101;3AB6;BBAAC99;4;12;44046.3;2,02506E+13;CEB4$
25498;2025-06-18 12:10:43.968;#¿NOMBRE?;500700;8,68574E+14;;;11;1;1;31.4;238;11.9;-75.535.035;10.432.404;2,02506E+13;732;101;3AB6;BBAAF0D;4;12;44052.4;2,02506E+13;CECC$
