Created;Message;Status
2025-08-07 00:00:11.544;+RESP:GTFRI,500700,868574042924162,,,10,1,1,0.0,46,8.8,-75.557385,10.399662,20250807000111,0732,0101,3AB6,BBAAC99,04,12,41381.5,02889:58:36,,,100,220100,,,,20250807000113,84FD$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C302E302C34362C382E382C2D37352E3535373338352C31302E3339393636322C32303235303830373030303131312C303733322C303130312C334142362C424241414339392C30342C31322C34313338312E352C30323838393A35383A33362C2C2C3130302C3232303130302C2C2C2C32303235303830373030303131332C3834464424
2025-08-07 00:00:25.342;+RESP:GTSTT,500700,868574042924162,,21,0,0.0,46,8.8,-75.557385,10.399662,20250807000126,0732,0101,3AB6,BBAAC99,06,210100,12,20250807000127,84FE$;0x2B524553503A47545354542C3530303730302C3836383537343034323932343136322C2C32312C302C302E302C34362C382E382C2D37352E3535373338352C31302E3339393636322C32303235303830373030303132362C303733322C303130312C334142362C424241414339392C30362C3231303130302C31322C32303235303830373030303132372C3834464524
2025-08-07 00:00:35.338;+RESP:GTSTT,500700,868574042924162,,22,0,0.0,46,8.8,-75.557385,10.399662,20250807000135,0732,0101,3AB6,BBAAC99,06,220100,12,20250807000137,84FF$;0x2B524553503A47545354542C3530303730302C3836383537343034323932343136322C2C32322C302C302E302C34362C382E382C2D37352E3535373338352C31302E3339393636322C32303235303830373030303133352C303733322C303130312C334142362C424241414339392C30362C3232303130302C31322C32303235303830373030303133372C3834464624
2025-08-07 00:01:11.837;+RESP:GTFRI,500700,868574042924162,,,10,1,1,9.9,40,16.0,-75.557245,10.399785,20250807000211,0732,0101,3AB6,BBAAC99,04,12,41381.5,02889:59:36,,,100,220100,,,,20250807000213,8500$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C392E392C34302C31362E302C2D37352E3535373234352C31302E3339393738352C32303235303830373030303231312C303733322C303130312C334142362C424241414339392C30342C31322C34313338312E352C30323838393A35393A33362C2C2C3130302C3232303130302C2C2C2C32303235303830373030303231332C3835303024
2025-08-07 00:01:33.563;+RESP:GTGEO,500700,868574042924162,,,70,1,1,9.3,44,14.4,-75.556583,10.400544,20250807000235,0732,0101,3AB6,BBAB0AA,04,12,41381.6,20250807000235,8501$;0x2B524553503A475447454F2C3530303730302C3836383537343034323932343136322C2C2C37302C312C312C392E332C34342C31342E342C2D37352E3535363538332C31302E3430303534342C32303235303830373030303233352C303733322C303130312C334142362C424241423041412C30342C31322C34313338312E362C32303235303830373030303233352C3835303124
2025-08-07 00:02:11.614;+RESP:GTFRI,500700,868574042924162,,,10,1,1,8.0,42,20.6,-75.555885,10.401243,20250807000311,0732,0101,3AB6,BBAAC9A,04,12,41381.7,02890:00:36,,,100,220100,,,,20250807000313,8502$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C382E302C34322C32302E362C2D37352E3535353838352C31302E3430313234332C32303235303830373030303331312C303733322C303130312C334142362C424241414339412C30342C31322C34313338312E372C30323839303A30303A33362C2C2C3130302C3232303130302C2C2C2C32303235303830373030303331332C3835303224
2025-08-07 00:03:11.591;+RESP:GTFRI,500700,868574042924162,,,10,1,1,0.0,43,16.4,-75.555407,10.401740,20250807000411,0732,0101,3AB6,BBAD64F,04,12,41381.8,02890:01:36,,,100,220100,,,,20250807000413,8503$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C302E302C34332C31362E342C2D37352E3535353430372C31302E3430313734302C32303235303830373030303431312C303733322C303130312C334142362C424241443634462C30342C31322C34313338312E382C30323839303A30313A33362C2C2C3130302C3232303130302C2C2C2C32303235303830373030303431332C3835303324
2025-08-07 00:04:11.664;+RESP:GTFRI,500700,868574042924162,,,10,1,1,0.0,41,7.8,-75.554527,10.402619,20250807000511,0732,0101,3AB6,BBAD64F,04,12,41381.9,02890:02:36,,,100,220100,,,,20250807000513,8504$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C302E302C34312C372E382C2D37352E3535343532372C31302E3430323631392C32303235303830373030303531312C303733322C303130312C334142362C424241443634462C30342C31322C34313338312E392C30323839303A30323A33362C2C2C3130302C3232303130302C2C2C2C32303235303830373030303531332C3835303424
2025-08-07 00:05:11.783;+RESP:GTFRI,500700,868574042924162,,,10,1,1,0.0,40,6.6,-75.554389,10.402803,20250807000611,0732,0101,3AB6,BBAAE62,04,12,41381.9,02890:03:36,,,100,220100,,,,20250807000613,8505$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C302E302C34302C362E362C2D37352E3535343338392C31302E3430323830332C32303235303830373030303631312C303733322C303130312C334142362C424241414536322C30342C31322C34313338312E392C30323839303A30333A33362C2C2C3130302C3232303130302C2C2C2C32303235303830373030303631332C3835303524
2025-08-07 00:06:11.586;+RESP:GTFRI,500700,868574042924162,,,10,1,1,11.4,41,2.5,-75.553191,10.404173,20250807000711,0732,0101,3AB6,BBAAE61,04,12,41382.1,02890:04:36,,,100,220100,,,,20250807000713,8506$;0x2B524553503A47544652492C3530303730302C3836383537343034323932343136322C2C2C31302C312C312C31312E342C34312C322E352C2D37352E3535333139312C31302E3430343137332C32303235303830373030303731312C303733322C303130312C334142362C424241414536312C30342C31322C34313338322E312C30323839303A30343A33362C2C2C3130302C3232303130302C2C2C2C32303235303830373030303731332C3835303624
