,Created,Message,Status
176,2025-05-23 01:59:57.223,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,60.9,138,16.0,-75.455601,10.371554,20250523015956,0732,0101,3AB6,BBAAF67,04,12,30203.3,20250523015956,3593$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36302E392C3133382C31362E302C2D37352E3435353630312C31302E3337313535342C32303235303532333031353935362C303733322C303130312C334142362C424241414636372C30342C31322C33303230332E332C32303235303532333031353935362C3335393324
182,2025-05-23 02:01:54.533,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,76.1,11,22.9,-75.451727,10.375358,20250523020126,0732,0101,3AB6,BBAAF66,04,12,30204.6,20250523020126,359A$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C37362E312C31312C32322E392C2D37352E3435313732372C31302E3337353335382C32303235303532333032303132362C303733322C303130312C334142362C424241414636362C30342C31322C33303230342E362C32303235303532333032303132362C3335394124
372,2025-05-23 12:04:59.597,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,70.8,188,10.5,-75.446023,10.400938,20250523120559,0732,0101,3AB6,BBDB1EF,04,12,30223.2,20250523120559,3653$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C37302E382C3138382C31302E352C2D37352E3434363032332C31302E3430303933382C32303235303532333132303535392C303733322C303130312C334142362C424244423145462C30342C31322C33303232332E322C32303235303532333132303535392C3336353324
377,2025-05-23 12:08:20.850,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,53.2,189,17.2,-75.450783,10.380945,20250523120932,0732,0101,3AB6,BBA4507,04,12,30225.5,20250523120932,3658$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C35332E322C3138392C31372E322C2D37352E3435303738332C31302E3338303934352C32303235303532333132303933322C303733322C303130312C334142362C424241343530372C30342C31322C33303232352E352C32303235303532333132303933322C3336353824
724,2025-05-23 15:42:54.906,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,54.5,324,11.4,-75.447602,10.404661,20250523154400,0732,0101,3AB6,BBA3F84,04,12,30286.1,20250523154400,37B3$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C35342E352C3332342C31312E342C2D37352E3434373630322C31302E3430343636312C32303235303532333135343430302C303733322C303130312C334142362C424241334638342C30342C31322C33303238362E312C32303235303532333135343430302C3337423324
779,2025-05-23 16:18:54.110,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,66.1,195,14.4,-75.446531,10.399141,20250523162004,0732,0101,3AB6,BBA4539,04,12,30291.6,20250523162004,37EA$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36362E312C3139352C31342E342C2D37352E3434363533312C31302E3339393134312C32303235303532333136323030342C303733322C303130312C334142362C424241343533392C30342C31322C33303239312E362C32303235303532333136323030342C3337454124
1117,2025-05-23 19:48:34.350,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,56.5,15,15.7,-75.446240,10.399563,20250523194933,0732,0101,3AAC,BBA4539,04,12,30353.6,20250523194933,393A$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C35362E352C31352C31352E372C2D37352E3434363234302C31302E3339393536332C32303235303532333139343933332C303733322C303130312C334141432C424241343533392C30342C31322C33303335332E362C32303235303532333139343933332C3339334124
1129,2025-05-23 19:52:40.624,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,66.4,191,14.5,-75.446072,10.400773,20250523195348,0732,0101,3AB6,BBA3F84,04,12,30355.5,20250523195349,3946$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36362E342C3139312C31342E352C2D37352E3434363037322C31302E3430303737332C32303235303532333139353334382C303733322C303130312C334142362C424241334638342C30342C31322C33303335352E352C32303235303532333139353334392C3339343624
1130,2025-05-23 19:53:01.907,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,66.4,191,14.5,-75.446072,10.400773,20250523195348,0732,0101,3AB6,BBA3F84,04,12,30355.5,20250523195349,3946$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36362E342C3139312C31342E352C2D37352E3434363037322C31302E3430303737332C32303235303532333139353334382C303733322C303130312C334142362C424241334638342C30342C31322C33303335352E352C32303235303532333139353334392C3339343624
1188,2025-05-23 20:32:04.883,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,60.1,195,15.1,-75.447284,10.396482,20250523203316,0732,0101,3AB6,BBACE15,04,12,30360.1,20250523203316,397F$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36302E312C3139352C31352E312C2D37352E3434373238342C31302E3339363438322C32303235303532333230333331362C303733322C303130312C334142362C424241434531352C30342C31322C33303336302E312C32303235303532333230333331362C3339374624
1868,2025-05-24 12:11:42.234,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,65.5,195,9.9,-75.446444,10.399458,20250524121253,0732,0101,3AB6,BBA4539,04,12,30450.5,20250524121253,3C1F$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36352E352C3139352C392E392C2D37352E3434363434342C31302E3339393435382C32303235303532343132313235332C303733322C303130312C334142362C424241343533392C30342C31322C33303435302E352C32303235303532343132313235332C3343314624
1876,2025-05-24 12:16:50.413,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,62.8,248,15.5,-75.454074,10.371973,20250524121802,0732,0101,3AB6,BBAAF66,04,12,30453.7,20250524121802,3C27$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36322E382C3234382C31352E352C2D37352E3435343037342C31302E3337313937332C32303235303532343132313830322C303733322C303130312C334142362C424241414636362C30342C31322C33303435332E372C32303235303532343132313830322C3343323724
2078,2025-05-24 14:12:50.607,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,64.8,53,3.8,-75.549024,10.428924,20250524141402,0732,0101,3AB6,BBAD627,04,12,30484.9,20250524141402,3CE2$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C36342E382C35332C332E382C2D37352E3534393032342C31302E3432383932342C32303235303532343134313430322C303733322C303130312C334142362C424241443632372C30342C31322C33303438342E392C32303235303532343134313430322C3343453224
2228,2025-05-24 15:40:42.511,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,54.1,15,16.2,-75.447850,10.393807,20250524154154,0732,0101,3AB6,BBA4539,04,12,30511.3,20250524154154,3D76$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C35342E312C31352C31362E322C2D37352E3434373835302C31302E3339333830372C32303235303532343135343135342C303733322C303130312C334142362C424241343533392C30342C31322C33303531312E332C32303235303532343135343135342C3344373624
2230,2025-05-24 15:41:52.822,"+RESP:GTSPD,500700,868574042857057,,,00,1,1,53.0,1,9.9,-75.445833,10.401461,20250524154252,0732,0101,3AB6,BBA4539,04,12,30512.2,20250524154252,3D78$",0x2B524553503A47545350442C3530303730302C3836383537343034323835373035372C2C2C30302C312C312C35332E302C312C392E392C2D37352E3434353833332C31302E3430313436312C32303235303532343135343235322C303733322C303130312C334142362C424241343533392C30342C31322C33303531322E322C32303235303532343135343235322C3344373824
