Reporte Selectivo de Eventos;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Desde:;;1/06/2025 12:00:00 a. m.;;;Hasta:;;10/06/2025 11:59:59 p. m.;;;;
;;;;;;;;;;;;;;
Unidad: LZM117;;;;;;;;;;;;;;
Fecha;Hora;Evento;;Status;;Dirección;;;;;Estado;;CP;
1/06/2025;02:32:02 PM;Desplazándose - Ign. apagada;;39 kph / E;;Cl. 70g Sur #2019, Bogotá, Colombia;;;;;Bogotá;;111951;
1/06/2025;03:28:38 PM;Desplazándose - Ign. apagada;;24 kph / S;;Cl. 70b Sur #19d43, Bogotá, Colombia;;;;;Bogotá;;111951;
1/06/2025;10:53:20 PM;Desplazándose - Ign. apagada;;16 kph / N;;Calle 70S # 21-2 a 21-100, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;;
2/06/2025;00:05:34 AM;Desplazándose - Ign. apagada;;10 kph / SE;;Dg. 69t Sur #18p-49, Bogotá, Colombia;;;;;Bogotá;;111951;
2/06/2025;00:57:46 AM;Desplazándose - Ign. apagada;;32 kph / NE;;Cl. 70 Sur #20-25, Bogotá, Colombia;;;;;Bogotá;;111951;
2/06/2025;00:58:08 AM;Desplazándose - Ign. apagada;;19 kph / N;;Diagonal 69t Sur #18p-49, Bogotá, Bogotá, Colombia;;;;;Bogotá;;111951;
2/06/2025;03:19:18 AM;Desplazándose - Ign. apagada;;10 kph / NW;;Cl70bs 20-75, Bogota, Cundinamarca, Colombia;;;;;;;;
3/06/2025;03:40:34 AM;Desplazándose - Ign. apagada;;18 kph / SW;;Cra. 19G #69Vsur-19, Cdad. Bolívar, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;111951;
4/06/2025;07:31:34 AM;Desplazándose - Ign. apagada;;18 kph / S;;Cl. 70g Sur #2019, Bogotá, Colombia;;;;;Bogotá;;111951;
4/06/2025;07:54:03 AM;Desplazándose - Ign. apagada;;14 kph / N;;Kr23a 20-93, Bogota, Cundinamarca, Colombia;;;;;;;;
5/06/2025;10:39:02 AM;Desplazándose - Ign. apagada;;13 kph / NW;;Cl70bs 20-42, Bogota, Cundinamarca, Colombia;;;;;;;;
5/06/2025;03:03:21 PM;Desplazándose - Ign. apagada;;16 kph / N;;Cl. 73 Sur # 22-18, Cdad. Bolívar, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia;;;;;Bogotá, D.;;111951;
5/06/2025;06:45:16 PM;Desplazándose - Ign. apagada;;18 kph / S;;Dg. 69t Sur #18p-49, Bogotá, Colombia;;;;;Bogotá;;111951;
6/06/2025;10:27:32 AM;Desplazándose - Ign. apagada;;35 kph / SE;;Cl70dbiss 20-59, Bogota, Cundinamarca, Colombia;;;;;;;;
