,Eventos,Fecha,Velocidad
5,Ignición Apagada,Nov 30 2025 12:37 PM,0
15,Ignición Encendida,Nov 30 2025 12:32 PM,0
19,Ignición Apagada,Nov 30 2025 09:05 AM,0
97,Ignición Encendida,Nov 30 2025 07:49 AM,0
112,Ignición Apagada,Nov 29 2025 05:40 PM,0
120,Ignición Encendida,Nov 29 2025 05:32 PM,0
121,Ignición Apagada,Nov 29 2025 04:59 PM,0
126,Ignición Encendida,Nov 29 2025 04:54 PM,0
127,Ignición Apagada,Nov 29 2025 04:28 PM,0
133,Ignición Encendida,Nov 29 2025 04:23 PM,0
135,Ignición Apagada,Nov 29 2025 03:17 PM,0
141,Ignición Encendida,Nov 29 2025 03:12 PM,0
142,Ignición Apagada,Nov 29 2025 02:13 PM,0
143,Ignición Encendida,Nov 29 2025 02:12 PM,0
144,Ignición Apagada,Nov 29 2025 01:12 PM,0
147,Ignición Encendida,Nov 29 2025 01:10 PM,0
149,Ignición Apagada,Nov 29 2025 11:54 AM,0
241,Ignición Encendida,Nov 29 2025 10:26 AM,0
242,Ignición Apagada,Nov 29 2025 10:12 AM,0
293,Ignición Encendida,Nov 29 2025 09:26 AM,0
294,Ignición Apagada,Nov 29 2025 09:20 AM,0
296,Ignición Encendida,Nov 29 2025 09:18 AM,0
298,Ignición Apagada,Nov 29 2025 07:27 AM,0
307,Ignición Encendida,Nov 29 2025 07:19 AM,0
312,Ignición Apagada,Nov 28 2025 06:06 PM,0
380,Ignición Encendida,Nov 28 2025 05:05 PM,0
381,Ignición Apagada,Nov 28 2025 04:55 PM,0
389,Ignición Encendida,Nov 28 2025 04:47 PM,0
390,Ignición Apagada,Nov 28 2025 04:44 PM,0
440,Ignición Encendida,Nov 28 2025 03:58 PM,0
441,Ignición Apagada,Nov 28 2025 03:41 PM,0
442,Ignición Encendida,Nov 28 2025 03:40 PM,0
443,Ignición Apagada,Nov 28 2025 03:40 PM,0
444,Ignición Encendida,Nov 28 2025 03:40 PM,0
445,Ignición Apagada,Nov 28 2025 03:33 PM,0
451,Ignición Encendida,Nov 28 2025 03:28 PM,0
452,Ignición Apagada,Nov 28 2025 03:21 PM,0
453,Ignición Encendida,Nov 28 2025 03:20 PM,0
454,Ignición Apagada,Nov 28 2025 03:13 PM,0
491,Ignición Apagada,Nov 27 2025 11:52 AM,0
499,Ignición Encendida,Nov 27 2025 11:47 AM,0
500,Ignición Apagada,Nov 27 2025 11:01 AM,0
528,Ignición Encendida,Nov 27 2025 10:33 AM,0
529,Ignición Apagada,Nov 27 2025 10:33 AM,0
532,Ignición Encendida,Nov 27 2025 10:30 AM,0
533,Ignición Apagada,Nov 27 2025 10:21 AM,0
534,Ignición Encendida,Nov 27 2025 10:21 AM,0
537,Ignición Apagada,Nov 27 2025 07:49 AM,0
564,Ignición Encendida,Nov 27 2025 07:23 AM,0
571,Ignición Apagada,Nov 26 2025 06:07 PM,0
631,Ignición Encendida,Nov 26 2025 05:15 PM,0
632,Ignición Apagada,Nov 26 2025 05:11 PM,0
695,Ignición Encendida,Nov 26 2025 04:11 PM,0
697,Ignición Apagada,Nov 26 2025 02:38 PM,0
725,Ignición Encendida,Nov 26 2025 02:16 PM,0
729,Ignición Apagada,Nov 26 2025 11:15 AM,0
762,Ignición Encendida,Nov 26 2025 10:50 AM,0
765,Ignición Apagada,Nov 26 2025 08:30 AM,0
766,Ignición Encendida,Nov 26 2025 08:28 AM,0
771,Ignición Apagada,Nov 25 2025 04:52 PM,0
779,Ignición Encendida,Nov 25 2025 04:46 PM,0
780,Ignición Apagada,Nov 25 2025 04:45 PM,0
781,Ignición Encendida,Nov 25 2025 04:44 PM,0
