GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox45,textbox54,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unit: JOP086,4/08/2025 12:00 a.m.,00h:00m:00s,"0,00",0,4/08/2025 7:55:1.m.,Parked/Idle,07h:55m:13s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 7:55 a.m.,00h:07m:14s,"2,00",17,4/08/2025 8:03:0.m.,Ign Off,01h:54m:28s,"Cra. 1 #1150, Puerto Boyacá, Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 9:57 a.m.,00h:00m:00s,"0,00",0,4/08/2025 9:57:3.m.,Parked/Idle,00h:00m:00s,"Cra. 1 #1150, Puerto Boyacá, Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 9:58 a.m.,00h:06m:33s,"1,51",12,4/08/2025 10:04:3.m.,Idle,00h:06m:00s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 10:10 a.m.,00h:30m:00s,"27,21",63,4/08/2025 10:40:3.m.,Idle,00h:02m:00s,"Km 82 de la vía Dorada - Sabana de Torres, , Boyacá",Ant,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 10:42 a.m.,00h:06m:45s,"3,19",24,4/08/2025 10:49:1.m.,Idle,00h:00m:02s,"South America, Boyaca",BOY,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 10:49 a.m.,00h:02m:29s,"0,76",12,4/08/2025 10:51:5.m.,Ign Off,01h:01m:09s,"Km 79 de la vía Dorada - Sabana de Torres, , Boyacá",Boyacá,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 11:52 a.m.,00h:00m:00s,"0,00",0,4/08/2025 11:52:4.m.,Parked/Idle,00h:00m:00s,"Km 79 de la vía Dorada - Sabana de Torres, , Boyacá",Boyacá,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 11:52 a.m.,00h:02m:58s,"0,95",14,4/08/2025 11:55:5.m.,Idle,00h:00m:06s,"3FPR+39 Puerto Boyacá, Boyaca, Colombia",Boyaca,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 11:56 a.m.,00h:00m:25s,"0,03",7,4/08/2025 11:56:2.m.,Ign Off,00h:43m:19s,"3FPR+37 Puerto Boyacá, Boyaca, Colombia",Boyaca,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 12:39 p.m.,00h:00m:00s,"0,00",0,4/08/2025 12:39:2.m.,Parked/Idle,00h:00m:43s,"3FPR+27 Puerto Boyacá, Boyaca, Colombia",Boyaca,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 12:41 p.m.,00h:00m:31s,"0,06",7,4/08/2025 12:41:4.m.,Idle,00h:05m:50s," Km 79 de la vía Dorada - Sabana de Torres, , Boyacá, Colombia",Boyaca,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 12:47 p.m.,00h:02m:56s,"1,16",18,4/08/2025 12:50:2.m.,Idle,00h:01m:00s,"Unnamed Road, Puerto Boyacá, Boyacá, Colombia",Boyacá,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 12:51 p.m.,00h:01m:11s,"0,76",24,4/08/2025 12:52:3.m.,Idle,00h:08m:53s,"Km 80 de la vía Dorada - Sabana de Torres, , Boyacá",Boyacá,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 1:01 p.m.,00h:02m:45s,"0,89",14,4/08/2025 1:04:1.m.,Idle,00h:01m:01s,"Km 81 de la vía Dorada - Sabana de Torres, , Boyacá",Boyacá,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 1:05 p.m.,00h:09m:09s,"7,53",38,4/08/2025 1:14:2.m.,Idle,00h:00m:03s,"Km 82 de la vía Dorada - Sabana de Torres, , Boyacá",Ant,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 1:14 p.m.,00h:01m:15s,"1,50",7,4/08/2025 1:15:4.m.,Idle,00h:00m:02s,"Av 45, Puerto Berrio, Antioquia, Colombia",Ant,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 1:15 p.m.,00h:15m:05s,"21,68",68,4/08/2025 1:30:5.m.,Ign Off,01h:05m:15s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Cun,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 2:36 p.m.,00h:00m:00s,"0,00",0,4/08/2025 2:36:0.m.,Parked/Idle,00h:00m:00s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Cun,155209,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 2:36 p.m.,00h:03m:38s,"1,27",14,4/08/2025 2:40:0.m.,Idle,00h:08m:27s,"a 32-540,, Cra. 5 #32268, Puerto Boyacá, Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 2:48 p.m.,00h:01m:30s,"0,35",7,4/08/2025 2:50:0.m.,Idle,00h:16m:03s,"155201, Puerto Boyacá, Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 3:06 p.m.,00h:06m:51s,"3,33",18,4/08/2025 3:12:5.m.,Ign Off,02h:57m:33s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 6:09 p.m.,00h:00m:00s,"0,00",0,4/08/2025 6:09:2.m.,Parked/Idle,00h:00m:15s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 6:09 p.m.,00h:08m:19s,"1,54",14,4/08/2025 6:18:1.m.,Ign Off,02h:17m:13s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 8:34 p.m.,00h:00m:00s,"0,00",0,4/08/2025 8:34:4.m.,Parked/Idle,00h:00m:00s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JOP086,4/08/2025 8:35 p.m.,00h:06m:25s,"1,59",12,4/08/2025 8:42:0.m.,Ign Off,10h:07m:20s," Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,01h:55m:59s,"77,31",68,28h:51m:55s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 12:00 a.m.,00h:00m:00s,"0,00",0,4/08/2025 5:56:2.m.,Parked/Idle,18h:53m:24s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 6:54 p.m.,00h:00m:00s,"0,00",0,4/08/2025 6:54:2.m.,Parked/Idle,00h:00m:00s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 6:55 p.m.,00h:00m:14s,"0,11",6,4/08/2025 6:55:3.m.,Idle,00h:00m:08s," Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 6:55 p.m.,00h:00m:57s,"0,18",12,4/08/2025 6:56:3.m.,Idle,00h:00m:33s,"Carrera 5, Puerto Boyacá, Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 6:57 p.m.,00h:01m:05s,"0,39",12,4/08/2025 6:58:1.m.,Ign Off,01h:21m:29s," Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 8:18 p.m.,00h:00m:00s,"0,00",0,4/08/2025 8:18:4.m.,Parked/Idle,00h:01m:25s,"Cra. 5 #30-48, Puerto Boyacá, Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 8:21 p.m.,00h:00m:48s,"0,43",9,4/08/2025 8:22:0.m.,Idle,00h:01m:14s," Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
,Unit: JST321,4/08/2025 8:23 p.m.,00h:00m:29s,"0,10",6,4/08/2025 8:23:4.m.,Ign Off,19h:53m:34s,"Km 63 de la vía Puerto Salgar - Puerto Boyaca, , Boyacá, Colombia",Boyacá,155201,00h:03m:33s,"1,21",12,40h:11m:47s,10h:08m:24s,"244,23",68,322h:23m:44s
