,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Analyzed
0,KBY321CASTIL/CAMIONE,100,"46,51",1H:15M:28S,Empty
1,KDW525RIOPAILA/CAMIO,95,"53,51",1H:12M:43S,Empty
2,LFL197CASTILLA,43,"52,13",3H:7M:5S,Empty
3,MHO224 RIOPAILA(CAM,95,"140,00",2H:49M:21S,Empty
4,TDK954RIOPAILA,51,"74,00",3H:41M:19S,Empty
5,TDL580RIOPAILA,51,"55,81",1H:47M:29S,Empty
6,TDL582CASTILLA,55,"72,81",4H:29M:3S,Empty
7,TDL584 RISARALDA,0,"0,00",0H:0M:0S,Empty
8,TDL585 RIOPAILA,47,"46,80",3H:48M:43S,Empty
9,TDL587RIOPAILA,0,"0,00",0H:0M:0S,Empty
10,TDL588CASTILLA,10,"1,00",0H:13M:45S,Empty
11,TJV781RISARALDA,0,"0,00",0H:0M:0S,Empty
12,TRM025RIOPAILA,0,"0,00",0H:0M:0S,Empty
13,TRM032CASTILLA,0,"0,00",0H:0M:0S,Empty
14,TUL562 RIOPAILA,0,"0,00",0H:0M:0S,Empty
15,TUL568RIOPAILA,27,"12,99",0H:37M:53S,Empty
16,WDL101CASTILLA/TURBO,63,"30,51",0H:53M:15S,Empty
17,WDM182 CASTILLA,29,"24,75",1H:21M:25S,Empty
18,WDM183CASTILLA,48,"44,21",2H:35M:49S,Empty
19,WDM266CASTILLA,48,"70,54",3H:41M:36S,Empty
20,WDM268 CASTILLA,50,"37,80",1H:21M:4S,Empty
21,WDM270RIOPAILA,58,"58,44",2H:31M:40S,Empty
22,WDM271CASTILLA,43,"65,10",4H:1M:41S,Empty
23,WDM272LOS CASTILLA,53,"37,90",1H:26M:12S,Empty
24,WDM281INCAUCA,71,"50,00",3H:9M:9S,Empty
25,WDM282 CASTILLA,0,"0,00",0H:0M:0S,Empty
26,WDM283 CASTILLA,0,"0,00",0H:0M:0S,Empty
27,WDM284riopaila,47,"59,90",3H:14M:20S,Empty
28,WDM285 CASTILLA,51,"52,53",2H:33M:28S,Empty
29,WPK628riopaila/ TURB,68,"26,20",1H:10M:53S,Empty
30,WPK633riopaila,58,"59,01",3H:55M:6S,Empty
31,WPK640CASTILLA/TURBO,84,"128,30",3H:3M:36S,Empty
32,WPK645 RISARALDA,42,"68,09",3H:26M:47S,Empty
33,WPK661 MAYAGUEZ,47,"52,79",3H:23M:30S,Empty
34,WPK692 risaralda,0,"0,00",0H:0M:0S,Empty
35,ZNM941CASTILLA,42,"42,91",2H:42M:38S,Empty
36,ZNM974riopaila,48,"74,90",3H:10M:7S,Empty
37,ZNM975riopaila,51,"51,19",2H:20M:24S,Empty
38,ZNM983 RIOPAILA,50,"59,90",2H:41M:15S,Empty
39,ZNN559 CASTILLA,61,"94,15",4H:2M:41S,Empty
