Created;Message;Status
2025-07-01 18:14:02.959;+RESP:GTIGN,500700,868574042946678,,73875,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,210100,0,00476:53:45,9912.7,20250701181401,3519$;0x2B524553503A475449474E2C3530303730302C3836383537343034323934363637382C2C37333837352C302C302E302C3238382C3130352E302C2D37372E3632363230392C2D31312E3038393730382C32303235303631303132353230342C303731362C303031302C313031382C343041433744442C30362C3231303130302C302C30303437363A35333A34352C393931322E372C32303235303730313138313430312C3335313924
2025-07-01 18:14:03.237;+RESP:GTSTT,500700,868574042946678,,21,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,210100,0,20250701181401,351A$;0x2B524553503A47545354542C3530303730302C3836383537343034323934363637382C2C32312C302C302E302C3238382C3130352E302C2D37372E3632363230392C2D31312E3038393730382C32303235303631303132353230342C303731362C303031302C313031382C343041433744442C30362C3231303130302C302C32303235303730313138313430312C3335314124
2025-07-01 18:14:17.977;+RESP:GTIGF,500700,868574042946678,,15,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,110000,0,00476:54:00,9912.7,20250701181416,351B$;0x2B524553503A47544947462C3530303730302C3836383537343034323934363637382C2C31352C302C302E302C3238382C3130352E302C2D37372E3632363230392C2D31312E3038393730382C32303235303631303132353230342C303731362C303031302C313031382C343041433744442C30362C3131303030302C302C30303437363A35343A30302C393931322E372C32303235303730313138313431362C3335314224
2025-07-01 18:14:18.598;+RESP:GTSTT,500700,868574042946678,,11,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,110000,0,20250701181416,351C$;0x2B524553503A47545354542C3530303730302C3836383537343034323934363637382C2C31312C302C302E302C3238382C3130352E302C2D37372E3632363230392C2D31312E3038393730382C32303235303631303132353230342C303731362C303031302C313031382C343041433744442C30362C3131303030302C302C32303235303730313138313431362C3335314324
2025-07-01 18:14:58.155;+RESP:GTIGL,500700,868574042946678,,,01,1,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,04,0,9912.7,20250701181456,351D$;0x2B524553503A475449474C2C3530303730302C3836383537343034323934363637382C2C2C30312C312C302C302E302C3238382C3130352E302C2D37372E3632363230392C2D31312E3038393730382C32303235303631303132353230342C303731362C303031302C313031382C343041433744442C30342C302C393931322E372C32303235303730313138313435362C3335314424
2025-07-01 18:14:58.839;+RESP:GTIGL,500700,868574042946678,,,00,1,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,04,0,9912.7,20250701181456,351E$;0x2B524553503A475449474C2C3530303730302C3836383537343034323934363637382C2C2C30302C312C302C302E302C3238382C3130352E302C2D37372E3632363230392C2D31312E3038393730382C32303235303631303132353230342C303731362C303031302C313031382C343041433744442C30342C302C393931322E372C32303235303730313138313435362C3335314524
2025-07-01 18:18:38.777;+RESP:GTCRA,500700,868574042946678,,0,0.0,288,105.0,-77.626209,-11.089708,20250610125204,0716,0010,1018,40AC7DD,06,1A0000,0,20250701181837,351F$;0x2B524553503A47544352412C3530303730302C3836383537343034323934363637382C2C302C302E302C3238382C3130352E302C2D37372E3632363230392C2D31312E3038393730382C32303235303631303132353230342C303731362C303031302C313031382C343041433744442C30362C3141303030302C302C32303235303730313138313833372C3335314624
2025-07-01 18:18:41.178;+RESP:GTCRD,500700,868574042946678,,0,3,1,FF9EFFDC000EFFE8FFD3FFB3FFEBFFCBFFC0FF98FFE8FFE30003FFD3FFC0FFC1FFDCFFE1FFE0FFDCFFB5FFD5FFDBFFDEFFCDFFDAFFBEFFDCFFDBFFC8FFBDFFE4FFD5FFF6FFD6FFB6FFB6FFD3FFB4FFE8FFE1FFC2FFD8FFD50001FFB5FFBEFFCA0015FFCF00F8FFEDFFE6FFB70005FFCAFF91FFD8FFD3FFC7FFBFFFF3FFD2FFFEFFD8FFB2FFD1FFDEFFCFFFB6FFF6FFBD0013FFD7FFB6FFC8FFECFFC6FFBBFFF4FFC4001DFFDFFFB2FFC8FFEDFFC20006FFE5FFBD0031FFD4FFCFFFECFFE8FFBEFFFD000FFFDBFFAAFFFFFFAAFFBEFFF6FFDBFFF2FFF9FFAFFFF60008FFBDFFCEFFF4FFADFFF1FFE6FFADFFE0FFE8FFC2FFFFFFF4FFADFFDCFFF5FFCCFFF4FFDAFFB5FFF4FFF4FFABFFEFFFF1FFBBFFFDFFF1FFB0FFFDFFE4FFB7FFEC0018FFBBFFFD005EFF09FFECFFD3FFC2FFE4FFEBFFCDFFE1FFEFFFA7FFD6FFFCFFD7FFB4FFF8FFC2FFDAFFF6FFD3FFDD0009FFB4FFBDFFF4FFC5FFC9FFF4FFC2FFDCFFF4FFAAFFD5FFE5FFA6FFCFFFEEFFC2FFDCFFEEFFB8FFF4000AFFEDFFFAFFD0FFAAFFE4FFF1FFC8FFBCFFD4FFEAFFF4FFEFFFBBFFDFFFEFFFA1FFD0FFDCFFB4FFD0FFE7FFBFFFD2FFE8FFB6FFBAFFEAFFE4FFC6FFEDFFCFFFC9FFEEFFBBFFC4FFEBFFD1FFA4FFF6FFD1FFC60000FFD6FFBBFFF2FFE2FFCAFFF1FFC4FFE50002FFBFFFC2FFF8FFABFFABFFFCFFCCFF88FFF3FFDAFFBB,20250701181837,3520$;0x2B524553503A47544352442C3530303730302C3836383537343034323934363637382C2C302C332C312C464639454646444330303045464645384646443346464233464645424646434246464330464639384646453846464533303030334646443346464330464643314646444346464531464645304646444346464235464644354646444246464445464643444646444146464245464644434646444246464338464642444646453446464435464646364646443646464236464642364646443346464234464645384646453146464332464644384646443530303031464642354646424546464341303031354646434630304638464645444646453646464237303030354646434146463931464644384646443346464337464642464646463346464432464646454646443846464232464644314646444546464346464642364646463646464244303031334646443746464236464643384646454346464336464642424646463446464334303031444646444646464232464643384646454446464332303030364646453546464244303033314646443446464346464645434646453846464245464646443030304646464442464641414646464646464141464642454646463646464442464646324646463946464146464646363030303846464244464643454646463446464144464646314646453646464144464645304646453846464332464646464646463446464144464644434646463546464343464646344646444146464235464646344646463446464142464645464646463146464242464646444646463146464230464646444646453446464237464645433030313846464242464646443030354546463039464645434646443346464332464645344646454246464344464645314646454646464137464644364646464346464437464642344646463846464332464644414646463646464433464644443030303946464234464642444646463446464335464643394646463446464332464644434646463446464141464644354646453546464136464643464646454546464332464644434646454546464238464646343030304146464544464646414646443046464141464645344646463146464338464642434646443446464541464646344646454646464242464644464646454646464131464644304646444346464234464644304646453746464246464644324646453846464236464642414646454146464534464643364646454446464346464643394646454546464242464643344646454246464431464641344646463646464431464643363030303046464436464642424646463246464532464643414646463146464334464645353030303246464246464643324646463846464142464641424646464346464343464638384646463346464441464642422C32303235303730313138313833372C3335323024
2025-07-01 18:18:44.043;+RESP:GTCRD,500700,868574042946678,,0,3,2,FFFBFFC8FFF1FFF2FFC6FFFCFFE9FFA8FFE0FFF9FFBFFFF9FFF4FFB60000FFF8FFB40016FFFAFFBA0016FFF0FFBDFFBDFFE5FFC4FFFFFFEFFFB60023FFE4FFB60005FFD3FFC20004FFF5FFAA0026FFFBFF7F0011FFDEFFA2FFFBFFF4FFB9FFE5FFFCFFC3FFCAFFFEFFB8FFCF0009FFC1FFBC0004FFC9FFE3FFECFFE0FFD0FFFFFFC4FFE1FFF8FFBC0017FFF1FFABFF86FFDF0007FFA8000DFF9AFFCCFFEDFFDBFFBAFFFFFFF3FFB5FFFDFFD1FFC7FFFCFFECFFD6FFFBFFCDFFB4FFF1FFBBFFE30002FFECFFAEFFFFFFCBFFB4FFF6FFB1FFCAFFEEFFA6FFDEFFF1FFE5FFEFFFF0FFABFFE5FFD6FF97FF88FFD4FF69FFFFFFEA002AFF4F00450027FFE8FFE3FF68FFAAFFF20021FF91FFEAFFD6FF9900040006FFC8FFD8003AFFBA0000001DFFBDFFF70027FFD5FFFA0034FFD20000003FFFDAFFF4004CFFDFFFF80052FFCDFFF5002FFFF1FFEC007CFFE5FFEA004CFFEFFFF60056FFE7FFEA004EFFE9FFEB0063FFE4FFEF0056FFECFFF4003EFFFBFFFA0051FFE7FFEA004FFFF6FFDD0053FFEA00000059FFECFFF80056FFEAFFF4003CFFFC000C00680015FFF20068FFE9FFF4005CFFDD0006005EFFE80005004A00150006002DFFD1000E0073FFC9FFF40037FFD0000D0038FFD900260077FFF800180040FFDE00160024FFCE001A0047FFD1001D0044FFCA00240045FFE700060047FFEE0000,20250701181837,3521$;0x2B524553503A47544352442C3530303730302C3836383537343034323934363637382C2C302C332C322C464646424646433846464631464646324646433646464643464645394646413846464530464646394646424646464639464646344646423630303030464646384646423430303136464646414646424130303136464646304646424446464244464645354646433446464646464645464646423630303233464645344646423630303035464644334646433230303034464646354646414130303236464646424646374630303131464644454646413246464642464646344646423946464535464646434646433346464341464646454646423846464346303030394646433146464243303030344646433946464533464645434646453046464430464646464646433446464531464646384646424330303137464646314646414246463836464644463030303746464138303030444646394146464343464645444646444246464241464646464646463346464235464646444646443146464337464646434646454346464436464646424646434446464234464646314646424246464533303030324646454346464145464646464646434246464234464646364646423146464341464645454646413646464445464646314646453546464546464646304646414246464535464644364646393746463838464644344646363946464646464645413030324146463446303034353030323746464538464645334646363846464141464646323030323146463931464645414646443646463939303030343030303646464338464644383030334146464241303030303030314446464244464646373030323746464435464646413030333446464432303030303030334646464441464646343030344346464446464646383030353246464344464646353030324646464631464645433030374346464535464645413030344346464546464646363030353646464537464645413030344546464539464645423030363346464534464645463030353646464543464646343030334546464642464646413030353146464537464645413030344646464636464644443030353346464541303030303030353946464543464646383030353646464541464646343030334346464643303030433030363830303135464646323030363846464539464646343030354346464444303030363030354546464538303030353030344130303135303030363030324446464431303030453030373346464339464646343030333746464430303030443030333846464439303032363030373746464638303031383030343046464445303031363030323446464345303031413030343746464431303031443030343446464341303032343030343546464537303030363030343746464545303030302C32303235303730313138313833372C3335323124
2025-07-01 18:18:46.824;+RESP:GTCRD,500700,868574042946678,,0,3,3,004DFFE8000C004CFFF500010058FFF6FFFE0056000AFFFF0058000CFFFB00550013FFEE005A0018FFEB0060FFF6FF880188FD4FFFEC02D500E4FF12FE2E00550064004CFFE200100029FFB30015002AFF64001C0046FFB600190050FFD30016002DFFE80023002DFFC50033001AFFCA00230028FFDF001C0005FFD100200041FFDF00110058FFFF0008005600060011004F001FFFF600560013FFF30052FFF6000F004C0029FFFC006600130002004A0025FFFE003B002AFFFA0043005AFFE400210048FFE400450047FFE90041002EFFF6002D004EFFE0003A0071FFF100420050FFDF00150041FFFA003C0028000700110052FFE70021004EFFEF0015004FFFD5001F003DFFDD003E0048FFE300280031FFED003E0036FFFC00410061FFD200170055FFD8002E0025FFEC00300032FFE0005D0038FFEA00310031FFE5006D002CFFED004E0002FFF70053000CFFF2005B0009FFEB0054FFFFFFE90075000BFFE8005F000AFFF1003FFFEA000C0069FFD100160093000FFFF800530015FFE3007E0022FFFE00350032FFD8006E0028FFF800670027FFFF002F0028FFF30040002CFFDC00580031FFF600460033FFF000060058FFF5002B0041FFE3001E004AFFE00020003BFFF3000C0051FFDC001B004BFFE700230043FFDD0018004FFFE400190026FFF2FFEC0066FFCEFFF10071FF1D01C6,20250701181837,3522$;0x2B524553503A47544352442C3530303730302C3836383537343034323934363637382C2C302C332C332C303034444646453830303043303034434646463530303031303035384646463646464645303035363030304146464646303035383030304346464642303035353030313346464545303035413030313846464542303036304646463646463838303138384644344646464543303244353030453446463132464532453030353530303634303034434646453230303130303032394646423330303135303032414646363430303143303034364646423630303139303035304646443330303136303032444646453830303233303032444646433530303333303031414646434130303233303032384646444630303143303030354646443130303230303034314646444630303131303035384646464630303038303035363030303630303131303034463030314646464636303035363030313346464633303035324646463630303046303034433030323946464643303036363030313330303032303034413030323546464645303033423030324146464641303034333030354146464534303032313030343846464534303034353030343746464539303034313030324546464636303032443030344546464530303033413030373146464631303034323030353046464446303031353030343146464641303033433030323830303037303031313030353246464537303032313030344546464546303031353030344646464435303031463030334446464444303033453030343846464533303032383030333146464544303033453030333646464643303034313030363146464432303031373030353546464438303032453030323546464543303033303030333246464530303035443030333846464541303033313030333146464535303036443030324346464544303034453030303246464637303035333030304346464632303035423030303946464542303035344646464646464539303037353030304246464538303035463030304146464631303033464646454130303043303036394646443130303136303039333030304646464638303035333030313546464533303037453030323246464645303033353030333246464438303036453030323846464638303036373030323746464646303032463030323846464633303034303030324346464443303035383030333146464636303034363030333346464630303030363030353846464635303032423030343146464533303031453030344146464530303032303030334246464633303030433030353146464443303031423030344246464537303032333030343346464444303031383030344646464534303031393030323646464632464645433030363646464345464646313030373146463144303143362C32303235303730313138313833372C3335323224
