Unit,Engine Hours,Tags,Driver,Address,Date / Time,Event,Speed,Posted Speed,VIN,Year,Make,Model,Odometer,ESN,IMEI,Linked Device
W6I-922,43.67 H,FAPE - HUANCAYO,,"El Mirador, Huancayo 12425, Peru","Sep 14, 2025 (2 months ago), COT",Ignition Off,0 KPH,,,,,,"9,275 km",869487061792874,869487061792874, - 
W1I-925,0.00 H,"HUB LELY,FAPE - HUANCAYO",,,,N/A,,,,,,,N/A,869487061642947,869487061642947, - 
V8R-709,58.49 H,"HUB LELY,FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Au. Panamericana N, 13720, Peru","Sep 03, 2025 (2 months ago), COT",Tow,58 KPH,,,,,,"49,956 km",868574042954995,868574042954995, - 
V8Q-946,5376.88 H,"HUB LELY,FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Au. Panamericana N, 02660, Peru","Oct 31, 2025 (2 minutes ago), COT",Drive,41 KPH,55 KPH,,,,,"66,598 km",868574042953237,868574042953237, - 
F3W-870,0.00 H,OTRAS UT,,,,N/A,,,,,,,N/A,868574042946140,868574042946140, - 
F3H-875,1642.22 H,"HUB LELY,CRAMER,PUNTO DE CARGA,GRIFOS,PARADA NO AUTORIZADA",,"Av. Mariano Pastor Sevilla, Villa EL Salvador 15837, Peru","Oct 31, 2025 (a minute ago), COT",Drive,50 KPH,40 KPH,,,,,"23,036 km",868574042866967,868574042866967, - 
F1Z-923,0.00 H,"HUB LELY,FAPE - HUANCAYO,GRIFOS",,,,N/A,,,,,,,N/A,4764386009,358077093313167, - 
DOG-717,444.36 H,"HUB LELY,FAPE - HUANCAYO,GRIFOS,PARADA NO AUTORIZADA",,"Carr. Central Margen Derecha, Peru","Oct 31, 2025 (2 minutes ago), COT",Drive,55 KPH,61 KPH,,,,,"38,531 km",4764385970,358077093358253, - 
D8S-958,0.68 H,OTRAS UT,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 22, 2025 (9 days ago), COT",Low Battery,0 KPH,,,,,,"3,214 km",868574042947494,868574042947494, - 
D6J-851,4335.27 H,"HUB LELY,FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Nva, M5P9+48G, PE-1S 1601, Punta Hermosa 15845, Peru","Oct 31, 2025 (an hour ago), COT",Ignition Off,0 KPH,,,,,,"71,469 km",868574042952122,868574042952122, - 
D6J-809,0.00 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,,,N/A,,,,,,,N/A,868574042935986,868574042935986, - 
D6B-722,51.95 H,OTRAS UT,,"C. A, Lima 15823, Peru","Oct 31, 2025 (4 hours ago), COT",Ignition Off,0 KPH,,,,,,"5,829 km",4764386022,358077093181408, - 
D4S-753,0.00 H,OTRAS UT,,,,N/A,,,,,,,N/A,4764413227,352556102271827, - 
D2A-853,436.07 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 30, 2025 (a day ago), COT",Ignition Off,0 KPH,,,,,,"50,427 km",869487061749932,869487061749932, - 
D1Z-845,2366.27 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Av. América Sur 1371, Trujillo 13006, Peru","Oct 31, 2025 (4 minutes ago), COT",Ignition Off,0 KPH,,,,,,"68,762 km",868574042842661,868574042842661, - 
D0G-903,0.00 H,OTRAS UT,,,,N/A,,,,,,,N/A,868574042453253,868574042453253, - 
D0G-753,152.99 H,"FAPE - CHINCHA,GRIFOS,PARADA NO AUTORIZADA",,"Avenida San Martin 114, Sunampe 11702, Peru","Oct 30, 2025 (17 hours ago), COT",Ignition Off,0 KPH,,,,,,"32,657 km",4764385972,358077093347215, - 
D0F-741,0.00 H,OTRAS UT,,,,N/A,,,,,,,N/A,4764386001,358077093393102, - 
D0E-841,196.00 H,"FAPE - HUANCAYO,GRIFOS,PARADA NO AUTORIZADA",,"P.º La Breña 292-390, Huancayo 12001, Peru","Oct 31, 2025 (2 minutes ago), COT",Drive,12 KPH,40 KPH,,,,,"6,751 km",869487064451296,869487064451296, - 
COZ-825,2152.36 H,OTRAS UT,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 31, 2025 (an hour ago), COT",Travel Stop,0 KPH,,,,,,"359,653 km",000034400724,353816055192027, - 
CBF-807,3040.58 H,"CRAMER,PUNTO DE CARGA,GRIFOS,PARADA NO AUTORIZADA",,"Av. Prol. Huaylas, Chorrillos 15057, Peru","Oct 31, 2025 (a minute ago), COT",Drive,60 KPH,80 KPH,,,,,"35,990 km",868574042927546,868574042927546, - 
CBF-763,510.56 H,"FAPE - T1,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"P4CM+Q52, C. A, Lima 15823, Peru","Oct 31, 2025 (5 hours ago), COT",Ignition Off,0 KPH,,,,,,"22,116 km",4764385513,358077093192272, - 
CBE-942,2617.64 H,"FAPE - ICA,GRIFOS,PARADA NO AUTORIZADA",,"Maria Reiche Neuman 456, Nasca 11401, Peru","Oct 31, 2025 (2 hours ago), COT",Ignition Off,0 KPH,,,,,,"23,846 km",868574042944731,868574042944731, - 
CBD-772,230.18 H,"FAPE - T1,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"PE-1S 291, 11501, Peru","Oct 31, 2025 (34 minutes ago), COT",Ignition Off,0 KPH,,,,,,"8,266 km",869487064498347,869487064498347, - 
C6L-708,5231.42 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Au. Panamericana N, Casma, Peru","Oct 31, 2025 (4 minutes ago), COT",Drive,21 KPH,40 KPH,,,,,"61,601 km",868574042938519,868574042938519, - 
C6B-745,8170.37 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"PE-1S 2022-2014, Peru","Oct 31, 2025 (a minute ago), COT",Drive,17 KPH,101 KPH,,,,,"76,806 km",868574042949516,868574042949516, - 
C6A-743,8349.46 H,"FLOTA PESADA,PUNTO DE CARGA,PUNTO DE DESCARGA,PERNOCTE,GRIFOS,PARADA NO AUTORIZADA",,"Au. Panamericana N, 13620, Peru","Oct 31, 2025 (a minute ago), COT",Drive,42 KPH,91 KPH,,,,,"61,630 km",868574042936588,868574042936588, - 
C5J-948,0.01 H,OTRAS UT,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 02, 2025 (a month ago), COT",Ignition Off,0 KPH,,,,,,"92,972 km",4764412610,352556102448177, - 
C1T-877,157.61 H,"FAPE - CHINCHA,GRIFOS,PARADA NO AUTORIZADA",,"Av. La Mar 499-399, Imperial 15701, Peru","Oct 31, 2025 (7 minutes ago), COT",Drive,15 KPH,40 KPH,,,,,"40,419 km",868574042435094,868574042435094, - 
C1F-994,7558.02 H,OTRAS UT,,"PE-1S, 04100, Peru","Oct 31, 2025 (10 minutes ago), COT",Drive,41 KPH,36 KPH,,,,,"90,209 km",4764428669,354514102529221, - 
C0Z-900,13.49 H,OTRAS UT,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Sep 18, 2025 (a month ago), COT",Ping,0 KPH,,,,,,"18,889 km",868574042909023,868574042909023, - 
BPU-933,564.36 H,"FAPE - HUANCAYO,GRIFOS,PARADA NO AUTORIZADA",,"Huancayo - Huancavelica, 09125, Peru","Oct 31, 2025 (5 minutes ago), COT",Drive,38 KPH,101 KPH,,,,,"68,803 km",1363184984,352556102014821, - 
BPT-942,2129.47 H,FAPE - NORTE CHICO Y HUARAZ,,"Av. Los Ceibos A-2 U.C.10421, Lurín 15823, Peru","Oct 31, 2025 (24 minutes ago), COT",Ignition Off,0 KPH,,,,,,"56,725 km",1363185112,352556102099228, - 
BPM-802,0.56 H,OTRAS UT,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 29, 2025 (2 days ago), COT",Ignition Off,0 KPH,,,,,,"24,271 km",1363185113,352556102050585, - 
BPM-788,5181.17 H,"FAPE - NORTE CHICO Y HUARAZ,PUNTO DE DESCARGA,GRIFOS,PARADA NO AUTORIZADA",,"Ruta Nacional PE-16, 02500, Peru","Oct 31, 2025 (a minute ago), COT",Drive,13 KPH,101 KPH,,,,,"42,849 km",869487064397275,869487064397275, - 
BPM-787,919.89 H,"FAPE - HUANCAYO,GRIFOS,PARADA NO AUTORIZADA",,"Las Colinas 394, 12004, Peru","Oct 31, 2025 (4 minutes ago), COT",Ignition Off,0 KPH,,,,,,"6,331 km",868574042402938,868574042402938, - 
BPM-730,12.02 H,FAPE - NORTE CHICO Y HUARAZ,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Oct 30, 2025 (a day ago), COT",Ignition Off,0 KPH,,,,,,117 km,1363184979,352556102091902, - 
BPM-729,434.03 H,"FAPE - NORTE CHICO Y HUARAZ,PUNTO DE DESCARGA,GRIFOS,PARADA NO AUTORIZADA",,"Av. La Mar 2339, San Miguel 15088, Peru","Oct 31, 2025 (a minute ago), COT",Travel Start,18 KPH,40 KPH,,,,,"41,481 km",1363184988,352556102014557, - 
BPL-937,0.04 H,OTRAS UT,,"2379+V8H, Lurigancho-Chosica 15461, Peru","Sep 27, 2025 (a month ago), COT",Ignition Off,0 KPH,,,,,,"80,858 km",868574042440987,868574042440987, - 
BPL-830,10504.94 H,"FAPE - HUANCAYO,GRIFOS,PARADA NO AUTORIZADA",,"5S, 12865, Peru","Oct 31, 2025 (3 minutes ago), COT",Drive,18 KPH,36 KPH,,,,,"87,498 km",1363186025,352556102099384, - 
BPL-700,1448.03 H,"FAPE - NORTE CHICO Y HUARAZ,PUNTO DE DESCARGA,GRIFOS,PARADA NO AUTORIZADA",,"M, Lurín 15823, Peru","Oct 31, 2025 (an hour ago), COT",Ignition Off,0 KPH,,,,,,"46,663 km",4764400252,354514101232009, - 
BPK-942,67.74 H,FAPE,,"M, Lurín 15823, Peru","Sep 05, 2025 (2 months ago), COT",Ignition Off,0 KPH,,,,,,"46,195 km",1363184995,352556102014136, - 
BPK-941,521.60 H,"FAPE - NORTE CHICO Y HUARAZ,PUNTO DE DESCARGA,GRIFOS,PARADA NO AUTORIZADA",,"Av. Brasil 2007, Jesús María 15084, Peru","Oct 31, 2025 (34 minutes ago), COT",Ignition Off,0 KPH,,,,,,"49,727 km",1363192117,352556102917452, - 
BPK-884,2030.67 H,"FAPE - NORTE CHICO Y HUARAZ,PUNTO DE DESCARGA,GRIFOS,PARADA NO AUTORIZADA",,"M, Lurín 15823, Peru","Oct 31, 2025 (2 hours ago), COT",Ignition Off,0 KPH,,,,,,"42,688 km",868574042937289,868574042937289, - 
BPK-862,0.14 H,"FAPE - NORTE CHICO Y HUARAZ,PUNTO DE DESCARGA,GRIFOS,PARADA NO AUTORIZADA",,"2379+V8H, Lurigancho-Chosica 15461, Peru","Sep 04, 2025 (2 months ago), COT",Ignition Off,0 KPH,,,,,,"1,276 km",869487064428401,869487064428401, - 
BJN-910,1279.76 H,GRIFOS,,"Vía Sin Nombre, Lima 15841, Peru","Oct 30, 2025 (11 hours ago), COT",Ignition Off,0 KPH,,,,,,"18,524 km",868574042919246,868574042919246, - 
BHJ-934,200.35 H,FAPE - HUANCAYO,,"Jr. San Francisco 178, 12110, Peru","Oct 31, 2025 (13 minutes ago), COT",Ignition Off,0 KPH,,,,,,"4,509 km",869487061788351,869487061788351, - 
