Created;Message;Status
2025-12-17 16:50:36.285;11000001,5,4764428583,1,1,1,10,1,4,0,0,0,0,00001111,00000001,OFF,1101000,6,3,48166947,25566,0x00000000,0,0|;0x830547644285830101010A0001000000040000000000000000000000F08016060302DEF823000063DE00000000
2025-12-17 16:50:36.690;11000001,5,4764428583,1,1,1,10,2,61,0,0,0,0,00001111,00000001,ON,1101000,1,3,48166947,18544,0x00000000,0,0|;0x830547644285830101010A00020000003D0000000000000000000000F08017010302DEF8230000487000000000
2025-12-17 16:50:37.074;11000001,5,4764428583,1,1,1,10,3,73,0,0,0,0,00001111,00000001,OFF,1101000,2,3,48166947,28697,0x00000000,0,0|;0x830547644285830101010A0003000000490000000000000000000000F08016020302DEF8230000701900000000
2025-12-17 16:50:37.500;11000001,5,4764428583,1,1,1,10,4,1765990217,0,0,0,0,00000111,01100001,ON,1101000,1,3,48166947,19790,0x00000000,0,0|;0x830547644285830101010A00046942DF490000000000000000000000E08617010302DEF82300004D4E00000000
2025-12-17 16:50:37.895;11000001,5,4764428583,1,1,1,10,5,1765990224,0,0,0,0,00000111,11110001,OFF,1101000,2,3,48166947,32923,0x00000000,0,0|;0x830547644285830101010A00056942DF500000000000000000000000E08F16020302DEF8230000809B00000000
2025-12-17 16:55:18.909;11000001,5,4764428583,1,1,1,4,6,1765990517,1765990517,10.910166,-74.772854,0,30,302,5,00000000,123,-67,11110010,11,OFF,1101000,00000000,0,5,36,fs:3:0x3E01071FFF08F88F023E01071F01091090123E01071F01091A90F53E01071F01091D909B|;0x830547644285830101010400066942E0756942E0750680C25CD36E9164000000000000001E012E0500007BFFBD4F0B1600000500243E01071FFF08F88F023E01071F01091090123E01071F01091A90F53E01071F01091D909B
2025-12-17 17:00:29.536;11000001,5,4764428583,1,1,1,10,7,1765990828,10.910138,-74.7730515,302,0,00010001,01100000,OFF,1101010,5,3,48166947,8238,0x00000000,0,0|;0x830547644285830101010A00076942E1AC0680C144D36E89AD012E00880656050302DEF8230000202E00000000
2025-12-17 17:12:11.715;11000001,5,4764428583,1,1,1,10,8,1765991530,10.9101646,-74.773081,124,0,10010000,11110000,ON,1101000,1,3,48166947,26813,0x00000000,0,0|;0x830547644285830101010A00086942E46A0680C24ED36E8886007C00090F17010302DEF823000068BD00000000
2025-12-17 17:12:25.322;11000001,5,4764428583,1,1,1,10,8,1765991530,10.9101646,-74.773081,124,0,10010000,11110000,ON,1101000,1,3,48166947,26813,0x00000000,0,0|;0x830547644285830101010A00086942E46A0680C24ED36E8886007C00090F17010302DEF823000068BD00000000
2025-12-17 17:12:40.831;11000001,5,4764428583,1,1,1,10,8,1765991530,10.9101646,-74.773081,124,0,10010000,11110000,ON,1101000,1,3,48166947,26813,0x00000000,0,0|;0x830547644285830101010A00086942E46A0680C24ED36E8886007C00090F17010302DEF823000068BD00000000
2025-12-17 17:13:16.076;11000001,5,4764428583,1,1,1,4,9,1765991594,1765991594,10.9101008,-74.7730291,1140,11,124,9,00000000,123,-71,11110010,8,ON,1101000,00000000,0,5,36,fs:3:0x3E01071F01091E90CE3E01071F01091D909B3E01071F01091E90CE3E01071FFC08CE8F0D|;0x830547644285830101010400096942E4AA6942E4AA0680BFD0D36E8A8D000004740000000B007C0900007BFFB94F081700000500243E01071F01091E90CE3E01071F01091D909B3E01071F01091E90CE3E01071FFC08CE8F0D
2025-12-17 17:15:10.720;11000001,5,4764428583,1,1,1,10,10,1765991709,10.9101056,-74.7730085,26,0,00010000,11110000,ON,1101000,4,3,48166947,27208,0x00000000,0,0|;0x830547644285830101010A000A6942E51D0680C000D36E8B5B001A00080F17040302DEF82300006A4800000000
2025-12-17 17:17:10.722;11000001,5,4764428583,1,1,1,10,11,1765991829,10.9101191,-74.7729963,351,0,10010000,11110000,ON,1101000,45,3,48166947,27907,0x00000000,0,0|;0x830547644285830101010A000B6942E5950680C087D36E8BD5015F00090F172D0302DEF82300006D0300000000
2025-12-17 17:19:56.387;11000001,5,4764428583,1,1,1,4,12,1765991995,1765991995,10.9101448,-74.7730351,0,0,351,9,00000000,123,-71,11110010,9,ON,1101000,00000000,0,5,36,fs:3:0x3E01071FFA08A58F7D3E01071FFA08AE8F5E3E01071FF8088A8FA33E01071FF708768FED|;0x8305476442858301010104000C6942E63B6942E63B0680C188D36E8A510000000000000000015F0900007BFFB94F091700000500243E01071FFA08A58F7D3E01071FFA08AE8F5E3E01071FF8088A8FA33E01071FF708768FED
2025-12-17 17:25:48.531;11000001,5,4764428583,1,1,1,10,13,1765992346,10.9102018,-74.7730515,351,0,10010000,11110000,OFF,1101000,2,3,48166947,21766,0x00000000,0,0|;0x830547644285830101010A000D6942E79A0680C3C2D36E89AD015F00090F16020302DEF8230000550600000000
2025-12-17 17:25:51.872;11000001,5,4764428583,1,1,1,10,14,1765992351,10.9102011,-74.7730516,351,0,10010000,11110000,ON,1101000,1,3,48166947,17541,0x00000000,0,0|;0x830547644285830101010A000E6942E79F0680C3BBD36E89AC015F00090F17010302DEF8230000448500000000
2025-12-17 17:26:21.541;11000001,5,4764428583,1,1,1,10,15,1765992380,10.9101883,-74.7730338,351,0,11100000,11110000,OFF,1101000,2,3,48166947,20641,0x00000000,0,0|;0x830547644285830101010A000F6942E7BC0680C33BD36E8A5E015F00070F16020302DEF823000050A100000000
2025-12-17 17:36:21.459;11000001,5,4764428583,1,1,1,10,16,1765992980,10.9101955,-74.77302,244,0,10010000,11110000,OFF,1101010,5,3,48166947,30,0x00000000,0,0|;0x830547644285830101010A00106942EA140680C383D36E8AE800F400090F56050302DEF8230000001E00000000
2025-12-17 21:08:46.695;11000001,5,4764428583,1,1,1,10,1,1766005670,0,0,0,0,00000111,00000001,OFF,1101001,6,3,48166947,20641,0x00000000,0,0|;0x830547644285830101010A000169431BA60000000000000000000000E08096060302DEF823000050A100000000
2025-12-17 21:09:01.941;11000001,5,4764428583,1,1,1,10,1,1766005670,0,0,0,0,00000111,00000001,OFF,1101001,6,3,48166947,20641,0x00000000,0,0|;0x830547644285830101010A000169431BA60000000000000000000000E08096060302DEF823000050A100000000
2025-12-17 21:09:16.241;11000001,5,4764428583,1,1,1,10,1,1766005670,0,0,0,0,00000111,00000001,OFF,1101001,6,3,48166947,20641,0x00000000,0,0|;0x830547644285830101010A000169431BA60000000000000000000000E08096060302DEF823000050A100000000
2025-12-17 21:09:31.349;11000001,5,4764428583,1,1,1,10,1,1766005670,0,0,0,0,00000111,00000001,OFF,1101001,6,3,48166947,20641,0x00000000,0,0|;0x830547644285830101010A000169431BA60000000000000000000000E08096060302DEF823000050A100000000
2025-12-17 21:09:46.295;11000001,5,4764428583,1,1,1,10,1,1766005670,0,0,0,0,00000111,00000001,OFF,1101001,6,3,48166947,20641,0x00000000,0,0|;0x830547644285830101010A000169431BA60000000000000000000000E08096060302DEF823000050A100000000
