,Unit Type,IMEI,Serial Number
0,VidFleet 4K,6B301GMF,6B301GMF
1,VidFleet 4K,6B3101BZ,6B3101BZ
2,VidFleet 4K,6B3101FP,6B3101FP
3,VidFleet 4K,6B301ATH,6B301ATH
4,VidFleet 4K,6B301AC0,6B301AC0
6,VidFleet 4K,6B301GSG,6B301GSG
8,VidFleet 4K,6B31115H,6B31115H
9,VidFleet 4K,6B3101BL,6B3101BL
11,VidFleet 4K,6B301GQ0,6B301GQ0
14,VidFleet 4K,6B301GPH,6B301GPH
15,VidFleet 4K,6B311189,6B311189
16,VidFleet 4K,6B301BP2,6B301BP2
18,VidFleet 4K,6B3101DN,6B3101DN
21,VidFleet 4K,6B311100,6B311100
23,VidFleet 4K,6B301AK4,6B301AK4
24,VidFleet 4K,6B3101AZ,6B3101AZ
25,VidFleet 4K,6B301A72,6B301A72
28,VidFleet 4K,6B301BEQ,6B301BEQ
33,VidFleet 4K,6B3101GZ,6B3101GZ
36,VidFleet 4K,6B3101F4,6B3101F4
37,VidFleet 4K,6B3101C3,6B3101C3
38,VidFleet 4K,6B31116D,6B31116D
41,VidFleet 4K,6B31111E,6B31111E
42,VidFleet 4K,6B31113W,6B31113W
43,VidFleet 4K,6B301GRR,6B301GRR
44,VidFleet 4K,6B301GEM,6B301GEM
45,VidFleet 4K,6B301AWQ,6B301AWQ
48,VidFleet 4K,6B3101D9,6B3101D9
49,VidFleet 4K,6B301GS9,6B301GS9
50,VidFleet 4K,6B301A9R,6B301A9R
51,VidFleet 4K,6B301AHW,6B301AHW
52,VidFleet 4K,6B301AUG,6B301AUG
53,VidFleet 4K,6B301BNG,6B301BNG
54,VidFleet 4K,6B301GK1,6B301GK1
59,VidFleet 4K,6B301GEU,6B301GEU
61,VidFleet 4K,6B301BN0,6B301BN0
63,VidFleet 4K,6B3101HK,6B3101HK
64,VidFleet 4K,6B301AXL,6B301AXL
67,VidFleet 4K,6B301AYX,6B301AYX
68,VidFleet 4K,6B301B9U,6B301B9U
69,VidFleet 4K,6B301A39,6B301A39
71,VidFleet 4K,6B301GR2,6B301GR2
72,VidFleet 4K,6B301GSE,6B301GSE
73,VidFleet 4K,6B301AYY,6B301AYY
75,VidFleet 4K,6B3101DA,6B3101DA
76,VidFleet 4K,6B301ANJ,6B301ANJ
78,VidFleet 4K,6B301AG8,6B301AG8
81,VidFleet 4K,6B301G24,6B301G24
83,VidFleet 4K,6B301GPZ,6B301GPZ
85,VidFleet 4K,6B301GM0,6B301GM0
