GroupName,UnitName,StartTime,Textbox8,StopTime,StopLengthSecs,ContactName,textbox32,StopLengthSecs_1
,Unit: HITACHI 4848,3/06/2025 9:26:50 a.m.,"3CRP+72 Icononzo, Tolima, Colombia Icononzo Tolima 734027",3/06/2025 10:15:11 a.m.,00h:48m:21s,"3CRP+72 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,3/06/2025 10:20:02 a.m.,"3CRP+72 Icononzo, Tolima, Colombia Icononzo Tolima 734027",3/06/2025 1:44:42 p.m.,03h:24m:40s,"3CRP+93 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,3/06/2025 2:16:29 p.m.,"3CRP+93 Icononzo, Tolima, Colombia Icononzo Tolima 734027",3/06/2025 6:11:45 p.m.,03h:55m:16s,"3CRP+73 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,4/06/2025 12:38:54 p.m.,"3CRP+73 Icononzo, Tolima, Colombia Icononzo Tolima 734027",4/06/2025 1:22:12 p.m.,00h:43m:18s,"3CRP+73 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,4/06/2025 2:17:21 p.m.,"3CRP+73 Icononzo, Tolima, Colombia Icononzo Tolima 734027",4/06/2025 5:57:06 p.m.,03h:39m:45s,"3CRP+52 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,5/06/2025 1:15:05 p.m.,"3CRP+63 Icononzo, Tolima, Colombia Icononzo Tolima 734027",5/06/2025 1:29:22 p.m.,00h:14m:17s,"3CRP+52 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,5/06/2025 2:57:14 p.m.,"3CRP+52 Icononzo, Tolima, Colombia Icononzo Tolima 734027",5/06/2025 5:11:00 p.m.,02h:13m:46s,"3CRP+63 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,11/06/2025 9:50:56 a.m.,"3CRP+73 Icononzo, Tolima, Colombia Icononzo Tolima 734027",11/06/2025 11:31:21 a.m.,01h:40m:25s,"3CRP+83 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,11/06/2025 11:32:25 a.m.,"3CRP+83 Icononzo, Tolima, Colombia Icononzo Tolima 734027",11/06/2025 11:32:37 a.m.,00h:00m:12s,"3CRP+83 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,11/06/2025 11:37:03 a.m.,"3CRP+83 Icononzo, Tolima, Colombia Icononzo Tolima 734027",11/06/2025 4:17:04 p.m.,04h:40m:01s,"3CRP+83 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,13/06/2025 10:36:39 a.m.,"3CRP+45 Icononzo, Tolima, Colombia Icononzo Tolima 734027",13/06/2025 10:45:09 a.m.,00h:08m:30s,"3CRP+42 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,14/06/2025 1:03:39 p.m.,"3CRM+6Q Icononzo, Tolima, Colombia Icononzo Tolima 734027",14/06/2025 1:03:41 p.m.,00h:00m:02s,"3CRM+6Q Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,14/06/2025 1:03:43 p.m.,"3CRM+6Q Icononzo, Tolima, Colombia Icononzo Tolima 734027",14/06/2025 5:06:30 p.m.,04h:02m:47s,"3CQQ+CW Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,15/06/2025 11:06:20 a.m.,"3CQQ+FV Icononzo, Tolima, Colombia Icononzo Tolima 734027",15/06/2025 11:06:22 a.m.,00h:00m:02s,"3CQQ+FV Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,15/06/2025 11:06:24 a.m.,"3CQQ+FV Icononzo, Tolima, Colombia Icononzo Tolima 734027",15/06/2025 1:18:52 p.m.,02h:12m:28s,"3CQQ+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,15/06/2025 5:41:14 p.m.,"3CQQ+FR Icononzo, Tolima, Colombia Icononzo Tolima 734027",15/06/2025 5:41:28 p.m.,00h:00m:14s,"3CQQ+FR Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,16/06/2025 11:41:55 a.m.,"3CQQ+FV Icononzo, Tolima, Colombia Icononzo Tolima 734027",16/06/2025 11:41:57 a.m.,00h:00m:02s,"3CQQ+FV Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,16/06/2025 11:41:59 a.m.,"3CQQ+FV Icononzo, Tolima, Colombia Icononzo Tolima 734027",16/06/2025 11:45:02 a.m.,00h:03m:03s,"3CQQ+HV Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,16/06/2025 11:56:59 a.m.,"3CQQ+FR Icononzo, Tolima, Colombia Icononzo Tolima 734027",16/06/2025 12:07:25 p.m.,00h:10m:26s,"3CQQ+FR Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,17/06/2025 11:20:48 a.m.,"3CQQ+FR Icononzo, Tolima, Colombia Icononzo Tolima 734027",17/06/2025 12:04:07 p.m.,00h:43m:19s,"3CRQ+66 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,17/06/2025 2:42:58 p.m.,"3CRQ+66 Icononzo, Tolima, Colombia Icononzo Tolima 734027",17/06/2025 3:07:49 p.m.,00h:24m:51s,"3CRQ+94 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,17/06/2025 4:37:42 p.m.,"3CRQ+94 Icononzo, Tolima, Colombia Icononzo Tolima 734027",17/06/2025 6:02:39 p.m.,01h:24m:57s,"3CRQ+F2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,18/06/2025 2:13:38 p.m.,"3CRQ+F3 Icononzo, Tolima, Colombia Icononzo Tolima 734027",18/06/2025 4:00:35 p.m.,01h:46m:57s,"3CRQ+66 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,19/06/2025 8:47:35 a.m.,"3CRP+HX Icononzo, Tolima, Colombia Icononzo Tolima 734027",19/06/2025 2:17:11 p.m.,05h:29m:36s,   ,146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,19/06/2025 2:17:11 p.m.,"3CQM+VP Icononzo, Tolima, Colombia Icononzo Tolima 734027",19/06/2025 3:47:51 p.m.,01h:30m:40s,"3CRP+FW Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
