GroupName,UnitName,StartTime,Textbox8,StopTime,StopLengthSecs,ContactName,textbox32,StopLengthSecs_1
,Unit: HITACHI 4848,1/08/2025 9:20:46 a.m.,"4CGG+JX Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/08/2025 9:28:30 a.m.,00h:07m:44s,"4CGH+P2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,1/08/2025 9:32:52 a.m.,"4CGH+P2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/08/2025 12:59:11 p.m.,03h:26m:19s,"4CGH+G2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,1/08/2025 2:19:39 p.m.,"4CGH+G2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/08/2025 2:19:40 p.m.,00h:00m:01s,"4CGH+G2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,1/08/2025 2:19:42 p.m.,"4CGH+G2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/08/2025 3:08:43 p.m.,00h:49m:01s,"4CGH+G3 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,1/08/2025 3:49:33 p.m.,"4CGH+H2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/08/2025 4:29:13 p.m.,00h:39m:40s,"4CGH+M2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,2/08/2025 9:34:12 a.m.,"4C3H+7P Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/08/2025 9:41:53 a.m.,00h:07m:41s,"4C3H+7Q Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,2/08/2025 9:54:10 a.m.,"4C3H+7Q Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/08/2025 9:54:22 a.m.,00h:00m:12s,"4C3H+7Q Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,2/08/2025 9:54:24 a.m.,"4C3H+7Q Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/08/2025 10:44:38 a.m.,00h:50m:14s,"4C3G+8V Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,2/08/2025 10:46:47 a.m.,"4C3G+8V Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/08/2025 1:03:52 p.m.,02h:17m:05s,"4C3G+JP Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,2/08/2025 1:25:30 p.m.,"4C3G+JP Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/08/2025 1:25:58 p.m.,00h:00m:28s,"4C3G+MP Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
