Name;Division;Anexo;Este;Norte;Punto
Lote VI;Pampagrande;El Palmo;-79,46282725;-6,712298947;431
Lote VI;Pampagrande;El Palmo;-79,462907;-6,71238075;432
Lote VI;Pampagrande;El Palmo;-79,46308143;-6,712494193;433
Lote VI;Pampagrande;El Palmo;-79,46311505;-6,712516059;434
Lote VI;Pampagrande;El Palmo;-79,46326667;-6,712618091;435
Lote VI;Pampagrande;El Palmo;-79,46336532;-6,712701437;436
Lote VI;Pampagrande;El Palmo;-79,46351286;-6,713167823;437
Lote VI;Pampagrande;El Palmo;-79,46352394;-6,713295149;438
Lote VI;Pampagrande;El Palmo;-79,463435;-6,713706311;439
Lote VI;Pampagrande;El Palmo;-79,463337;-6,713965915;440
Lote VI;Pampagrande;El Palmo;-79,46327962;-6,714062898;441
Lote VI;Pampagrande;El Palmo;-79,46337175;-6,714254595;442
Lote VI;Pampagrande;El Palmo;-79,46365927;-6,714468698;443
Lote VI;Pampagrande;El Palmo;-79,46383966;-6,714609466;444
Lote VI;Pampagrande;El Palmo;-79,4643906;-6,714932735;445
Lote VI;Pampagrande;El Palmo;-79,46481191;-6,715072419;446
Lote VI;Pampagrande;El Palmo;-79,46541132;-6,715216241;447
Lote VI;Pampagrande;El Palmo;-79,46566087;-6,715261003;448
Lote VI;Pampagrande;El Palmo;-79,46582661;-6,715241287;449
Lote VI;Pampagrande;El Palmo;-79,46617713;-6,715285112;450
Lote VI;Pampagrande;El Palmo;-79,46656354;-6,715450409;451
Lote VI;Pampagrande;El Palmo;-79,46689707;-6,715770458;452
Lote VI;Pampagrande;El Palmo;-79,46700399;-6,715966885;453
Lote VI;Pampagrande;El Palmo;-79,46700856;-6,715977776;454
Lote VI;Pampagrande;El Palmo;-79,46712294;-6,716186842;455
Lote VI;Pampagrande;El Palmo;-79,46726116;-6,716393383;456
Lote VI;Pampagrande;El Palmo;-79,46723418;-6,716553249;457
Lote VI;Pampagrande;El Palmo;-79,46762369;-6,71681509;458
Lote VI;Pampagrande;El Palmo;-79,46805165;-6,717347994;459
Lote VI;Pampagrande;El Palmo;-79,46943583;-6,718622532;460
Lote VI;Pampagrande;El Palmo;-79,46970807;-6,718753344;461
Lote VI;Pampagrande;El Palmo;-79,46994001;-6,719287353;462
Lote VI;Pampagrande;El Palmo;-79,47012305;-6,719700682;463
Lote VI;Pampagrande;El Palmo;-79,47035147;-6,719765336;464
Lote VI;Pampagrande;El Palmo;-79,47080508;-6,720619127;465
Lote VI;Pampagrande;El Palmo;-79,47097877;-6,72082705;466
Lote VI;Pampagrande;El Palmo;-79,47193155;-6,721048231;467
Lote VI;Pampagrande;El Palmo;-79,47208672;-6,720903624;468
Lote VI;Pampagrande;El Palmo;-79,47228569;-6,720815243;469
Lote VI;Pampagrande;El Palmo;-79,47262082;-6,720769728;470
Lote VI;Pampagrande;El Palmo;-79,47301086;-6,720799595;471
Lote VI;Pampagrande;El Palmo;-79,47308845;-6,721088864;472
Lote VI;Pampagrande;El Palmo;-79,47327047;-6,721119994;473
Lote VI;Pampagrande;El Palmo;-79,47389883;-6,720880048;474
Lote VI;Pampagrande;El Palmo;-79,47448342;-6,720634051;475
Lote VI;Pampagrande;El Palmo;-79,47475784;-6,72059634;476
Lote VI;Pampagrande;El Palmo;-79,47496811;-6,72070227;477
Lote VI;Pampagrande;El Palmo;-79,47521493;-6,720756634;478
Lote VI;Pampagrande;El Palmo;-79,47561319;-6,720065766;479
Lote VI;Pampagrande;El Palmo;-79,47575676;-6,719762299;480
Lote VI;Pampagrande;El Palmo;-79,47579472;-6,719686775;481
Lote VI;Pampagrande;El Palmo;-79,4758214;-6,719544629;482
Lote VI;Pampagrande;El Palmo;-79,47583961;-6,719309334;483
Lote VI;Pampagrande;El Palmo;-79,47585092;-6,719139593;484
Lote VI;Pampagrande;El Palmo;-79,47588379;-6,718759856;485
Lote VI;Pampagrande;El Palmo;-79,47588409;-6,718712542;486
Lote VI;Pampagrande;El Palmo;-79,4758712;-6,718669669;487
Lote VI;Pampagrande;El Palmo;-79,47566147;-6,718331414;488
Lote VI;Pampagrande;El Palmo;-79,4754827;-6,718299885;489
Lote VI;Pampagrande;El Palmo;-79,47544745;-6,718270667;490
Lote VI;Pampagrande;El Palmo;-79,47538709;-6,718172613;491
Lote VI;Pampagrande;El Palmo;-79,47441496;-6,717236779;492
Lote VI;Pampagrande;El Palmo;-79,47432332;-6,717159742;493
Lote VI;Pampagrande;El Palmo;-79,47412412;-6,717067039;494
Lote VI;Pampagrande;El Palmo;-79,47245192;-6,717207064;495
Lote VI;Pampagrande;El Palmo;-79,47237557;-6,717275768;496
Lote VI;Pampagrande;El Palmo;-79,472256;-6,717347662;497
Lote VI;Pampagrande;El Palmo;-79,47211251;-6,717347947;498
Lote VI;Pampagrande;El Palmo;-79,4720207;-6,717318458;499
Lote VI;Pampagrande;El Palmo;-79,47137115;-6,71690872;500
Lote VI;Pampagrande;El Palmo;-79,4711363;-6,716686074;501
Lote VI;Pampagrande;El Palmo;-79,47109103;-6,716607715;502
Lote VI;Pampagrande;El Palmo;-79,47098411;-6,716172779;503
Lote VI;Pampagrande;El Palmo;-79,47097111;-6,716034545;504
Lote VI;Pampagrande;El Palmo;-79,47099819;-6,715924506;505
Lote VI;Pampagrande;El Palmo;-79,47107197;-6,715688011;506
Lote VI;Pampagrande;El Palmo;-79,4710755;-6,715603669;507
Lote VI;Pampagrande;El Palmo;-79,47102685;-6,715411988;508
Lote VI;Pampagrande;El Palmo;-79,4709868;-6,715324677;509
Lote VI;Pampagrande;El Palmo;-79,47091722;-6,714896449;510
Lote VI;Pampagrande;El Palmo;-79,47088295;-6,714777418;511
Lote VI;Pampagrande;El Palmo;-79,47064026;-6,714462715;512
Lote VI;Pampagrande;El Palmo;-79,47057326;-6,71437451;513
Lote VI;Pampagrande;El Palmo;-79,47025831;-6,714192911;514
Lote VI;Pampagrande;El Palmo;-79,46983085;-6,714473591;515
Lote VI;Pampagrande;El Palmo;-79,46974049;-6,714486924;516
Lote VI;Pampagrande;El Palmo;-79,4696471;-6,71444606;517
Lote VI;Pampagrande;El Palmo;-79,46956388;-6,714424032;518
Lote VI;Pampagrande;El Palmo;-79,46874973;-6,714387893;519
Lote VI;Pampagrande;El Palmo;-79,46825893;-6,714362233;520
Lote VI;Pampagrande;El Palmo;-79,4681086;-6,714317883;521
Lote VI;Pampagrande;El Palmo;-79,46796805;-6,714214636;522
Lote VI;Pampagrande;El Palmo;-79,46778137;-6,714165926;523
Lote VI;Pampagrande;El Palmo;-79,46768676;-6,714141239;524
Lote VI;Pampagrande;El Palmo;-79,46758643;-6,714205743;525
Lote VI;Pampagrande;El Palmo;-79,46737613;-6,714251083;526
Lote VI;Pampagrande;El Palmo;-79,46725542;-6,714215827;527
Lote VI;Pampagrande;El Palmo;-79,46709641;-6,71412698;528
Lote VI;Pampagrande;El Palmo;-79,46698231;-6,714051147;529
Lote VI;Pampagrande;El Palmo;-79,46681546;-6,713958879;530
Lote VI;Pampagrande;El Palmo;-79,46648537;-6,713754102;531
Lote VI;Pampagrande;El Palmo;-79,46634189;-6,713600853;532
Lote VI;Pampagrande;El Palmo;-79,46622843;-6,71344167;533
Lote VI;Pampagrande;El Palmo;-79,46615883;-6,713338687;534
Lote VI;Pampagrande;El Palmo;-79,46613318;-6,713295041;535
Lote VI;Pampagrande;El Palmo;-79,46605831;-6,713167635;536
Lote VI;Pampagrande;El Palmo;-79,46602617;-6,713079547;537
Lote VI;Pampagrande;El Palmo;-79,46601123;-6,713008155;538
Lote VI;Pampagrande;El Palmo;-79,46580472;-6,712658881;539
Lote VI;Pampagrande;El Palmo;-79,46573109;-6,712612229;540
Lote VI;Pampagrande;El Palmo;-79,46557369;-6,712581475;541
Lote VI;Pampagrande;El Palmo;-79,46511705;-6,712452981;542
Lote VI;Pampagrande;El Palmo;-79,4647839;-6,71241276;543
Lote VI;Pampagrande;El Palmo;-79,46460804;-6,712391529;544
Lote VI;Pampagrande;El Palmo;-79,46446141;-6,712308918;545
Lote VI;Pampagrande;El Palmo;-79,46411524;-6,712112488;546
Lote VI;Pampagrande;El Palmo;-79,46380641;-6,711966823;547
Lote VI;Pampagrande;El Palmo;-79,46366755;-6,711967772;548
Lote VI;Pampagrande;El Palmo;-79,46348226;-6,712002575;549
Lote VI;Pampagrande;El Palmo;-79,46294286;-6,71217716;550
Lote VI;Pampagrande;El Palmo;-79,46282725;-6,712298947;551
