ID;Owner;Unit ID;Unit;Peripherals;BillingPeriod;Reporting Status;Show Until;Billing Group;Last Event Date;Monthly Fee;Bill To;Assigned To;Linked Mode;Paired GPS;Paired Camera;Billable;RMA;Unit Type;IMEI;Serial Number;Phone Number;Carrier;SIM #;VIN;License Plate;Static IP;Event;Last Contact On;Min;Server IP;Server Port;Last Event Address;Modem;Inv #;Status;Last Service Paid Until;Service Paid Until;Assigned to Company;IFTA;History Months;Comments;Warranty Expires;Script;JBOX Profile;Contract Type;Subscription;Firmware
1095259;Renting;0VYD;ZXL90F;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102049249;1363186322;9101179249;MOVISTAR CO;8957123112215168228;;ZXL90F;;End Speeding;26/12/2025;0;3.231.161.53;10430;Cl80 65-51, Medellin, Antioquia, Colombia, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;3/30/2023 8:15:51 AM;N;3;;2/8/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1097452;Renting;0XN9;ZNO012;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574042432257;S2-M007693-0XN9;9103422415;Claro CO;57101502101664843;;ZNO012;;Parked;26/12/2025;0;3.231.161.53;10613;16b14 Calle 166 , Bogotá. Bogotá. 110131;3G;307140;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;9/16/2023 8:02:39 PM;N;3;;5/11/2024 12:00:00 AM;;;;;
1096019;Renting;0WJG;ZNO011;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041314381;S2-M006820-0WJG;9104049199;Claro CO;57101602312161861;;ZNO011;;Parked;26/12/2025;0;3.231.161.53;10613;16b14 Calle 166 , Bogotá. Bogotá. 110131;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 9:13:47 AM;N;3;;3/31/2024 12:00:00 AM;;;;;
1108218;Renting;18AS;ZNO010 VF;;Monthly;;;;26/12/2025;240000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;VidFleet 4K;6B31116L;6B31116L;3162682544;MOVISTAR CO;8957123112211415045;;ZNO010 ;;Ignition OFF;26/12/2025;0;3.231.161.53;-1;Avenida 45 # 242-20, Usaquén, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia. 110151;LTE;314113;Active;4/5/2025 12:00:00 AM;5/4/2025 12:00:00 AM;4/5/2025 3:13:54 PM;N;3;;1/14/2026 12:00:00 AM;;;;;SAXHORN_V1C-3.18.1115
1097622;Renting;0XRZ;ZNO010;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102754319;1363188497;9101391660;MOVISTAR CO;8957123112215163740;;ZNO010;;Ignition OFF;26/12/2025;0;3.231.161.53;10430;Cl. 238 # 67-80, Bogotá, Colombia, . 111176;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/19/2023 2:58:19 PM;N;3;;5/15/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_AWS_10700;;;;
1093934;Renting;0UXL;ZNO009;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102895237;1363188295;9101444243;MOVISTAR CO;8957123112215340728;3N6CD33B8ZK444665;ZNO009;;Parked;26/12/2025;0;3.231.161.53;10530;Cl. 80 #65-105 a 65-171, Medellín, Medellín, Antioquia, Colombia. 050040;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;12/3/2022 8:08:30 PM;N;3;;11/24/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1096020;Renting;0WJH;ZNO008;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041229829;S2-M006820-0WJH;9104045378;Claro CO;57101602312161862;;ZNO008;;Parked;26/12/2025;0;3.231.161.53;10613;Bogotá ?-La Caro #242-2 a 242-94, Bogotá, Colombia, . Bogotá. 110151;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 12:08:53 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1096028;Renting;0WJP;ZNO007;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041310736;S2-M006820-0WJP;9104044118;Claro CO;57101602312161841;;ZNO007;;Parked;26/12/2025;0;3.231.161.53;10613;16b14 Calle 166 , Bogotá. Bogotá. 110131;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 8:45:13 AM;N;3;;3/31/2024 12:00:00 AM;;;;;
1095876;Renting;0WFH;ZNO006;;Monthly;;;;25/09/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041303723;S2-M006820-0WFH;9104045402;Claro CO;57101602312161925;;ZNO006;;Power OFF;25/09/2025;0;3.231.161.53;10613;Ac. 17 ##80a83, Bogotá, Colombia, . 110931;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;4/28/2023 2:01:57 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1095974;Renting;0WI7;ZNO005;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041322806;S2-M006820-0WI7;9104042854;Claro CO;57101602312158196;;ZNO005;;Parked;26/12/2025;0;3.231.161.53;10613;16b14 Calle 166 , Bogotá. Bogotá. 110131;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/13/2023 12:22:22 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1097607;Renting;0XRK;ZNO004;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102768723;1363188577;9101158416;MOVISTAR CO;8957123112215163815;;ZNO004;;Parked;26/12/2025;0;3.231.161.53;10430;Laureano Gomez 235-21, Bogota, Cundinamarca, Colombia, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/19/2023 4:31:19 PM;N;3;;5/15/2024 12:00:00 AM;TSO_LMU26x0_FLS_ES2_BIN_AWS_10700;;;;
1097483;Renting;0XO4;ZNO003;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041287074;S2-M006820-0XO4;9104042881;;57101602312158223;;ZNO003;;Parked;26/12/2025;0;3.231.161.53;10613;Km 16 Vía Espinal Complejo Agroindustrial Cafetero, Ibagué, Tolima, Colombia. 730005;3G;307140;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;6/15/2023 3:37:18 PM;N;3;;5/11/2024 12:00:00 AM;;;;;
1099923;Renting;0ZJV;ZNO002;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 2G - LMU0330G-SK07-G1000;868574042731591;S2-M007693-0ZJV;9103417471;Claro CO;57101602502492400;;ZNO002;;Idle - Stop;26/12/2025;0;3.231.161.53;10613;Cl68a 87-19, Bogota, Cundinamarca, Colombia, . .;3G;309311;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;12/1/2023 9:05:16 AM;N;3;;9/19/2024 12:00:00 AM;;;;;
6646;Renting;X081;ZNN979;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;358077091722286;1363114825;9103402448;Claro CO;89571016021090725302;;ZNN979;;Parked;26/12/2025;0;3.231.161.53;10430;Cl. 80 #65-105 a 65-171, Medellín, Medellín, Antioquia, Colombia. 050040;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/2/2023 12:06:11 PM;N;3;;4/20/2008 12:00:00 AM;;;;;
1095997;Renting;0WIU;ZNN973;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;Queclink GV55W;868574041276432;S2-M006820-0WIU;9104045395;Claro CO;57101602312161906;;ZNN973;;Parked;26/12/2025;0;3.231.161.53;10613;Cl80 65-41, Medellin, Antioquia, .;3G;306263;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;5/5/2023 5:07:35 PM;N;3;;3/31/2024 12:00:00 AM;;;;;
1093695;Renting;0UQY;ZNN895;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102938102;1363189163;9101126792;MOVISTAR CO;8957123112215348804;LVBV4JBB5PY001092;ZNN895;;Parked;26/12/2025;0;3.231.161.53;10534;South America, Palmira, Valle del Cauca. VCA.;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;12/3/2022 4:14:12 PM;N;3;;11/17/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1095240;Renting;0VXU;ZNN894;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102036956;1363186215;9101177257;MOVISTAR CO;8957123112215168400;LVBV3ABBXPE001156;ZNN894;;Parked;26/12/2025;0;3.231.161.53;10534;Km 16 Vía Espinal Complejo Agroindustrial Cafetero, Ibagué, Tolima, Colombia. 730005;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;3/8/2023 11:00:22 AM;N;3;;2/7/2024 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093838;Renting;0UUX;ZNN893;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102928137;1363190474;9101126873;MOVISTAR CO;8957123112215348416;LVBV3ABB9PE001147;ZNN893;;Parked;26/12/2025;0;3.231.161.53;10430;Cl. 80 #65-105 a 65-171, Medellín, Medellín, Antioquia, Colombia. 050040;3G;--;Active;1/1/1900 12:00:00 AM;1/1/1900 12:00:00 AM;11/28/2022 9:52:43 AM;N;3;;11/21/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
1093807;Renting;0UU2;ZNN885;;Monthly;;;;26/12/2025;29000;;PROYECTOS DE INGENIERIA SA PROING SA;0;;;Y;N;CalAmp 0330H - 3G - LMU0330H-SKM6-G1000;352556102946774;1363190536;9101126882;MOVISTAR CO;8957123112215348291;LVBV3ABB3NE003344;ZNN885;;Parked;26/12/2025;0;3.231.161.53;10534;Cl153 6-52, Bogota, Cundinamarca, Colombia, . .;3G;--;Active;1/4/2016 12:00:00 AM;3/21/2080 12:00:00 AM;12/3/2022 7:07:29 PM;N;3;;11/18/2023 12:00:00 AM;TSO_LMU3x0_Basic_BIKE_10S_AWS_10700;;;;
