GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,05VF,KUK585,80,"1.110,45",23H:56M:20S,"23,94",1D:19H:1M:54S,"43,03",2D:18H:58M:14S,"66,97","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05UY,SPK834,90,"7.002,71",5D:17H:57M:31S,"137,96",3D:10H:32M:12S,"82,54",9D:4H:29M:43S,"220,50","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05UU,SPK836,0,"0,00",0H:0M:0S,"0,00",0H:13M:49S,"0,23",0H:13M:49S,"0,23","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05UW,SSK854,85,"2.955,16",2D:15H:10M:56S,"63,18",6D:23H:9M:51S,"167,16",9D:14H:20M:47S,"230,35","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05V5,SSK857,87,"1.239,95",1D:13H:21M:25S,"37,36",4D:6H:5M:11S,"102,09",5D:19H:26M:36S,"139,44","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VD,SSK913,95,"2.435,94",2D:10H:38M:31S,"58,64",3D:22H:22M:12S,"94,37",6D:9H:0M:43S,"153,01","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05UX,SSL004,126,"4.961,32",4D:2H:43M:34S,"98,73",2D:9H:1M:44S,"57,03",6D:11H:45M:18S,"155,76","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VY,SSL005,92,"422,44",9H:56M:30S,"9,94",16H:57M:18S,"16,96",1D:2H:53M:48S,"26,90","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VM,SSL045,89,"2.385,06",2D:3H:41M:38S,"51,69",3D:4H:6M:50S,"76,11",5D:7H:48M:28S,"127,81","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05WQ,SSL050,84,"2.486,42",2D:12H:40M:50S,"60,68",2D:23H:5M:49S,"71,10",5D:11H:46M:39S,"131,78","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VC,SSL051,98,"5.648,78",4D:16H:38M:40S,"112,64",4D:16H:8M:5S,"112,13",9D:8H:46M:45S,"224,78","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,15RH,SSL051 VF,97,"6.551,64",4D:11H:37M:51S,"107,63",5D:12H:19M:3S,"132,32",9D:23H:56M:54S,"239,95","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05UO,SSL054,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VS,SSL059,95,"4.652,08",3D:20H:2M:33S,"92,04",4D:4H:52M:55S,"100,88",8D:0H:55M:28S,"192,92","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VL,SSL060,84,"469,32",12H:55M:12S,"12,92",1D:6H:7M:1S,"30,12",1D:19H:2M:13S,"43,04","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VN,SSL121,80,"1.601,83",1D:14H:50M:56S,"38,85",3D:17H:34M:45S,"89,58",5D:8H:25M:41S,"128,43","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,07TV,SSL182 ,82,"5.333,80",5D:15H:37M:0S,"135,62",6D:12H:57M:42S,"156,96",12D:4H:34M:42S,"292,58","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VZ,SSL235,177,"5.139,36",5D:1H:32M:7S,"121,54",7D:7H:59M:34S,"175,99",12D:9H:31M:41S,"297,53","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0EC6,SSL237,97,"6.614,07",5D:15H:3M:56S,"135,07",2D:21H:53M:21S,"69,89",8D:12H:57M:17S,"204,95","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0K60,SSL289,95,"13.459,62",10D:20H:28M:58S,"260,48",3D:20H:30M:3S,"92,50",14D:16H:59M:1S,"352,98","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0K6C,SSL290,93,"9.706,47",7D:17H:47M:9S,"185,79",4D:1H:21M:26S,"97,36",11D:19H:8M:35S,"283,14","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0RDD,SSL352,92,"3.343,61",3D:5H:42M:38S,"77,71",9D:4H:5M:29S,"220,09",12D:9H:48M:7S,"297,80","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0SJ2,SSL354,95,"10.492,63",8D:3H:2M:17S,"195,04",5D:9H:37M:50S,"129,63",13D:12H:40M:7S,"324,67","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0SE1,SSL356,146,"12.670,16",9D:23H:37M:6S,"239,62",4D:12H:25M:21S,"108,42",14D:12H:2M:27S,"348,04","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0SMN,SSL362,95,"10.292,88",8D:8H:30M:45S,"200,51",3D:2H:58M:1S,"74,97",11D:11H:28M:46S,"275,48","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0W0I,SSL372,89,"4.865,85",4D:2H:19M:34S,"98,33",3D:7H:57M:8S,"79,95",7D:10H:16M:42S,"178,28","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0VDQ,SSL373,146,"5.492,30",4D:21H:27M:21S,"117,46",2D:12H:46M:11S,"60,77",7D:10H:13M:32S,"178,23","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0VLQ,SSL375,97,"12.380,78",10D:7H:51M:1S,"247,85",4D:13H:33M:34S,"109,56",14D:21H:24M:35S,"357,41","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,11BQ,SSL375 VF,93,"40.732,50",9D:20H:11M:25S,"236,19",7D:9H:1M:52S,"177,03",17D:5H:13M:17S,"413,22","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0V7U,SSL393,90,"12.866,29",10D:4H:0M:8S,"244,00",3D:11H:25M:18S,"83,42",13D:15H:25M:26S,"327,42","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,0TXP,SSL463,92,"10.449,28",7D:22H:6M:7S,"190,10",3D:13H:41M:28S,"85,69",11D:11H:47M:35S,"275,79","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,14CL,SSL466,95,"9.891,40",7D:17H:39M:59S,"185,67",4D:21H:22M:47S,"117,38",12D:15H:2M:46S,"303,05","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,16IK,SSL480,117,"9.228,67",8D:7H:14M:2S,"199,23",4D:15H:33M:58S,"111,57",12D:22H:48M:0S,"310,80","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,15CB,SSL487,93,"11.071,95",8D:14H:39M:11S,"206,65",4D:4H:19M:21S,"100,32",12D:18H:58M:32S,"306,98","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,17MC,SSL492,87,"9.091,57",7D:9H:49M:33S,"177,83",3D:20H:52M:24S,"92,87",11D:6H:41M:57S,"270,70","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VG,TJV233,121,"4.782,42",3D:23H:9M:2S,"95,15",4D:22H:22M:43S,"118,38",8D:21H:31M:45S,"213,53","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05V3,TJV261,87,"4.209,11",4D:4H:23M:40S,"100,39",11D:19H:48M:47S,"283,81",16D:0H:12M:27S,"384,21","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05UP,TJW522,100,"4.494,03",3D:12H:0M:14S,"84,00",1D:12H:54M:13S,"36,90",5D:0H:54M:27S,"120,91","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VV,VCH956,89,"1.698,57",1D:12H:17M:26S,"36,29",11H:38M:21S,"11,64",1D:23H:55M:47S,"47,93","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05V7,VMB637,87,"2.349,27",2D:6H:55M:57S,"54,93",2D:13H:22M:20S,"61,37",4D:20H:18M:17S,"116,30","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VU,VMB680,171,"3.747,60",3D:15H:19M:51S,"87,33",7D:9H:3M:34S,"177,06",11D:0H:23M:25S,"264,39","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,05VX,VMB700,92,"1.213,49",23H:54M:42S,"23,91",1D:7H:30M:29S,"31,51",2D:7H:25M:11S,"55,42","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
,732V,VMB719,89,"2.255,42",2D:6H:57M:43S,"54,96",1D:23H:27M:24S,"47,46",4D:6H:25M:7S,"102,42","276.150,80",208D:6H:37M:34S,"4.998,63",173D:4H:25M:50S,"4.156,43",381D:11H:3M:24S,"9.155,06"
