GroupName,UnitName,StartTime,Textbox8,StopTime,StopLengthSecs,ContactName,textbox32,StopLengthSecs_1
,Unit: SSK857,1/10/2025 6:48:45 a.m.,"Cl9 23-26, Buga, Valle Cauca  Vca 763042",1/10/2025 6:54:54 a.m.,00h:06m:09s,"Cl9 23-16, Buga, Valle Cauca  Vca 763042",140h:35m:01s,10020h:26m:06s
,Unit: SSK857,1/10/2025 7:08:23 a.m.,"Cl9 23-16, Buga, Valle Cauca  Vca 763042",1/10/2025 7:11:39 a.m.,00h:03m:16s,"Cl9 23-37, Buga, Valle Cauca, Colombia  Vca 763042",140h:35m:01s,10020h:26m:06s
,Unit: SSK857,1/10/2025 7:39:09 a.m.,"Cl9 23-37, Buga, Valle Cauca, Colombia  Vca 763042",1/10/2025 8:15:06 a.m.,00h:35m:57s,Calle 8  Guadalajara de Buga Valle del  763042,140h:35m:01s,10020h:26m:06s
,Unit: SSK857,1/10/2025 8:19:50 a.m.,"Cl9 23-40, Buga, Valle Cauca  Vca 763042",1/10/2025 1:00:42 p.m.,04h:40m:52s,"Buga, Guadalajara de Buga, Valle del Cauca, Colombia Guadalajara de Buga Valle del  763042",140h:35m:01s,10020h:26m:06s
,Unit: SSK857,1/10/2025 1:22:42 p.m.,"Buga, Guadalajara de Buga, Valle del Cauca, Colombia Guadalajara de Buga Valle del  763042",1/10/2025 1:25:44 p.m.,00h:03m:02s,"Buga-16, Buga, Valle Cauca, COLOMBIA  Valle del  763042",140h:35m:01s,10020h:26m:06s
,Unit: SSK857,1/10/2025 1:58:22 p.m.,"Buga-16, Buga, Valle Cauca, COLOMBIA  Valle del  763042",1/10/2025 2:10:00 p.m.,00h:11m:38s,Calle 8  Guadalajara de Buga Valle del  763042,140h:35m:01s,10020h:26m:06s
,Unit: SSK857,1/10/2025 2:12:38 p.m.,"OFICINAS BUGA
Calle 8  Guadalajara de Buga Valle del  763042",1/10/2025 2:14:23 p.m.,00h:01m:45s,"Cl9 23-28, Buga, Valle Cauca, Colombia  Valle del  763042",140h:35m:01s,10020h:26m:06s
,Unit: SSK857,1/10/2025 2:42:16 p.m.,"Cl9 23-28, Buga, Valle Cauca, Colombia  Valle del  763042",1/10/2025 2:44:14 p.m.,00h:01m:58s,Calle 8  Guadalajara de Buga Valle del  763042,140h:35m:01s,10020h:26m:06s
,Unit: SSK857,2/10/2025 8:07:34 a.m.,"LAVADO
Calle 8  Guadalajara de Buga Valle del  763042",2/10/2025 8:25:08 a.m.,00h:17m:34s,"OFICINAS BUGA
Calle 8  Guadalajara de Buga Valle del  763042",140h:35m:01s,10020h:26m:06s
,Unit: SSK857,2/10/2025 8:26:31 a.m.,"OFICINAS BUGA
Calle 8  Guadalajara de Buga Valle del  763042",2/10/2025 8:56:04 a.m.,00h:29m:33s,"Km 8 de la vía Buga - Buenaventura, , Valle del Cauca, Colombia  Valle del  761048",140h:35m:01s,10020h:26m:06s
