"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"AAA000","","Ignition Off","3.399465 / -76.544795","Friday, November 14 2025, 08:42:07 am","","Cra. 65 #5-175, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Ignition On","3.399472 / -76.544788","Friday, November 14 2025, 08:41:45 am","","Cra. 65 #5-175, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Ignition Off","3.399506 / -76.544768","Friday, November 14 2025, 08:40:15 am","","Cra. 65 #5-170, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.399506 / -76.544768","Friday, November 14 2025, 08:40:14 am","","Cra. 65 #5-170, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.399485 / -76.544673","Friday, November 14 2025, 08:38:52 am","","Cra. 65 #5-184, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.398466 / -76.544584","Friday, November 14 2025, 08:38:16 am","23 KPH","Av. Joaquín Borrero Sinisterra #65a-77 a 65a-3, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.398303 / -76.544565","Friday, November 14 2025, 08:38:13 am","17 KPH","Cra. 66, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.398223 / -76.543763","Friday, November 14 2025, 08:38:01 am","36 KPH","Cra. 66 #9-48 a 9-192, Gran Limonar, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.398201 / -76.542200","Friday, November 14 2025, 08:37:26 am","","Cra. 66 #10-32, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.398162 / -76.538814","Friday, November 14 2025, 08:36:27 am","38 KPH","Cra. 66 #12-2 a 12-126, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.398102 / -76.537352","Friday, November 14 2025, 08:35:16 am","","Cra. 66 #13-1, Quintas De Don Simon, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.398084 / -76.533402","Friday, November 14 2025, 08:34:17 am","42 KPH","Cra. 66 #13e-71 a 13e-1, Quintas De Don Simon, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.398036 / -76.531781","Friday, November 14 2025, 08:33:47 am","","Cra. 66 #14-28, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.397763 / -76.529425","Friday, November 14 2025, 08:33:08 am","63 KPH","Cra. 66 #15-221 a 15-1, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.396474 / -76.527850","Friday, November 14 2025, 08:31:25 am","2 KPH","Cra. 67 #15a-131, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.393636 / -76.528012","Friday, November 14 2025, 08:30:39 am","47 KPH","Santander de Quilichao - Cali, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.392712 / -76.527181","Friday, November 14 2025, 08:30:07 am","","Santander de Quilichao - Cali #14-2, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.392547 / -76.525425","Friday, November 14 2025, 08:29:27 am","50 KPH","Santander de Quilichao - Cali #18-273 a 18-137, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.394549 / -76.524000","Friday, November 14 2025, 08:28:58 am","21 KPH","Vivero ciudad jardin, 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.394632 / -76.523880","Friday, November 14 2025, 08:28:55 am","20 KPH","Vivero ciudad jardin, 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.394604 / -76.523736","Friday, November 14 2025, 08:28:52 am","23 KPH","Vivero ciudad jardin, 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.392156 / -76.523897","Friday, November 14 2025, 08:27:41 am","21 KPH","Cl. 25 #6957, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.391118 / -76.524000","Friday, November 14 2025, 08:27:12 am","","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.390839 / -76.524015","Friday, November 14 2025, 08:26:47 am","23 KPH","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.389090 / -76.524213","Friday, November 14 2025, 08:25:55 am","","Cl 25 entre Kr 73 y 70, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.388562 / -76.524280","Friday, November 14 2025, 08:25:23 am","17 KPH","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.387700 / -76.524374","Friday, November 14 2025, 08:24:45 am","","Cl. 25, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.379759 / -76.524690","Friday, November 14 2025, 08:22:40 am","26 KPH","Cl. 25, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.378669 / -76.524653","Friday, November 14 2025, 08:21:53 am","","Cl. 25 #86-33, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.371406 / -76.524667","Friday, November 14 2025, 08:20:17 am","31 KPH","Cl. 25 #96-106 a 96-218, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.371246 / -76.524696","Friday, November 14 2025, 08:20:15 am","33 KPH","Cl. 25 #96-269 a 96-219, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.370402 / -76.524900","Friday, November 14 2025, 08:20:03 am","26 KPH","Cl. 25, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.369230 / -76.524910","Friday, November 14 2025, 08:18:44 am","","Cra. 98b #25-8, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.367816 / -76.524942","Friday, November 14 2025, 08:17:55 am","15 KPH","Cl. 25, Comuna 17, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.356061 / -76.523593","Friday, November 14 2025, 08:15:55 am","21 KPH","25 #115-48 a 115-260, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.354789 / -76.523471","Friday, November 14 2025, 08:15:01 am","","25 #115-238, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.354275 / -76.523409","Friday, November 14 2025, 08:14:27 am","20 KPH","25 #115-335 a 115-281, Cañasgordas, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.353142 / -76.523404","Friday, November 14 2025, 08:13:32 am","","Auto. Simón Bolívar #115-451, Cañasgordas, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.346686 / -76.524170","Friday, November 14 2025, 08:10:46 am","18 KPH","25, Barrio Pance, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.341056 / -76.524385","Friday, November 14 2025, 08:03:38 am","","Auto. Simón Bolívar #122-315, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.340155 / -76.524405","Friday, November 14 2025, 08:03:07 am","39 KPH","25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.338554 / -76.524500","Friday, November 14 2025, 08:01:55 am","","Av. La Maria #24-141, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.338217 / -76.524527","Friday, November 14 2025, 08:01:30 am","33 KPH","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.336903 / -76.524311","Friday, November 14 2025, 08:00:31 am","","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.336547 / -76.524225","Friday, November 14 2025, 08:00:03 am","23 KPH","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.335337 / -76.523937","Friday, November 14 2025, 07:59:19 am","","Santander de Quilichao - Cali #125-423, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.334471 / -76.523730","Friday, November 14 2025, 07:58:44 am","29 KPH","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.333335 / -76.523441","Friday, November 14 2025, 07:58:17 am","","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.332573 / -76.523254","Friday, November 14 2025, 07:57:42 am","26 KPH","Cl. 25, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.331316 / -76.522934","Friday, November 14 2025, 07:57:04 am","","Santander de Quilichao - Cali #127-505, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.328235 / -76.522428","Friday, November 14 2025, 07:55:13 am","39 KPH","Autop. Cali - Jamundí, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.313721 / -76.522652","Friday, November 14 2025, 07:53:20 am","21 KPH","25, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.313589 / -76.522697","Friday, November 14 2025, 07:53:17 am","18 KPH","25, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.313562 / -76.522773","Friday, November 14 2025, 07:53:15 am","18 KPH","Autop. Cali - Jamundí, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.314753 / -76.523030","Friday, November 14 2025, 07:52:55 am","10 KPH","Cra. 146 #26, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.315289 / -76.527705","Friday, November 14 2025, 07:51:47 am","36 KPH","Cra. 146, Cali, Valle del Cauca, Colombia"
"AAA000","","Travel Stop","3.315765 / -76.529581","Friday, November 14 2025, 07:45:29 am","","Cra. 144 #20-350, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.315735 / -76.529472","Friday, November 14 2025, 07:45:05 am","10 KPH","Cra. 144 #20-427 a 20-335, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.315677 / -76.529440","Friday, November 14 2025, 07:45:02 am","12 KPH","Cra. 144 #20-427 a 20-335, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.315614 / -76.529465","Friday, November 14 2025, 07:45:00 am","12 KPH","Cra. 144 #20-427 a 20-335, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.319063 / -76.532772","Friday, November 14 2025, 07:43:12 am","15 KPH","Cl. 18a #142-117 a 142-1, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.319158 / -76.532827","Friday, November 14 2025, 07:43:09 am","15 KPH","Cl. 18a #142-117 a 142-1, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.319152 / -76.535935","Friday, November 14 2025, 07:42:35 am","10 KPH","Cra. 142, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.307920 / -76.540012","Friday, November 14 2025, 07:40:50 am","47 KPH","Av. Cañasgordas, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.299957 / -76.542503","Friday, November 14 2025, 07:38:50 am","23 KPH","Av. Cañasgordas, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.288105 / -76.546226","Friday, November 14 2025, 07:36:50 am","41 KPH","Av. Cañasgordas, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.280964 / -76.554967","Friday, November 14 2025, 07:34:50 am","36 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.278799 / -76.556121","Friday, November 14 2025, 07:34:27 am","44 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.264283 / -76.558176","Friday, November 14 2025, 07:32:38 am","29 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.264049 / -76.558143","Friday, November 14 2025, 07:32:34 am","21 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.263849 / -76.555087","Friday, November 14 2025, 07:31:52 am","18 KPH","Cra 23, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.262605 / -76.552579","Friday, November 14 2025, 07:31:14 am","10 KPH","Cra. 22, Jamundí, Valle del Cauca, Colombia"
