Textbox72,Textbox36,Textbox7,UTC_DateTime,EventName,Textbox3,Textbox5,Altitude,Address2
Unit: ACZ-912,Level (Gals),Change,1/09/2025 05:45,Fuel Raising,"83,65","151,17","67,53","Av Centenario-71, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 05:48,Fuel Dropping,"151,17","78,45","-72,72","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 06:12,Fuel Dropping,"79,58","74,48","-5,10","Via Principal-60, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 06:15,Fuel Raising,"74,48","169,94","95,46","Av Nestor Gambetta-33, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 06:18,Fuel Dropping,"169,94","77,89","-92,05","Via Principal-49, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 06:33,Fuel Raising,"74,39","82,49","8,10","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 06:36,Fuel Raising,"82,49","169,24","86,75","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 06:56,Fuel Dropping,"169,27","79,95","-89,32","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 06:59,Fuel Raising,"79,95","169,37","89,41","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 07:02,Fuel Dropping,"169,37","72,57","-96,80","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 07:35,Fuel Raising,"77,22","169,08","91,87","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 07:38,Fuel Dropping,"169,08","78,61","-90,47","Via Principal, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 07:41,Fuel Raising,"78,61","113,72","35,10","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 07:44,Fuel Dropping,"113,72","78,63","-35,08","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 07:47,Fuel Dropping,"78,63","72,74","-5,89","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 07:50,Fuel Raising,"72,74","168,99","96,24","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 08:56,Fuel Dropping,"168,79","84,98","-83,81","Via Principal, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 09:08,Fuel Raising,"74,01","121,39","47,39","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,1/09/2025 09:11,Fuel Dropping,"121,39","85,45","-35,94","Av Nestor Gambetta, Callao, Callao, Callao, Perú"
