,No_Seat_Belt_event_date,Epoch_time_reported
0,"28    2025-10-01 00:54:04.855
Name: Created, dtype: object",1759280026000
1,"84    2025-10-01 02:00:51.940
Name: Created, dtype: object",1759284040000
2,"226    2025-10-01 07:36:57.869
Name: Created, dtype: object",1759304207000
3,"283    2025-10-01 08:40:43.199
Name: Created, dtype: object",1759308033000
4,"324    2025-10-01 09:24:56.679
Name: Created, dtype: object",1759310684000
5,"1047    2025-10-02 09:37:10.947
Name: Created, dtype: object",1759397821000
6,"1194    2025-10-02 13:42:11.379
Name: Created, dtype: object",1759412521000
7,"1377    2025-10-02 19:58:38.026
Name: Created, dtype: object",1759435106000
8,"1715    2025-10-03 05:24:23.593
Name: Created, dtype: object",1759469052000
9,"1750    2025-10-03 06:46:43.978
Name: Created, dtype: object",1759473993000
10,"1780    2025-10-03 08:40:46.635
Name: Created, dtype: object",1759480836000
11,"2099    2025-10-03 18:12:37.437
Name: Created, dtype: object",1759514825000
12,"2228    2025-10-03 22:57:10.938
Name: Created, dtype: object",1759532220000
13,"2542    2025-10-04 07:04:54.718
Name: Created, dtype: object",1759561451000
14,"2727    2025-10-04 12:48:56.562
Name: Created, dtype: object",1759582126000
15,"2815    2025-10-04 14:37:26.860
Name: Created, dtype: object",1759588637000
16,"3017    2025-10-04 22:02:10.954
Name: Created, dtype: object",1759615314000
17,"3104    2025-10-04 23:51:15.150
Name: Created, dtype: object",1759621864000
18,"4056    2025-10-06 14:56:12.573
Name: Created, dtype: object",1759762561000
19,"4652    2025-10-07 04:28:50.087
Name: Created, dtype: object",1759811319000
20,"4873    2025-10-07 14:26:05.716
4874    2025-10-07 14:26:57.579
7933    2025-10-13 10:36:27.412
7937    2025-10-13 10:37:14.589
Name: Created, dtype: object",1759847154000
21,"5053    2025-10-07 18:27:40.104
Name: Created, dtype: object",1759861650000
22,"5642    2025-10-08 22:32:08.998
Name: Created, dtype: object",1759962717000
23,"5656    2025-10-08 22:48:19.751
Name: Created, dtype: object",1759963690000
24,"5665    2025-10-08 22:58:59.335
Name: Created, dtype: object",1759964329000
25,"5681    2025-10-08 23:15:23.710
Name: Created, dtype: object",1759965312000
26,"5691    2025-10-08 23:25:26.730
Name: Created, dtype: object",1759965915000
27,"5701    2025-10-08 23:39:13.692
5702    2025-10-08 23:39:18.607
Name: Created, dtype: object",1759966747000
28,"5715    2025-10-08 23:55:08.182
Name: Created, dtype: object",1759967694000
29,"5759    2025-10-09 02:06:18.822
5760    2025-10-09 02:07:40.366
Name: Created, dtype: object",1759975566000
30,"5847    2025-10-09 03:49:57.514
Name: Created, dtype: object",1759981786000
31,"5922    2025-10-09 09:19:40.218
Name: Created, dtype: object",1760001571000
32,"5967    2025-10-09 10:16:28.397
Name: Created, dtype: object",1760004973000
33,"5978    2025-10-09 10:28:53.209
Name: Created, dtype: object",1760005722000
34,"6048    2025-10-09 14:02:53.639
Name: Created, dtype: object",1760018563000
35,"6632    2025-10-10 09:17:13.732
Name: Created, dtype: object",1760087824000
36,"6743    2025-10-10 18:08:17.493
Name: Created, dtype: object",1760119686000
37,"6772    2025-10-10 18:55:56.843
Name: Created, dtype: object",1760122546000
38,"6880    2025-10-10 21:50:56.306
Name: Created, dtype: object",1760133046000
39,"7103    2025-10-11 03:42:58.625
7105    2025-10-11 03:44:23.723
Name: Created, dtype: object",1760154168000
40,"7587    2025-10-12 22:04:43.512
Name: Created, dtype: object",1760306672000
41,"7670    2025-10-13 00:43:07.333
Name: Created, dtype: object",1760316172000
42,"8201    2025-10-14 05:43:45.729
Name: Created, dtype: object",1760420615000
43,"8621    2025-10-15 02:39:07.531
8622    2025-10-15 02:39:30.757
Name: Created, dtype: object",1760495938000
44,"8881    2025-10-15 08:26:30.751
Name: Created, dtype: object",1760516780000
45,"8911    2025-10-15 11:22:54.737
Name: Created, dtype: object",1760527363000
46,"9522    2025-10-17 21:25:10.019
Name: Created, dtype: object",1760736298000
47,"9675    2025-10-18 03:52:50.895
Name: Created, dtype: object",1760759561000
48,"9891    2025-10-18 10:21:14.644
Name: Created, dtype: object",1760782864000
49,"10268    2025-10-18 21:28:19.205
Name: Created, dtype: object",1760822889000
50,"10497    2025-10-19 03:29:32.210
Name: Created, dtype: object",1760844557000
51,"10592    2025-10-19 06:55:25.221
Name: Created, dtype: object",1760856913000
52,"10698    2025-10-19 10:12:27.091
Name: Created, dtype: object",1760868734000
53,"10856    2025-10-19 13:57:37.457
Name: Created, dtype: object",1760882248000
54,"10964    2025-10-19 17:31:46.170
Name: Created, dtype: object",1760895095000
55,"11521    2025-10-20 23:09:59.051
Name: Created, dtype: object",1761001788000
56,"12545    2025-10-22 08:42:39.446
Name: Created, dtype: object",1761122549000
57,"12570    2025-10-22 09:40:59.235
Name: Created, dtype: object",1761126048000
58,"13650    2025-10-23 22:13:25.725
Name: Created, dtype: object",1761257595000
59,"14248    2025-10-24 20:27:11.110
Name: Created, dtype: object",1761337619000
