"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"PM-03","","Ignition Off","-12.029778 / -77.118980","Tuesday, September 30 2025, 09:11:27 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Start","-12.029391 / -77.118546","Tuesday, September 30 2025, 09:10:48 am","10 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029389 / -77.118347","Tuesday, September 30 2025, 09:10:00 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029389 / -77.118347","Tuesday, September 30 2025, 09:09:58 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029389 / -77.118347","Tuesday, September 30 2025, 09:09:25 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029389 / -77.118347","Tuesday, September 30 2025, 09:09:17 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029389 / -77.118347","Tuesday, September 30 2025, 09:09:08 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029389 / -77.118347","Tuesday, September 30 2025, 07:17:05 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:15:39 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:15:38 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:14:14 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:14:07 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:13:09 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:13:07 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:12:41 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:12:39 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029789 / -77.119148","Tuesday, September 30 2025, 07:12:24 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029789 / -77.119148","Monday, September 29 2025, 07:57:34 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029789 / -77.119148","Monday, September 29 2025, 07:57:33 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.029901 / -77.119461","Monday, September 29 2025, 07:54:09 pm","10 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029829 / -77.119537","Monday, September 29 2025, 07:54:02 pm","10 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.029255 / -77.118210","Monday, September 29 2025, 07:53:19 pm","23 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Start","-12.028682 / -77.117355","Monday, September 29 2025, 07:52:53 pm","12 KPH","Pje. San Jose 118, Callao 07031, Peru"
"PM-03","","Ignition On","-12.027193 / -77.118217","Monday, September 29 2025, 07:51:54 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 144, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.027193 / -77.118217","Monday, September 29 2025, 07:44:24 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 144, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.027193 / -77.118217","Monday, September 29 2025, 07:44:23 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 144, Callao 07031, Peru"
"PM-03","","Driving","-12.027012 / -77.119019","Monday, September 29 2025, 07:43:50 pm","15 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Driving","-12.026875 / -77.119186","Monday, September 29 2025, 07:43:44 pm","15 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition On","-12.027050 / -77.118187","Monday, September 29 2025, 07:25:21 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 144, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.027050 / -77.118187","Monday, September 29 2025, 07:07:31 pm","9 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 144, Callao 07031, Peru"
"PM-03","","Driving","-12.027415 / -77.117775","Monday, September 29 2025, 07:07:12 pm","18 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Travel Start","-12.029844 / -77.119408","Monday, September 29 2025, 07:04:56 pm","15 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.030048 / -77.119392","Monday, September 29 2025, 07:04:50 pm","13 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.030109 / -77.119331","Monday, September 29 2025, 07:04:47 pm","12 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029840 / -77.119034","Monday, September 29 2025, 07:03:44 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029840 / -77.119034","Monday, September 29 2025, 02:28:39 pm","5 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029840 / -77.119034","Monday, September 29 2025, 02:28:38 pm","5 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Start","-12.029712 / -77.119080","Monday, September 29 2025, 02:28:33 pm","12 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029424 / -77.118378","Monday, September 29 2025, 01:52:56 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029424 / -77.118378","Monday, September 29 2025, 01:52:55 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029424 / -77.118378","Monday, September 29 2025, 01:52:24 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029424 / -77.118378","Monday, September 29 2025, 01:31:29 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029424 / -77.118378","Monday, September 29 2025, 01:31:28 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029545 / -77.118530","Monday, September 29 2025, 01:31:07 pm","13 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029892 / -77.119392","Monday, September 29 2025, 01:30:40 pm","12 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.030037 / -77.119415","Monday, September 29 2025, 01:30:36 pm","15 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Start","-12.030085 / -77.119270","Monday, September 29 2025, 01:30:32 pm","17 KPH","Vía Sin Nombre, Callao 07031, Peru"
