Created;Message;Status
2025-12-22 02:47:00.290;"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064453904"",""SerialNo"":1,""Firmware"":""V1.0.1.6"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]";0x2525010017000108694870644539040000030502101612
2025-12-22 02:47:00.809;"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064453904"",""SerialNo"":1,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2025-12-22T02:47:00Z"",""Iccid"":""8951101632961158189F"",""Imsi"":""716101696115818"",""NetworkOperator"":""ClaroFelicesFiestas""}]";0x252511006F000108694870644539042512220247002643006C00610072006F00460065006C0069006300650073004600690065007300740061007300054341542D31074341542D3120320F373136313031363936313135383138143839353131303136333239363131353831383946
2025-12-22 02:47:02.533;"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064453904"",""SerialNo"":2937,""Mileage"":9375800,""Date"":""2025-12-22T02:47:01Z"",""IopIgnition"":false,""Latitude"":-5.1022109985351563,""Longitude"":-81.072296142578125,""Altitude"":70.699996948242188,""ExternalPowerVoltage"":25.38,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":340,""OriginalAlarmCode"":105}]";0x25251400590B790869487064453904003C38402D000028565100000000000020000000FFFFFFFFFFFFFFFFFFFF69D5008F10381025122202470166668D420425A2C25045A3C00000015403172538FFFFFF00001CFFFFFFFFFF
2025-12-22 02:53:23.245;"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064453904"",""SerialNo"":2938,""Mileage"":9375800,""Date"":""2025-12-22T02:53:23Z"",""IopIgnition"":true,""Latitude"":-5.1022109985351563,""Longitude"":-81.072296142578125,""Altitude"":70.699996948242188,""ExternalPowerVoltage"":24.88,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":340,""OriginalAlarmCode"":22}]";0x25251400590B7A0869487064453904003C38402D000028524F00000007000061000000FFFFFFFFFFFFFFFFFFFF16D5008F10381025122202532366668D420425A2C25045A3C00000015403482488FFFFFF00001A0000FFFFFF
2025-12-22 02:54:24.140;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064453904"",""SerialNo"":32840,""Mileage"":9375800,""Date"":""2025-12-22T02:54:24Z"",""IopIgnition"":true,""Latitude"":-5.1022109985351563,""Longitude"":-81.072296142578125,""Altitude"":70.699996948242188,""ExternalPowerVoltage"":27.73,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":340,""BatteryLevel"":10}]";0x252513005980480869487064453904003C38402D0000285D4F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5008F10381025122202542466668D420425A2C25045A3C00000015403522773FFFFFF00001B0000FFFFFF
2025-12-22 02:55:23.934;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064453904"",""SerialNo"":32841,""Mileage"":9375800,""Date"":""2025-12-22T02:55:24Z"",""IopIgnition"":true,""Latitude"":-5.1022109985351563,""Longitude"":-81.072296142578125,""Altitude"":70.699996948242188,""ExternalPowerVoltage"":27.73,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":340,""BatteryLevel"":10}]";0x252513005980490869487064453904003C38402D000028525100000007000061000000FFFFFFFFFFFFFFFFFFFF00D5008F10381025122202552466668D420425A2C25045A3C00000015403532773FFFFFF00001B0000FFFFFF
2025-12-22 02:56:04.544;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064453904"",""SerialNo"":32842,""Mileage"":9375815,""Date"":""2025-12-22T02:56:04Z"",""IopIgnition"":true,""Latitude"":-5.1021971702575684,""Longitude"":-81.072441101074219,""Altitude"":70.199996948242188,""ExternalPowerVoltage"":27.62,""Rpm"":-999,""Speed"":6.0,""SatelliteNumber"":18,""Azimuth"":259,""BatteryLevel"":10}]";0x2525130059804A0869487064453904003C38402D000028565200000007000061000000FFFFFFFFFFFFFFFFFFFF00D5008F10471025122202560466668C421725A2C23345A3C00060010303542762FFFFFF00001B0000FFFFFF
2025-12-22 02:56:04.971;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064453904"",""SerialNo"":32843,""Mileage"":9375815,""Date"":""2025-12-22T02:56:04Z"",""IopIgnition"":true,""Latitude"":-5.1021971702575684,""Longitude"":-81.072441101074219,""Altitude"":70.199996948242188,""ExternalPowerVoltage"":27.62,""Rpm"":-999,""Speed"":6.0,""SatelliteNumber"":18,""Azimuth"":259,""BatteryLevel"":10}]";0x2525130059804B0869487064453904003C38402D00002856D200000007000061000000FFFFFFFFFFFFFFFFFFFF00D5008F10471025122202560466668C421725A2C23345A3C00060010303542762FFFFFF00001B0000FFFFFF
2025-12-22 02:56:11.314;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064453904"",""SerialNo"":32844,""Mileage"":9375827,""Date"":""2025-12-22T02:56:11Z"",""IopIgnition"":true,""Latitude"":-5.1022768020629883,""Longitude"":-81.072502136230469,""Altitude"":69.800003051757813,""ExternalPowerVoltage"":27.54,""Rpm"":-999,""Speed"":6.0,""SatelliteNumber"":18,""Azimuth"":205,""BatteryLevel"":10}]";0x2525130059804C0869487064453904003C38402D0000284B5200000007000061000000FFFFFFFFFFFFFFFFFFFF00D5008F1053102512220256119A998B421F25A2C2DA45A3C0006000CD03542754FFFFFF00001B0000FFFFFF
2025-12-22 02:57:22.441;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064453904"",""SerialNo"":32845,""Mileage"":9375996,""Date"":""2025-12-22T02:57:22Z"",""IopIgnition"":true,""Latitude"":-5.1036887168884277,""Longitude"":-81.072944641113281,""Altitude"":74.5999984741211,""ExternalPowerVoltage"":27.57,""Rpm"":-999,""Speed"":6.0,""SatelliteNumber"":17,""Azimuth"":258,""BatteryLevel"":10}]";0x2525130059804D0869487064453904003C38402D000028445100000007000061000000FFFFFFFFFFFFFFFFFFFF00D5008F10FC10251222025722333395425925A2C26B51A3C00060010203552757FFFFFF00001E0000FFFFFF
