,Created,Message,Status
4,2025-08-29 14:36:25.596,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1121416691994206208"",""time"":1756431382000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1121416691994206208/thumbnails/26000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIxNDE2NjkxOTk0MjA2MjA4L3RodW1ibmFpbHMvMjYwMDAuanBnIiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzcyMjg5Mzg1fX19XX0_&Signature=feMaCeqZUrUBuY8ndGwFLZ4blZmC2ugtAtMjxbtMv8n6OhyIYOGf~0gkjmDQpqBQvneHUBbE-urO80vkWePKJ0R2wceVA9as2bLYmupn5t1ciB01uD5CFHRGZxv10Xl8gncb0jzuat2hFqywvotSIQKSBZHBtdNimAkjNxPFGm~xgftSONsq4UlS-I7D5QLJ1GIHUBIPw9ynPRQBplA5XGCwY4fGRcjHXFlD3H5zXktvXzmr75voo2DjraKR12MHCFswBjI1M~4WE~pKwYFglw0f-4SR9pyJVR~vTDAq1z00JtRE8WKTsOVXOO9ONhw843~el4wJ0FZ2aE8veCfAVg__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":97589,""tripID"":""1b5dcd88-6462-4235-97ee-80bb71e90e66"",""timezone"":""+08:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756431381289,""time"":1756478181000,""speed"":0.235,""heading"":0,""coordinate"":[-76.5260361,3.465284967,1017.190002],""hDop"":65,""vDop"":117},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""0vwuOFLV3cIUZDle+Z29831ysKxOxgo0Rn9Npwoq1Hw="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
11,2025-09-03 15:30:54.034,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123242341071724544"",""time"":1756913451000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123242341071724544/thumbnails/27000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjQyMzQxMDcxNzI0NTQ0L3RodW1ibmFpbHMvMjcwMDAuanBnIiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzcyNzI0NjUzfX19XX0_&Signature=TY3F9dsdnJwPC9Mx38hXfcxCIx6OjvpUHSQcodKVY70wH0Ui3OOYTzzLp78ywn~CjesmFeSSeitn39JWd~QpMr0mhucrXyvE94N614GqkbN0-Rq0WMw0EVSlx0C3-DeA49ElGbfXd4Z5MyRZzIqgHLw~GeHRCndYgUJTiLGfYClgemaehmIlayCAETfbzH3SCkVqZHQPrQeuCT4hEEesZqE5KdyNqoes7zI7MaoLaTGWfhPRWiMChTtIA7TDMr~7qfu8cjKZygsp7ft37JvZ67a-1ZEwtKsGAlSpBPEo1H91c1BufxWEPlGgWyGVAkF-58SzRw1iSsg-HDhhiPgs0Q__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":66968,""tripID"":""9b170a6a-8ba4-41a8-8b13-8678dcb7ce99"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756913450349,""time"":1756913450000,""speed"":0.154,""heading"":0,""coordinate"":[-74.16566667,4.755333667,2586.280029],""hDop"":43,""vDop"":68},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""VWPF4MJNttzaJE+iC8QeYAXvlUTTBtu9qG5WaVd2sQk="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
20,2025-09-03 15:34:16.037,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123243187918479360"",""time"":1756913653000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123243187918479360/thumbnails/1000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjQzMTg3OTE4NDc5MzYwL3RodW1ibmFpbHMvMTAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzI3MjQ4NTV9fX1dfQ__&Signature=Pw9IrOdBayBajzDB68JpJvd6SMgYcuYxiGQrXw8t4aVkFwcQU-ibRAmqmKa88yfa6Xvjar5Btn3vw5PGeDgqZBKPc8ONP1JCYzldciIWcZM2e06RnL4mYQpUHg5wsU4XRN96eFRGsd8C4j4ZhWOVTrWMNMTnHveB9pkD8csJnHAOQY28EiO0C2XSLDPnLUbRrsXesDeNCTPO4CUFfATl5UMat-iC7voAJgBm6jShKey3T5EdQtN5krv9vhrmV160PnKO3xyBjtqKkkgQTQSd1Jn~w48e4kFC3zbt5rzS4GuTGocXZAvRCKvlkXse2AwodHnEoJ8rGMtV2~ZzLyHW-Q__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":100129,""tripID"":""9b170a6a-8ba4-41a8-8b13-8678dcb7ce99"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756913652306,""time"":1756913652000,""speed"":0.031,""heading"":0,""coordinate"":[-74.16565598,4.7553372,2578.858887],""hDop"":43,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""zqXx7GKgRJxKuT1IMUxnKokHIUKNt6GMz/USvtKze+Y="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
22,2025-09-03 15:36:05.669,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123243647534505984"",""time"":1756913761000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123243647534505984/thumbnails/8000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjQzNjQ3NTM0NTA1OTg0L3RodW1ibmFpbHMvODAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzI3MjQ5NjV9fX1dfQ__&Signature=m9-VHieMnwVtn4ZKxz~8gMTXx~C1rLPbsLmcYTPprWdZe9NEhupu5kOXB5maD3selJCoVW04bc6KWWklf4zJJO-vjQahe~1-8J3OedhI0jVHpAy6VQF-zsEE3BH-K4RCnpnTpF1S8gm3WMUPX76k5j-IyIcdntSlsBMLVIgjzZBeEf7SZwhaAmnnLiNTj6B9ywVa85PAbQuVC-8DmbhV5eZrcNIH9MMrQ4qKFeLlJgv15dhrblop7t6dC2U3jz54HDvaoy~FUQBA~aIZVHIH4ojhy8nPGJF1VOkiVzUimjqt5AIpUPpEAkpoo757Xy-Vk~I1-93zC-eajHgaw55ovA__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":95581,""tripID"":""a4b3d44e-1a11-41c5-8cfc-70197ed5e069"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756913759690,""time"":1756913759000,""speed"":0.085,""heading"":0,""coordinate"":[-74.16568568,4.7553693,2600.297119],""hDop"":45,""vDop"":69},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""honKfKcCXUcnfJ9XitWVJZ+WvOxH9n6CmohezJAo9h4="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
30,2025-09-03 15:38:39.018,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123244289497899008"",""time"":1756913913000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123244289497899008/thumbnails/160000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjQ0Mjg5NDk3ODk5MDA4L3RodW1ibmFpbHMvMTYwMDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MjcyNTExOH19fV19&Signature=c~yPjAQcuW4gC124INXw62oR4uf5Bd0x2Jln9fMMUWCkquiv-bURNilrZS3EGrlCpomg2tZtncx4nlt2Tps3g3P-u~I1D3uQQZoxardTj4P03l6mxRALnvrM0X~j461~Ia8oDNpE6W6lxs63xHLeVl3VcSb249nBTGV~rMnVlMPjSe40okq-6Cct5wg9~ZFyeooCJgKlLtS5fhTVw~QD6Aqt4XdWwOqtf-JA3OzGq5XYV4rIczlOkrW6bdodH-zbh6DAKkY~qlt2FYXsewRJpXU4YgS1fSDq5YX-kf3EzcLgSvFe7z6OInFp0JI3ojY5bG7gzZ4WZVPNcN4DucC4iQ__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":138976,""tripID"":""a4b3d44e-1a11-41c5-8cfc-70197ed5e069"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756913912600,""time"":1756913912000,""speed"":0.113,""heading"":0,""coordinate"":[-74.16564408,4.755345067,2587.837891],""hDop"":50,""vDop"":76},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""aPvLn+uUt+T0RmUIHKRB0P3+vZ9+gweq/xbJoRnsiQs="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
31,2025-09-03 15:39:48.475,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123244582021242880"",""time"":1756913985000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123244582021242880/thumbnails/0.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjQ0NTgyMDIxMjQyODgwL3RodW1ibmFpbHMvMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzI3MjUxODh9fX1dfQ__&Signature=d6BNJKHfuQZ2L54sPQIzYlFA-WVajkAV-pNi4LPW2r5LZ0~5Ai3Cx~bj2iWO2AxsBdhbF0KhFmHfxsZnLLEj3s~YNd2Ccasxz2C99r1sbgEefc3~fSZURvSPdcsB9DlgAKqe~WdzO934QcbuEgtjamT8PT4f8bjxPh-zUCfSEdRgHnFj2KKri7FRJ04W~tfXbgDBNDKDxD47eRNMTduNrS0gzOQSYaBVNrVgVwG7ohVfFIUUbsyvuycEpU3vd~Z93H38~DWLbN3t0gd-z0sns449kKj~GRC8X~WrUhuo0ZtHRuSgzDZjfmzoNRaERtj8QpJznlLjy7imvkS5h~tRxQ__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":96019,""tripID"":""382875f8-fbda-470a-accb-846155fc28b1"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756913984288,""time"":1756913984000,""speed"":0.048,""heading"":0,""coordinate"":[-74.16563192,4.755365133,2573.219971],""hDop"":45,""vDop"":75},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""Qw2HCz+GLtC9W1Ld11sufCMIz4SuSpxgUOsbtkpj5gc="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
44,2025-09-03 16:00:05.496,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123249685285445632"",""time"":1756915199000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123249685285445632/thumbnails/6000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjQ5Njg1Mjg1NDQ1NjMyL3RodW1ibmFpbHMvNjAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzI3MjY0MDV9fX1dfQ__&Signature=F1yzuxp22-mqbKtq15ZGhvnQLxrdDjXp4WPKrtnFSNTn6RIaoJXnzwxVrlv2tyYlNOJsKIvkdTE2uTMfs1F-kCf~GlZUab0f40gCbIClY4W2TBPgSGjUGAsSwFGNwM2Yqhjzu~xjsnCapaSEnlr3aQxU9yGfXJzT~LsgLRg2g7vqHmxvJqsNBZsdY5s5jT90UGw4qgty~th7HAXlszQC2QbFGqelGHLS5atDRs1pT8X-XDAYKKCBhMMQtIRjiIdhVs4JdulFeYwVkfgixE1TqgAJkIpcK0sP5dEIYJOgt2YWKRSulu06sKslVvPlEGDw4ohQlSCS7QlXJFuSQvrEOA__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":85272,""tripID"":""45f4fe10-be36-4f5d-b5b7-fb90de7fc363"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756915198854,""time"":1756915199000,""speed"":0.154,""heading"":0,""coordinate"":[-74.16541832,4.75543865,2540.273926],""hDop"":74,""vDop"":111},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""yJiUG7TiuryJ8sTzURFcsVNHwf5NUhYw5P0CkCqhtqo="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
53,2025-09-03 16:02:48.920,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123250369745526784"",""time"":1756915357000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123250369745526784/thumbnails/6000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjUwMzY5NzQ1NTI2Nzg0L3RodW1ibmFpbHMvNjAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzI3MjY1Njh9fX1dfQ__&Signature=EoSMyD4g24DA9yPYLBTVFwJrTqqAHNjnziL4xCSumb6r-XVRG9A9ExIZqiCWemw6QOCA8bPvnDRzrvepbnmyuYpf4-hjV8QHil7OX4JpkCyh-fl6t8vKo14LOw-VIlPiRZya6se35emKEUpeMKdJ4HIbIyBDPC1-~RSPpuTp8mhJJylTWTAH4UfuLOo3oTObIx7gVB~TKFoK5sVGrmshx-CwF1LQA8qhe7qYEmZZ~WDOLDOoMBbhovAkIp41XCpPiPu2ilD924Zn119BgiVA1u2RRTXb4yOByCztJozPXSHrgUsLhVIySq6vOqBH6qd92rM12aJwFkJcsvgYqX5iTw__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":94141,""tripID"":""81c0a16d-ffaf-46f1-bc1c-257722f31dfe"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756915356699,""time"":1756915362000,""speed"":0.446,""heading"":0,""coordinate"":[-74.16560617,4.75535365,2575.038086],""hDop"":88,""vDop"":149},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""jyXnTT5q1vyUECK2CwcjrFj2I5tlAjVXH+yVrmWoI4A="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
59,2025-09-03 16:33:54.348,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123258196388093952"",""time"":1756917230000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123258196388093952/thumbnails/0.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjU4MTk2Mzg4MDkzOTUyL3RodW1ibmFpbHMvMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzI3Mjg0MzR9fX1dfQ__&Signature=pEUdwo0I42eTz~NOkPs7l~R20H8INNyV9fZwqJzsgQz3FAzNOBpQOIfTzDau4VF4m6BsSv0ahcw-9~rdNoDtZP2oZozE9O~G-skJaWCu8p-fYvvQZoMBYR4enCe94qoYTZ4hNwEKrohBZv-~oTEyxeFqzV6-ifUoV8y3qbJOfk~Crg9USrd7WPCTJaegzcZy~bRnyQMCTy-Rx7hNizxRDavzBE3He4cKR1YAzJmy5PdHfHDfGybRITk25v5vuIHWVPBrlFVjcyk~qlf9gYvIqRN5AJQzaJfWKguC9kh~lRW3RwCNV2xBxUth7HrHdZL217uEpouGTbzLBfpwx8~RAQ__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":46529,""tripID"":""22a3dc5b-d9c4-4293-83e7-5bfe6e25f5de"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756917229723,""time"":1756917230000,""speed"":0.402,""heading"":12.91,""coordinate"":[-74.16557532,4.755348467,2564.86499],""hDop"":51,""vDop"":99},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""8TOWtY1n54hACGr8olTWXx15EzdtUXCKBzBC2TBahaM="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
72,2025-09-03 16:39:16.613,"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123259548602343424"",""time"":1756917550000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123259548602343424/thumbnails/305000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjU5NTQ4NjAyMzQzNDI0L3RodW1ibmFpbHMvMzA1MDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MjcyODc1Nn19fV19&Signature=RZzBLA8X-wuu3dF7RCQ4zfIEnP1sgTlcapKkcrmG0d~e7b8lxgmryLDW4wvJt-Zc5fiiP42I1fJKb~GPRmi4RDBQCYWjiaSqc1tU82OsKl1lmKD8hyqEKyQwUF4hUEDl6ZuVYbe82doLY-kFSS7N5YMONn9Cipig9t6ejydeX2n-YuiO3nnn6xL--9N6WAM5pJIY~bF4uQHN~rHMcVjXb8Ao-BjE0~K6RKpBQSLrf96R478UjUDfKB4hnUjEmxLdXIIMdj10z1EDt9vll9vRSE-cCfibhnOi9~htx0EHE~eDLYCVzAItSJ1MtF5F24ibFxycIVgcCL7KZEcaSLXxRg__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":75598,""tripID"":""22a3dc5b-d9c4-4293-83e7-5bfe6e25f5de"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756917549460,""time"":1756917550000,""speed"":1.259,""heading"":12.91,""coordinate"":[-74.16559138,4.755308233,2571.620117],""hDop"":49,""vDop"":90},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""tiyDgI1adfY021l5VZpNZua8pd3vQev+srgjSXzOqCA="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
