Created;Message;Status
2025-08-29 14:33:56.032;"{""notificationType"":""MaintenanceWarning"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""warning"":""SIMCardInfoChanged"",""detail"":{""iccidChange"":{""previousIccid"":""89011703274435498862"",""currentIccid"":""89571017025017962475"",""inWhiteList"":true,""originalBoundIccid"":""89011703274435498862""}},""time"":1756478035955,""gpsData"":{""source"":""lastValid"",""sysTime"":1750467817704,""time"":1750467820000,""speed"":0.128,""heading"":0,""coordinate"":[113.1268568,27.64628427,73.96499634],""hDop"":52,""vDop"":71},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""cgHgAlzCwRsWvupldyvXydJ1pOUwT/tE1g/Sa/nD2Yk="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-08-29 14:34:28.795;"{""notificationType"":""TripInfo"",""sn"":""8B514208"",""tripID"":""aeddfe78-a8ba-449b-a38b-9bdb571c8c0b"",""ignitionStopTime"":1750467921080,""messageTime"":1756478068738,""points"":[{""source"":""hardware"",""sysTime"":1750467832671,""gpsTime"":1750467835000,""speed"":0.009,""heading"":0,""coordinate"":[113.1268566,27.64628448,73.91799927],""idleStatus"":""Unknown"",""accumulatedDistance"":0,""hDop"":52,""vDop"":71},{""source"":""hardware"",""sysTime"":1750467862685,""gpsTime"":1750467865000,""speed"":0.061,""heading"":0,""coordinate"":[113.1268569,27.64628482,73.74700165],""idleStatus"":""Unknown"",""accumulatedDistance"":0,""hDop"":54,""vDop"":75},{""source"":""hardware"",""sysTime"":1750467892722,""gpsTime"":1750467895000,""speed"":0.067,""heading"":0,""coordinate"":[113.1268576,27.64628628,73.53900146],""idleStatus"":""Idling"",""accumulatedDistance"":0,""hDop"":52,""vDop"":73}],""obdData"":[],""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""lHjHmiJah1scMqi74fR7StGCNlMfnEiIK6TXfH/mNXQ="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-08-29 14:36:16.626;"{""notificationType"":""MaintenanceWarning"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":""06de5cea-8dd0-4789-aea3-1a08100525c0"",""warning"":""GPSGapTooLarge_PossiblePowerOrSignalIssue"",""detail"":{""gpsGap"":{""distanceInMile"":10204.544,""lastGps"":{""tripID"":""aeddfe78-a8ba-449b-a38b-9bdb571c8c0b"",""sysTime"":1750467919723,""time"":1750467922000,""speed"":0.019,""heading"":0,""coordinate"":[113.1268573,27.64628707,73.38999939],""hDop"":54,""vDop"":73}}},""time"":1756478176536,""gpsData"":{""source"":""hardware"",""sysTime"":1756478118544,""time"":1756478119000,""speed"":0.354,""heading"":0,""coordinate"":[-76.52600282,3.46528925,1015.560974],""hDop"":64,""vDop"":110,""odometer"":0},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""S13gOxnb9siddChlH3GWOP4CsthgjXquR6NfRZgLu0s="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-08-29 14:36:20.423;"{""notificationType"":""IgnitionStatus"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":""1b5dcd88-6462-4235-97ee-80bb71e90e66"",""previousStatus"":""parking"",""currentStatus"":""driving"",""changeTime"":1756478153992,""gpsData"":{""source"":""hardware"",""time"":1756478154000,""speed"":0.953779,""heading"":0,""coordinate"":[-76.526026,3.465289,1017.275],""hDop"":65,""vDop"":121},""accumulatedDistance"":0,""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""CXvYJuhfIUtqSy3PSteZDCDJG46axYEYM2knTw0QUKE="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-08-29 14:36:25.596;"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1121416691994206208"",""time"":1756431382000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1121416691994206208/thumbnails/26000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIxNDE2NjkxOTk0MjA2MjA4L3RodW1ibmFpbHMvMjYwMDAuanBnIiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzcyMjg5Mzg1fX19XX0_&Signature=feMaCeqZUrUBuY8ndGwFLZ4blZmC2ugtAtMjxbtMv8n6OhyIYOGf~0gkjmDQpqBQvneHUBbE-urO80vkWePKJ0R2wceVA9as2bLYmupn5t1ciB01uD5CFHRGZxv10Xl8gncb0jzuat2hFqywvotSIQKSBZHBtdNimAkjNxPFGm~xgftSONsq4UlS-I7D5QLJ1GIHUBIPw9ynPRQBplA5XGCwY4fGRcjHXFlD3H5zXktvXzmr75voo2DjraKR12MHCFswBjI1M~4WE~pKwYFglw0f-4SR9pyJVR~vTDAq1z00JtRE8WKTsOVXOO9ONhw843~el4wJ0FZ2aE8veCfAVg__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":97589,""tripID"":""1b5dcd88-6462-4235-97ee-80bb71e90e66"",""timezone"":""+08:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756431381289,""time"":1756478181000,""speed"":0.235,""heading"":0,""coordinate"":[-76.5260361,3.465284967,1017.190002],""hDop"":65,""vDop"":117},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""0vwuOFLV3cIUZDle+Z29831ysKxOxgo0Rn9Npwoq1Hw="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-08-29 14:36:44.322;"{""notificationType"":""MaintenanceWarning"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":""1b5dcd88-6462-4235-97ee-80bb71e90e66"",""warning"":""SDCardFormatted"",""time"":1756478204264,""gpsData"":{""source"":""hardware"",""time"":1756478204000,""speed"":0.481519,""heading"":0,""coordinate"":[-76.526038,3.465284,1017.226],""hDop"":74,""vDop"":157},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""jsf0uz18NWYxLGibfcWfzma8gGfqD3CZj9kUztiOqgo="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-08-29 14:37:11.555;"{""notificationType"":""DataUsage"",""sn"":""8B514208"",""vehicleID"":"""",""dataUsageInKB"":0,""tripID"":""1b5dcd88-6462-4235-97ee-80bb71e90e66"",""gpsData"":{""source"":""lastValid"",""sysTime"":1756478224312,""time"":1756478224000,""speed"":0.406,""heading"":0,""coordinate"":[-76.52603908,3.4652839,1016.939026],""hDop"":70,""vDop"":125},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""DUb+wCOTG7ToQd/N8W8PWauZ1fx1P+A4aiqHyj5suEk="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-08-29 14:48:48.751;"{""notificationType"":""IgnitionStatus"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":""1b5dcd88-6462-4235-97ee-80bb71e90e66"",""previousStatus"":""driving"",""currentStatus"":""parking"",""changeTime"":1756478285137,""warningMsg"":""NoNetworkConnection_ForceIgnitionStop"",""gpsData"":{""source"":""lastValid"",""time"":1756478239000,""speed"":0.509299,""heading"":0,""coordinate"":[-76.526041,3.46528,1016.452],""hDop"":61,""vDop"":99},""accumulatedDistance"":0,""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""dFTNGPq5kSy5e1sKuqMj6GXwE3vLlW/A+f4s3m3Bsy8="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:27:50.013;"{""notificationType"":""PowerEvent"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""reason"":""lostWhileParking"",""removedTime"":1756913258957,""connectedTime"":-1,""poweredBy"":""battery"",""lastGps"":{""source"":""hardware"",""time"":1756913260000,""speed"":0.051855,""heading"":0,""coordinate"":[-74.165625,4.755308,2591.599],""hDop"":45,""vDop"":68},""lastGpsData"":{""source"":""hardware"",""time"":1756913260000,""speed"":0.051855,""heading"":0,""coordinate"":[-74.165625,4.755308,2591.599],""hDop"":45,""vDop"":68},""gpsData"":{""source"":""hardware"",""time"":1756913266000,""speed"":0.029632,""heading"":0,""coordinate"":[-74.165629,4.75531,2590.677],""hDop"":44,""vDop"":69},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""f49cWFusA8tk397qTNUfCpssAlQYO0ICh6u1Cw+vlEU="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:29:03.515;"{""notificationType"":""PowerEvent"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""reason"":""lostWhileParking"",""removedTime"":1756913334472,""connectedTime"":-1,""poweredBy"":""battery"",""lastGps"":{""source"":""hardware"",""time"":1756913335000,""speed"":0.079636,""heading"":0,""coordinate"":[-74.165574,4.755319,2578.657],""hDop"":46,""vDop"":70},""lastGpsData"":{""source"":""hardware"",""time"":1756913335000,""speed"":0.079636,""heading"":0,""coordinate"":[-74.165574,4.755319,2578.657],""hDop"":46,""vDop"":70},""gpsData"":{""source"":""hardware"",""time"":1756913340000,""speed"":0.179644,""heading"":0,""coordinate"":[-74.165575,4.755319,2578.973],""hDop"":45,""vDop"":69},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""Bu8dIr+dsNxtiIZ+jAcmQ+VQrO/75khSjTwT3u2QjAs="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
