Created;Message;Status
2025-09-03 15:27:50.013;"{""notificationType"":""PowerEvent"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""reason"":""lostWhileParking"",""removedTime"":1756913258957,""connectedTime"":-1,""poweredBy"":""battery"",""lastGps"":{""source"":""hardware"",""time"":1756913260000,""speed"":0.051855,""heading"":0,""coordinate"":[-74.165625,4.755308,2591.599],""hDop"":45,""vDop"":68},""lastGpsData"":{""source"":""hardware"",""time"":1756913260000,""speed"":0.051855,""heading"":0,""coordinate"":[-74.165625,4.755308,2591.599],""hDop"":45,""vDop"":68},""gpsData"":{""source"":""hardware"",""time"":1756913266000,""speed"":0.029632,""heading"":0,""coordinate"":[-74.165629,4.75531,2590.677],""hDop"":44,""vDop"":69},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""f49cWFusA8tk397qTNUfCpssAlQYO0ICh6u1Cw+vlEU="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:29:03.515;"{""notificationType"":""PowerEvent"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""reason"":""lostWhileParking"",""removedTime"":1756913334472,""connectedTime"":-1,""poweredBy"":""battery"",""lastGps"":{""source"":""hardware"",""time"":1756913335000,""speed"":0.079636,""heading"":0,""coordinate"":[-74.165574,4.755319,2578.657],""hDop"":46,""vDop"":70},""lastGpsData"":{""source"":""hardware"",""time"":1756913335000,""speed"":0.079636,""heading"":0,""coordinate"":[-74.165574,4.755319,2578.657],""hDop"":46,""vDop"":70},""gpsData"":{""source"":""hardware"",""time"":1756913340000,""speed"":0.179644,""heading"":0,""coordinate"":[-74.165575,4.755319,2578.973],""hDop"":45,""vDop"":69},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""Bu8dIr+dsNxtiIZ+jAcmQ+VQrO/75khSjTwT3u2QjAs="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:29:15.567;"{""notificationType"":""PowerEvent"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""reason"":""restoreCable"",""removedTime"":-1,""connectedTime"":1756913317352,""poweredBy"":""cable"",""lastGps"":{""source"":""hardware"",""time"":1756913248000,""speed"":-1,""heading"":-1,""coordinate"":[-74.16562,4.755306,0],""hDop"":-1,""vDop"":-1},""lastGpsData"":{""source"":""hardware"",""time"":1756913248000,""speed"":-1,""heading"":-1,""coordinate"":[-74.16562,4.755306,0],""hDop"":-1,""vDop"":-1},""gpsData"":{""source"":""hardware"",""time"":1756913351000,""speed"":0.059264,""heading"":0,""coordinate"":[-74.165576,4.755319,2579.322],""hDop"":46,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""MDmhhWCO3qxLDeFILLBU7VjCaM64Ja1px1gZxrwK/iM="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:30:54.034;"{""notificationType"":""AutoSnapshot"",""sn"":""8B514208"",""pictureID"":""1123242341071724544"",""time"":1756913451000,""rotate"":""normal"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B514208/1123242341071724544/thumbnails/27000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUxNDIwOC8xMTIzMjQyMzQxMDcxNzI0NTQ0L3RodW1ibmFpbHMvMjcwMDAuanBnIiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzcyNzI0NjUzfX19XX0_&Signature=TY3F9dsdnJwPC9Mx38hXfcxCIx6OjvpUHSQcodKVY70wH0Ui3OOYTzzLp78ywn~CjesmFeSSeitn39JWd~QpMr0mhucrXyvE94N614GqkbN0-Rq0WMw0EVSlx0C3-DeA49ElGbfXd4Z5MyRZzIqgHLw~GeHRCndYgUJTiLGfYClgemaehmIlayCAETfbzH3SCkVqZHQPrQeuCT4hEEesZqE5KdyNqoes7zI7MaoLaTGWfhPRWiMChTtIA7TDMr~7qfu8cjKZygsp7ft37JvZ67a-1ZEwtKsGAlSpBPEo1H91c1BufxWEPlGgWyGVAkF-58SzRw1iSsg-HDhhiPgs0Q__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":66968,""tripID"":""9b170a6a-8ba4-41a8-8b13-8678dcb7ce99"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1756913450349,""time"":1756913450000,""speed"":0.154,""heading"":0,""coordinate"":[-74.16566667,4.755333667,2586.280029],""hDop"":43,""vDop"":68},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""VWPF4MJNttzaJE+iC8QeYAXvlUTTBtu9qG5WaVd2sQk="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:30:54.495;"{""notificationType"":""PowerEvent"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""reason"":""restoreCable"",""removedTime"":-1,""connectedTime"":1756913419367,""poweredBy"":""cable"",""lastGps"":{""source"":""hardware"",""time"":1756913418000,""speed"":0.062968,""heading"":0,""coordinate"":[-74.16568,4.755336,2585.925],""hDop"":43,""vDop"":68},""lastGpsData"":{""source"":""hardware"",""time"":1756913418000,""speed"":0.062968,""heading"":0,""coordinate"":[-74.16568,4.755336,2585.925],""hDop"":43,""vDop"":68},""gpsData"":{""source"":""hardware"",""time"":1756913447000,""speed"":0.122231,""heading"":0,""coordinate"":[-74.165666,4.755333,2586.268],""hDop"":43,""vDop"":68},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""5LKtj+kX2UbX9DCZ4HHMyTIxv1XI8NTfAoeMNhi8kN4="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:30:54.629;"{""notificationType"":""IgnitionStatus"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":""9b170a6a-8ba4-41a8-8b13-8678dcb7ce99"",""previousStatus"":""parking"",""currentStatus"":""driving"",""changeTime"":1756913449678,""gpsData"":{""source"":""hardware"",""time"":1756913451000,""speed"":0.131492,""heading"":0,""coordinate"":[-74.165666,4.755333,2586.257],""hDop"":46,""vDop"":73},""accumulatedDistance"":0,""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""pdU9WACfDoalFM5lPLH2SpuYZyP/sI7WvNRMnGY053k="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:31:02.033;"{""notificationType"":""MaintenanceWarning"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":""9b170a6a-8ba4-41a8-8b13-8678dcb7ce99"",""warning"":""GPSGapTooLarge_PossiblePowerOrSignalIssue"",""detail"":{""gpsGap"":{""distanceInMile"":185.691,""lastGps"":{""tripID"":""1b5dcd88-6462-4235-97ee-80bb71e90e66"",""sysTime"":1756478239322,""time"":1756478239000,""speed"":0.509,""heading"":0,""coordinate"":[-76.52604148,3.465280133,1016.452026],""hDop"":61,""vDop"":99}}},""time"":1756913461939,""gpsData"":{""source"":""hardware"",""sysTime"":1756913453372,""time"":1756913453000,""speed"":0.254,""heading"":0,""coordinate"":[-74.16566785,4.755335133,2585.855957],""hDop"":43,""vDop"":70,""odometer"":0},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""c/Y/PJMIu22K2vsyjdb23K3vMQe0K38r7+dw/TIhqAs="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:31:11.443;"{""notificationType"":""PowerEvent"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":"""",""reason"":""lostWhileDriving"",""removedTime"":1756913468639,""connectedTime"":-1,""poweredBy"":""battery"",""lastGps"":{""source"":""hardware"",""time"":1756913470000,""speed"":0.057411,""heading"":0,""coordinate"":[-74.16567,4.755337,2584.89],""hDop"":45,""vDop"":69},""lastGpsData"":{""source"":""hardware"",""time"":1756913470000,""speed"":0.057411,""heading"":0,""coordinate"":[-74.16567,4.755337,2584.89],""hDop"":45,""vDop"":69},""gpsData"":{""source"":""hardware"",""time"":1756913471000,""speed"":0.061115,""heading"":0,""coordinate"":[-74.16567,4.755337,2584.814],""hDop"":44,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""CQFDaxKO8/ac1AuqUEpdE3LzKBx1kqCgU4SY4RgjQVQ="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:32:54.768;"{""notificationType"":""TripInfo"",""sn"":""8B514208"",""tripID"":""9b170a6a-8ba4-41a8-8b13-8678dcb7ce99"",""messageTime"":1756913574680,""points"":[{""source"":""hardware"",""sysTime"":1756913481372,""gpsTime"":1756913481000,""speed"":0.124,""heading"":0,""coordinate"":[-74.16567477,4.75532955,2581.89209],""idleStatus"":""Unknown"",""accumulatedDistance"":0,""hDop"":44,""vDop"":68},{""source"":""hardware"",""sysTime"":1756913511337,""gpsTime"":1756913511000,""speed"":0.041,""heading"":0,""coordinate"":[-74.16566938,4.755335917,2581.076904],""idleStatus"":""Unknown"",""accumulatedDistance"":0,""hDop"":47,""vDop"":69},{""source"":""hardware"",""sysTime"":1756913541326,""gpsTime"":1756913541000,""speed"":0.085,""heading"":0,""coordinate"":[-74.1656638,4.755337833,2580.374023],""idleStatus"":""Idling"",""accumulatedDistance"":0,""hDop"":43,""vDop"":70},{""source"":""hardware"",""sysTime"":1756913571316,""gpsTime"":1756913571000,""speed"":0.1,""heading"":0,""coordinate"":[-74.16566203,4.755338933,2579.783936],""idleStatus"":""Idling"",""accumulatedDistance"":0,""hDop"":44,""vDop"":71}],""obdData"":[],""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""futw5kSPwKmcddVEBRyhrS2Q4RhkJQDVkwyiZmHEMtE="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
2025-09-03 15:34:10.471;"{""notificationType"":""IgnitionStatus"",""sn"":""8B514208"",""vehicleID"":"""",""tripID"":""9b170a6a-8ba4-41a8-8b13-8678dcb7ce99"",""previousStatus"":""driving"",""currentStatus"":""parking"",""changeTime"":1756913649540,""gpsData"":{""source"":""hardware"",""time"":1756913650000,""speed"":0.050004,""heading"":0,""coordinate"":[-74.165656,4.755337,2578.857],""hDop"":44,""vDop"":68},""accumulatedDistance"":0,""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""oHVYezorbsOci4+FZ+NDD3KxfeJEAhyHrPA0L/pyJFI="",""useCache"":true}";0x5B6F626A656374204F626A6563745D
