,IMEI
0,868574042957014
1,868574042896089
2,868574042928528
3,868574042907373
4,868574042945050
5,868574042960240
14,868574042782099
15,868574042910997
18,868574042841119
27,868574042920830
33,868574042445390
40,868574042406418
54,868574042945803
60,868574042939491
61,868574042956743
63,868574042961198
68,868574042901038
69,868574042943980
70,868574042441647
75,868574042733605
76,868574042708755
77,868574042745872
78,868574042669361
79,868574042735949
80,868574042722954
81,868574042745484
82,868574042744925
83,868574042745997
84,868574042726054
85,868574042674999
86,868574042394366
87,868574042599071
88,868574042717020
89,868574042746219
90,868574042734447
92,868574042712161
93,868574042732268
94,868574042719984
97,868574042908736
108,868574042931712
109,868574042952445
110,868574042932900
112,868574042686670
120,868574041310025
125,868574042450234
128,868574041195905
129,868574042934476
133,868574041276200
135,868574042915590
137,868574042949243
145,868574042953864
146,868574042936067
153,868574042960349
155,868574042411236
157,868574042947957
158,868574041320354
163,868574042448477
164,868574042444633
165,868574042433842
167,868574042931506
