Geofence,count
RECUBRIMIENTOS Y PLASTICOS COVERPLAST,2
PROQUIM INDUSTRIAL SAS,2
Acueducto La Flora Bmanga,1
Alqueria,1
Basc. Yesos,1
Algranel B/v,1
Algranel C/gena,1
Bascula Baggrip,1
Bascula El Ancla,1
Bavaria Plta Yumbo,1
BIO D SA,1
Bodega 1 Tulua,1
Br Yumbo Z Cargue,1
Bascula Arroyohondo,1
Bascula Auto Sur,1
CAMPOFERT S.A.S.,1
Carboquimica,1
Casa  conductor STX820,1
Caucaseco,1
CHEMI / AGROTAGI,1
Cisneros,1
CLOROX DE COLOMBIA S.A.,1
coello acpm,1
Colgate,1
COMPAÑIA DE EMPAQUES INDUSTRIALES S.A.S.,1
Comuna 1 Cali,1
Comuna 10 Cali,1
Comuna 11 Cali,1
Comuna 12 Cali,1
Br Yumbo Z Parqueo,1
Brennta Itagui,1
Comuna 15 Cali,1
Comuna 16 Cali,1
Comuna 17 Cali,1
Comuna 18 Cali,1
Comuna 19 Cali,1
Comuna 2 Cali,1
Comuna 20 cali,1
Comuna 21 Cali,1
Comuna 22 Cali,1
Comuna 3 Cali,1
Comuna 4 Cali,1
Comuna 5 Cali,1
Comuna 6 Cali,1
Comuna 7 Cali,1
Comuna 8 Cali,1
Comuna 9 Cali,1
Conentrados,1
consejal Amparo-miscelaneos,1
Cruce Buga Palmira,1
crucero a puente rio sogamoso y bucarelia,1
CRUCERO A pUERTO wILCHEZ SALIDA DE TRONCAL,1
Desvio Tulua,1
EcoEnvases (reenvases),1
EDS El Diamante,1
EDS El molino Piedcuesta,1
EDS La Macarena,1
EDS La Palmirana,1
EDS OPES Acopi,1
EDS San Pedro,1
EDS Trocal Norte Esso,1
Empopasto,1
engrasadero los pinos,1
Escurridero acpm cgto palmas de Guayabito,1
estacion servicio  Petromil El Diamante,1
estacion servicio mobil trans Lebrija,1
estacion Total Gas Mobil Mediacanoa,1
estadero los tubos,1
FLEISCHMANN,1
Flint Ink Col.,1
Fonda Paisa,1
FrenoPartes de occidente,1
Frigorificos de la Costa,1
Gaseosas Hipinto s a,1
Geo Parq. TLQ,1
GeoC Parq JGS,1
GOLOSINAS TRULULU,1
Haratung,1
Ind Basica Caldas,1
INDUSTRIA COLOMBIANA DE PAPELES,1
ingenio Riopaila,1
Ingreso Parq TLQ,1
ingreso y salida de  brentag,1
Inproquim,1
Intalpel,1
juanchito - zona ind,1
kmt 8 crucero Bucarlia Pto Wilchez,1
La Balastrera 2,1
"La Balastrera, pocos ojos",1
La paila,1
LAV Est Santander Cali,1
Lavadero Garrincha Las Victorias,1
Lavadero Las Chivas El Indio,1
Comuna 13 Cali,1
Comuna 14 Cali,1
lavadero Tolima,1
Lavadero las margaritas,1
Loboguerrero,1
Loboguerrero escub 3,1
Los Tubos,1
Momentive,1
Loboguerrero escubi 2,1
Loboguerrero escurridero,1
Nitroacryl de Colombia,1
Ofi Bta,1
Oil Chemical s a,1
Palmeras de bucarelia,1
Panamericana de Alimentos,1
Parq ¿barranca?,1
Nancy,1
Nestle BugaLagrande,1
Parq Ave Ferrocarril,1
Parq B/manga,1
Parq C Carlos Garcia,1
Parq Casandra - Talleres,1
Parq Cencar,1
Parq EDS Castiblanco Tulua,1
Parq Las Olas B/v,1
Parq Los Colores Cali,1
Parq Los Dagueños,1
Parq Mejia,1
parq Mejia,1
Parq Soberano,1
Parq Unicentro Palmira,1
Parq Versalles,1
Parq Algranel,1
Parq Alpujarra,1
PARQUEADERO CHIMINANGOS PALMIRA,1
Parqueadero El Condor,1
Parqueadero Los Mangos,1
parqueadero los Mangos,1
Parqueadero MOnterrey,1
Parqueadero Yumbo 2011,1
paso calle 20 Santander sin pago finca,1
PEAJE CARIMAGUA,1
PEAJE CENCAR,1
PEAJE CERRITOS RISARALDA,1
PEAJE CHINAUTA,1
PEAJE CIAT,1
PEAJE COROZAL,1
PEAJE CORRALITO,1
PEAJE DE CHUSACA,1
PEAJE DE LA APARTADA,1
PEAJE DE LA URIBE,1
PEAJE DE LOS LLANOS,1
PEAJE DE MEDIACANOA,1
PEAJE DE MORRISON,1
PEAJE DE NIQUIA,1
PEAJE DE PAILITAS,1
peaje de villarica,1
PEAJE EL CERRITO,1
PEAJE EL COPEY,1
PEAJE EL TRAPICHE,1
PEAJE ESTAMBUL,1
PEAJE GUALANDAY,1
PEAJE HONDA MARIQUITA,1
PEAJE LA ESPERANZA,1
Parq ZNK193,1
Parque America ZF Cartagena,1
PEAJE LA LOMA,1
PEAJE LA GOMEZ,1
PEAJE MAMONAL,1
PEAJE LAUREANO GOMEZ,1
PEAJE NUEVO LA LIZAMA,1
PEAJE PAN DE QUESO,1
PEAJE PAPIROS,1
PEAJE LOBOGUERRERO,1
PEAJE RIO BOGOTA,1
peaje rio sogamoso,1
PEAJE SAN ONOFRE,1
PEAJE SAN PEDRO,1
PEAJE SUPIA,1
PEAJE TANIA,1
