,IMEI,Unit ID,Unit Type,Unit,Activity01062025
1,354514102409705,17UC,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XVW496,SR
3,354514101547612,11NA,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XVW251,SR
6,358077091131801,0O8B,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XME019,SR
7,358077093174429,0Y6W,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,XME 022,SR
9,358077093335798,0Y3D,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WNN653,SR
11,358077093348221,0WYG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WHO689,SR
15,358077093310494,0Y3E,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WGW575,Parked
17,354514101199612,927Q,CalAmp 2630 - HSPA -LMU26H3001-G1000,WGW574,Parked
19,354514101547554,17SK,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,WGV657,SR
21,354514101189191,0Y20,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,TTV173,SR
23,354514101574715,17SI,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SZM606,SR
25,358077093191746,0Y3Y,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SXX144,SR
27,358077092810940,0Y9X,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SXR583,Parked
29,358077093310957,0YCG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA584,Parked
31,354514101581074,0EFK,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA495,Parked
33,358077092807656,0EBJ,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA491,Parked
35,354514102409184,02Z7,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA488,Parked
37,354514102373083,00JG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,STA454,IDLE-STOP
39,354514101564591,17S2,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SSX894,SR
41,354514101568667,11MR,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SPH045,SR
43,354514102532076,0X2S,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,SMI935,Parked
45,358077093315642,0D1B,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LWY561,Parked
50,354514102538750,12S1,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,LWY404,SR
52,354514101594382,19P4,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL853,SR
54,352556103396995,19U0,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL851,SR
56,354514101594259,19SO,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL840,SR
58,354514101566216,17VG,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL712,Parked
60,354514101536326,17SJ,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL704,Parked
62,354514101526293,17UU,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL701,Parked
64,354514101594614,11M9,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL636,Parked
66,354514101573329,17DH,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL626,SR
68,354514101595876,0WZW,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL625,SR
70,358077093309231,17XW,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL617,Parked
72,354514101197822,14GI,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL616,Parked
74,359369091289997,18YU,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL614,Yes
76,354514101563064,17HF,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,LPL613,SR
78,358077093353924,0Y5N,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,GQV636,SR
79,354514101563155,11PC,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,GFQ085,SR
80,357041064135414,0ZB2,CalAmp 2630 - 3G - LMU2631H-H000-G1000,LWY406,Parked
