Created;Message;Status
2025-06-01 00:11:31.715;11000001,5,4764343295,1,1,1,10,29388,1748735760,7.6245331,-75.319424,350,55,01010001,00110000,ON,1101100,3,3,127883037,13984,0x00000000,0,0|;0x830547643432950101010A72CC683B9710048B6953D31B2B00015E378A0C370303079F571D000036A000000000
2025-06-01 00:11:31.863;11000001,5,4764343295,1,1,1,10,29389,1748735800,7.6291915,-75.3197896,36,41,01010001,00010000,ON,1101100,3,3,127883565,13984,0x00000000,0,0|;0x830547643432950101010A72CD683B9738048C1F4BD31B1CB80024298A08370303079F592D000036A000000000
2025-06-01 00:11:32.022;11000001,5,4764343295,1,1,1,4,29390,1748735904,1748735903,7.6344616,-75.3152676,9695,1327,55,11,00000100,123,-99,00000010,7,ON,1101100,00000000,0,5,36,fs:3:0x6B3E01071E9A07A3797C3E02071DA005025A823E01071E78078077B93E02071DDB05BD5D|;0x830547643432950101010472CE683B97A0683B979F048CED28D31BCD5C000025DF0000052F00370B20007BFF9D40073700000500246B3E01071E9A07A3797C3E02071DA005025A823E01071E78078077B93E02071DDB05BD5D
2025-06-01 00:11:32.172;11000001,5,4764343295,1,1,1,10,29391,1748735919,7.6360578,-75.3139283,33,52,10010001,01000000,ON,1101100,3,3,127884564,13953,0x00000000,0,0|;0x830547643432950101010A72CF683B97AF048D2B82D31C01AD0021348902370303079F5D140000368100000000
2025-06-01 00:11:32.322;11000001,5,4764343295,1,1,1,10,29392,1748736018,7.6505743,-75.3136121,0,63,01010001,00000000,ON,1101100,3,3,127886180,13953,0x00000000,0,0|;0x830547643432950101010A72D0683B9812048F628FD31C0E0700003F8A00370303079F63640000368100000000
2025-06-01 00:11:32.472;11000001,5,4764343295,1,1,1,10,29393,1748736025,7.6514411,-75.3132653,48,56,10010001,01000000,ON,1101100,3,3,127886299,13953,0x00000000,0,0|;0x830547643432950101010A72D1683B9819048F846BD31C1B930030388902370303079F63DB0000368100000000
2025-06-01 00:11:32.622;11000001,5,4764343295,1,1,1,10,29394,1748736117,7.6551146,-75.3040425,94,56,10010001,11110000,ON,1101100,3,3,127887365,13953,0x00000000,0,0|;0x830547643432950101010A72D2683B9875049013EAD31D83D7005E38890F370303079F68050000368100000000
2025-06-01 00:11:32.771;11000001,5,4764343295,1,1,1,4,29395,1748736126,1748736125,7.6546978,-75.3029243,9868,1694,109,8,00000100,123,-91,11110010,9,ON,1101000,00000000,0,5,36,fs:3:0x273E01071E95075679803E01071E81071578263E02071DBA05A75BEE3E01071E78078677|;0x830547643432950101010472D3683B987E683B987D049003A2D31DAF850000268C0000069E006D0820007BFFA54F09170000050024273E01071E95075679803E01071E81071578263E02071DBA05A75BEE3E01071E78078677
2025-06-01 00:11:32.922;11000001,5,4764343295,1,1,1,10,29396,1748736184,7.6558071,-75.2945516,48,65,00010001,00110000,ON,1101100,3,3,127888498,13984,0x00000000,0,0|;0x830547643432950101010A72D4683B98B804902EF7D31EF694003041880C370303079F6C72000036A000000000
2025-06-01 00:11:33.072;11000001,5,4764343295,1,1,1,4,29397,1748736336,1748736335,7.6658988,-75.2830448,9222,991,19,10,00000100,101,-79,01000000,8,ON,1101100,00000000,0,5,36,fs:3:0x133E02071DB8058D5BCF3E01071D86076378F23E02071D8C05C3582C3E01071E90070C79|;0x830547643432950101010472D5683B9950683B994F0491B92CD320B81000002406000003DF00130A200065FFB10208370000050024133E02071DB8058D5BCF3E01071D86076378F23E02071D8C05C3582C3E01071E90070C79
2025-06-01 00:11:33.272;11000001,5,4764343295,1,1,1,10,29398,1748736406,7.6704328,-75.2816595,353,48,01010001,00000000,ON,1101100,3,3,127890723,13984,0x00000000,0,0|;0x830547643432950101010A72D6683B999604926A48D320EE2D0161308A00370303079F7523000036A000000000
2025-06-01 00:11:33.442;11000001,5,4764343295,1,1,1,10,29399,1748736501,7.6849541,-75.2829173,17,63,01010001,00000000,ON,1101100,3,3,127892360,14014,0x00000000,0,0|;0x830547643432950101010A72D7683B99F50494A185D320BD0B00113F8A00370303079F7B88000036BE00000000
2025-06-01 00:11:33.661;11000001,5,4764343295,1,1,1,4,29400,1748736546,1748736545,7.6914915,-75.2812583,9214,1097,34,9,00000100,101,-113,00000000,8,ON,1101100,00000000,0,5,36,fs:3:0x913E02071EDE05EE5DCA3E01071E76076277483E02071EA9059D5A843E01071E63073A76|;0x830547643432950101010472D8683B9A22683B9A210495A0E3D320FDD9000023FE00000449002209200065FF8F0008370000050024913E02071EDE05EE5DCA3E01071E76076277483E02071EA9059D5A843E01071E63073A76
2025-06-01 00:11:33.931;11000001,5,4764343295,1,1,1,10,29401,1748736564,7.6936488,-75.280378,64,61,10010001,00000000,ON,1101100,3,3,127893391,14014,0x00000000,0,0|;0x830547643432950101010A72D9683B9A340495F528D321203C00403D8900370303079F7F8F000036BE00000000
2025-06-01 00:11:34.574;11000001,5,4764343295,1,1,1,10,29402,1748736604,7.6952668,-75.274656,18,61,00010001,00000000,ON,1101100,3,3,127894086,14014,0x00000000,0,0|;0x830547643432950101010A72DA683B9A5C0496345CD321FFC000123D8800370303079F8246000036BE00000000
2025-06-01 00:11:38.196;11000001,5,4764343295,1,1,1,10,29403,1748736698,7.7094015,-75.2728191,332,67,00010000,11110000,ON,1101100,3,3,127895693,14014,0x00000000,0,0|;0x830547643432950101010A72DB683B9ABA04985C7FD3224781014C43080F370303079F888D000036BE00000000
2025-06-01 00:11:52.221;11000001,5,4764343295,1,1,1,10,29404,1748736712,7.7114486,-75.273615,18,63,10010000,11110000,ON,1101100,3,3,127895958,13984,0x00000000,0,0|;0x830547643432950101010A72DC683B9AC80498AC76D322286A00123F090F370303079F8996000036A000000000
2025-06-01 00:12:48.118;11000001,5,4764343295,1,1,1,10,29405,1748736767,7.7187891,-75.2731351,332,62,00010000,11110000,ON,1101100,3,3,127896760,14014,0x00000000,0,0|;0x830547643432950101010A72DD683B9AFF0499CB33D3223B29014C3E080F370303079F8CB8000036BE00000000
2025-06-01 00:12:58.649;11000001,5,4764343295,1,1,1,4,29406,1748736779,1748736779,7.7204218,-75.2740793,8386,1677,325,8,00000000,123,-97,11110010,11,ON,1101100,00000000,0,5,36,fs:3:0xAE3E01071E700701774E3E02071DCA05A45C903E01071E67077076DC3E02071DB305305B|;0x830547643432950101010472DE683B9B0B683B9B0B049A0AFAD3221647000020C20000068D01450800007BFF9F4F0B370000050024AE3E01071E700701774E3E02071DCA05A45C903E01071E67077076DC3E02071DB305305B
2025-06-01 00:13:34.570;11000001,5,4764343295,1,1,1,10,29407,1748736813,7.7244343,-75.275276,19,57,00010000,11110000,ON,1101100,3,3,127897467,13953,0x00000000,0,0|;0x830547643432950101010A72DF683B9B2D049AA7B7D321E788001339080F370303079F8F7B0000368100000000
2025-06-01 00:15:22.094;11000001,5,4764343295,1,1,1,10,29408,1748736921,7.7389468,-75.2719808,34,71,10010000,11110000,ON,1101100,3,3,127899204,13984,0x00000000,0,0|;0x830547643432950101010A72E0683B9B99049CDE9CD3226840002247090F370303079F9644000036A000000000
2025-06-01 00:15:51.550;11000001,5,4764343295,1,1,1,10,29409,1748736950,7.7426021,-75.2689443,76,63,10010000,11110000,ON,1101100,53,3,127899738,13984,0x00000000,0,0|;0x830547643432950101010A72E1683B9BB6049D6D65D322DEDD004C3F090F373503079F985A000036A000000000
2025-06-01 00:16:06.482;11000001,5,4764343295,1,1,1,10,29410,1748736967,7.7442411,-75.2671031,30,60,10010000,11110000,ON,1101100,3,3,127900033,13984,0x00000000,0,0|;0x830547643432950101010A72E2683B9BC7049DAD6BD32326C9001E3C090F370303079F9981000036A000000000
