Vehicle,StartDateTime,StartTime,EndTime,DurationSecs,MaxSpeed,StartOdometer,EndOdometer,StartLat,StartLon,StartAddress
ESP836/ ,2025-07-28,09:34:01,09:34:32,0:00:31,70,175235,175236,"3,63028","-76,46515","Paso La Torre-Yumbo, Yumbo, Valle del Cauca, Colombia"
ESP836/ ,2025-07-28,09:36:28,09:38:16,0:01:48,80,175237,175240,"3,62179","-76,45452","Via Principal, Yumbo, Valle Cauca"
ESP836/ ,2025-07-28,09:39:57,09:43:55,0:03:58,78,175241,175246,"3,62675","-76,42999","Av Cali-Cerrito-85, Palmira, Valle Cauca"
ESP836/ ,2025-07-28,09:44:45,09:53:01,0:08:16,83,175247,175257,"3,64072","-76,38300","Km 26 de la vía Cali - Guacarí, , Valle del Cauca"
ESP836/ ,2025-07-28,09:59:40,10:07:24,0:07:44,80,175260,175270,"3,71991","-76,31996","Av 25n, Palmira, Valle Cauca"
ESP836/ ,2025-07-28,10:07:36,10:08:17,0:00:41,78,175270,175271,"3,80624","-76,30826","Km 11 de la vía Buga - Guacarí, , Valle del Cauca"
ESP836/ ,2025-07-28,10:09:12,10:10:48,0:01:36,78,175272,175274,"3,82025","-76,30587","Av 25n-29, Guacari, Valle Cauca"
ESP836/ ,2025-07-28,10:11:18,10:12:42,0:01:24,72,175275,175276,"3,84313","-76,29921","Av 25n-70, Guacari, Valle Cauca, Colombia"
ESP836/ ,2025-07-28,10:44:38,10:44:55,0:00:17,74,175285,175285,"3,90642","-76,30861","Av 25s-41, Buga, Valle Cauca"
ESP836/ ,2025-07-28,10:45:37,10:46:18,0:00:41,74,175286,175286,"3,91376","-76,30338","Cl20 23b-80, Buga, Valle Cauca"
ESP836/ ,2025-07-28,10:46:29,10:48:15,0:01:46,78,175287,175289,"3,92030","-76,29667","Av 25n-84, Buga, Valle Cauca"
ESP836/ ,2025-07-28,10:48:36,10:52:24,0:03:48,83,175289,175294,"3,93730","-76,28174","Km 3 de la vía Buga - Tuluá, , Valle del Cauca"
ESP836/ ,2025-07-28,10:55:12,10:56:22,0:01:10,78,175296,175297,"3,98117","-76,24150","Km 10 de la vía Buga - Tuluá, , Valle del Cauca"
ESP836/ ,2025-07-28,11:26:23,11:29:01,0:02:38,80,175305,175308,"4,02649","-76,21543","Av 25n, Tulua, Valle Cauca"
ESP836/ ,2025-07-28,14:25:46,14:33:18,0:07:32,82,175326,175336,"4,04870","-76,20507","Km 18 de la vía Buga - Tuluá, , Valle del Cauca"
ESP836/ ,2025-07-28,14:35:59,14:42:23,0:06:24,82,175338,175347,"3,96206","-76,26294","Av 25n-95, Tulua, Valle Cauca"
ESP836/ ,2025-07-28,14:46:06,14:48:17,0:02:11,80,175349,175352,"3,88049","-76,31337","Km 2 de la vía Buga - Guacarí, , Valle del Cauca"
ESP836/ ,2025-07-28,14:48:44,14:50:20,0:01:36,78,175353,175355,"3,85622","-76,29730","Km 5 de la vía Buga - Guacarí, , Valle del Cauca"
ESP836/ ,2025-07-28,14:50:32,14:52:10,0:01:38,82,175355,175357,"3,83542","-76,30092","Av 25n-56, Guacari, Valle Cauca"
ESP836/ ,2025-07-28,14:52:32,14:56:24,0:03:52,83,175358,175363,"3,81354","-76,30803","Km 10 de la vía Buga - Guacarí, , Valle del Cauca"
ESP836/ ,2025-07-28,14:56:52,15:01:19,0:04:27,85,175363,175369,"3,76832","-76,32715","Av 25s-39, Guacari, Valle Cauca"
ESP836/ ,2025-07-28,15:02:57,15:05:08,0:02:11,77,175370,175373,"3,70671","-76,31986","Av 25s, Palmira, Valle Cauca"
ESP836/ ,2025-07-28,15:05:58,15:18:03,0:12:05,90,175374,175390,"3,67948","-76,30341","Km 0 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP836/ ,2025-07-28,15:18:19,15:20:19,0:02:00,78,175391,175393,"3,54900","-76,33841","Km 17 de la vía Cerrito - Puerto Tejada, , Valle del Cauca"
ESP836/ ,2025-07-28,15:22:31,15:32:31,0:10:00,82,175395,175408,"3,52203","-76,34992","Av 25, Palmira, Valle Cauca"
ESP837/ ,2025-07-28,14:33:52,14:35:23,0:01:31,72,147692,147694,"3,49538","-76,46462","Km 2 de la vía Cali - Palmira, , Valle del Cauca"
ESP837/ ,2025-07-28,14:43:53,14:44:09,0:00:16,72,147701,147701,"3,51365","-76,38597","Av 25, Palmira, Valle Cauca"
